date,rating,title_review
2020-01-01 02:10:56,3,"['need', 'improvement', 'great', 'try', 'buy', 'something', 'store', 'get', 'decline', 'still', 'get', 'deducted', 'pay', 'internet', 'internet', 'receive', 'payment', 'cash', 'atm', 'receive', 'money', 'really', 'get', 'think', 'trust', 'transaction', 'always', 'hold', 'send', 'email', 'take', 'day', 'upside', 'load', 'rebate', 'forest', 'book', 'movie', 'save', 'invest', 'hop', 'improvement', 'future']"
2020-01-01 11:26:33,1,"['total', 'scam', 'andami', 'video', 'youtube', 'right', 'scam', 'lang', 'globe', 'potangggginaaaa', 'yung', 'men', 'gosu', 'yan', 'andami', 'nang', 'scam', 'paki', 'fix', 'naman', 'nakakatakot', 'magtiwala']"
2020-01-01 15:11:30,3,"['email', 'registration', 'error', 'log', 'email', 'account', 'message', 'keep', 'pop', 'say', 'error', 'occur', 'something', 'wrong', 'unlock', 'gcredit', 'service', 'sad', 'know', 'problem']"
2020-01-01 19:14:19,1,"['customer', 'support', 'issue', 'trash', 'avid', 'user', 'year', 'recently', 'confidence', 'trust', 'get', 'weak', 'due', 'customer', 'support', 'whenever', 'encounter', 'problem', 'try', 'resolve', 'hassle', 'c', 'agent', 'lazy', 'even', 'read', 'properly', 'concern', 'send', 'response', 'obviously', 'take', 'template', 'know', 'response', 'far', 'actual', 'concern', 'send', 'generic', 'reply', 'maybe', 'say', 'respond', 'realize', 'trust', 'money', 'use', 'take', 'risk', 'make', 'sure', 'take', 'screenshots', 'confirmation', 'page', 'proof', 'documentation', 'system', 'trash', 'unreliable']"
2020-01-02 01:43:34,1,"['outdate', 'please', 'keep', 'bad', 'dial']"
2020-01-02 05:52:51,1,"['refuse', 'let', 'cash', 'try', 'many', 'time', 'cash', 'every', 'time', 'tap', 'mastercardvisa', 'option', 'oops', 'card', 'find', 'client', 'keep', 'show', 'stupid', 'send', 'email', 'ask', 'debit', 'card', 'detail', 'thank', 'risk', 'solve', 'end', 'deactivate', 'account', 'mean', 'charge', 'later', 'criminal']"
2020-01-02 08:15:18,1,"['worthless', 'download', 'register', 'last', 'monday', 'able', 'link', 'bank', 'account', 'live', 'chat', 'support', 'worthless', 'know', 'trouble', 'shoot', 'issue', 'keep', 'go', 'circle', 'ask', 'information', 'transcribed', 'chat', 'log', 'tell', 'update', 'today', 'fix', 'issue', 'guess', 'updates', 'come', 'back', 'square', 'one', 'ask', 'information', 'waste', 'time', 'try', 'make', 'thing', 'work', 'week', 'give', 'crappy', 'service']"
2020-01-02 10:23:43,1,"['worst', 'always', 'system', 'issue', 'one', 'even', 'try', 'send', 'notice', 'something']"
2020-01-03 00:02:39,1,"['verification', 'need', 'send', 'money', 'say', 'I', 'basic', 'user', 'since', 'need', 'verification', 'check', 'process', 'however', 'button', 'verification', 'clickable', 'try', 'troubleshooting', 'option', 'still', 'none', 'ask', 'help', 'center', 'process', 'take', 'long', 'use', 'service', 'service', 'work']"
2020-01-03 02:11:44,1,"['buggy', 'crap', 'service', 'always', 'ask', 'update', 'profile', 'I', 'already', 'fully', 'verify', 'customer', 'service', 'non', 'existent', 'good', 'luck', 'put', 'hard', 'earn', 'money', 'star', 'review', 'people', 'work', 'gcashglobe', 'warn']"
