date,rating,title_review,title_review_tokenized
2020-01-10 03:29:09,5,"nice so far so good convenient no problem encountered yet hope it would not happen  

this app makes things for me just like for payment","['nice', 'far', 'good', 'convenient', 'problem', 'encounter', 'yet', 'hope', 'would', 'happen', 'make', 'thing', 'like', 'payment']"
2020-01-17 17:59:30,5,good service plz support gcash,"['good', 'service', 'plz', 'support']"
2020-01-20 17:32:16,4,"incoming  outgoing transaction limits hello gcash team

so far my experience with the app has been very convenient and flawless i just had one wish hope you can incorporate in your next update the ability to check our remaining incoming and outgoing transaction limits for all levels basic semiverified fully verified and enterprise and when is the next reset specific date on each month as it is a bit frustrating to guess how much of our limits are left especially when you are trying to make a huge transaction and you are barred because you exceeded your monthly limit thank you","['incoming', 'outgo', 'transaction', 'limit', 'hello', 'team', 'far', 'experience', 'convenient', 'flawless', 'one', 'wish', 'hope', 'incorporate', 'next', 'update', 'ability', 'check', 'remain', 'incoming', 'outgoing', 'transaction', 'limit', 'level', 'basic', 'semiverified', 'fully', 'verify', 'enterprise', 'next', 'reset', 'specific', 'date', 'month', 'bit', 'frustrate', 'guess', 'much', 'limit', 'leave', 'especially', 'try', 'make', 'huge', 'transaction', 'bar', 'exceed', 'monthly', 'limit']"
2020-01-23 00:33:47,5,convenience since the day i installed the apps i always use it for loading then bills payment money transfers etc for me it helps me save a lot of time and fares  hopefully it will continue to be a friendly app thanks,"['convenience', 'since', 'day', 'instal', 'apps', 'always', 'use', 'load', 'bill', 'payment', 'money', 'transfer', 'etc', 'help', 'save', 'lot', 'time', 'fare', 'hopefully', 'continue', 'friendly', 'thanks']"
2020-01-25 06:41:20,4,icons the app is ok but maybe stop rearranging the icons every time there is an update there is no point in giving the user the ability to arrange the icons if they keep on going back to default to their default positions,"['icon', 'ok', 'maybe', 'stop', 'rearrange', 'icon', 'every', 'time', 'update', 'point', 'give', 'user', 'ability', 'arrange', 'icon', 'keep', 'go', 'back', 'default', 'default', 'position']"
2020-02-04 15:16:46,4,pls make you service even better always having maintenance also error in logging in receipt in atm after withdraw balance is 000 even if i have put money on my gcash pls work on it globe,"['pls', 'make', 'service', 'even', 'well', 'always', 'maintenance', 'also', 'error', 'log', 'receipt', 'atm', 'withdraw', 'balance', 'even', 'put', 'money', 'pls', 'work', 'globe']"
2020-02-07 18:34:41,5,face id authenticator i hope you could add a face id authentication for iphones i feel vulnerable if i need to type in my mpin on public,"['face', 'id', 'authenticator', 'hope', 'could', 'add', 'face', 'id', 'authentication', 'iphones', 'feel', 'vulnerable', 'need', 'type', 'mpin', 'public']"
2020-02-10 02:45:27,5,grest improvement over the years been using gcash for several years love seeing the progress and excited for what is next,"['grest', 'improvement', 'year', 'use', 'several', 'year', 'love', 'see', 'progress', 'excite', 'next']"
2020-02-13 05:52:20,5,money meter suggestion I would like to suggest you put up some kind of money meter so users can easily monitor cashflow and checkwarn if monthly limit is about to be reached,"['money', 'meter', 'suggestion', 'I', 'would', 'like', 'suggest', 'put', 'kind', 'money', 'meter', 'user', 'easily', 'monitor', 'cashflow', 'checkwarn', 'monthly', 'limit', 'reach']"
2020-02-20 01:11:31,5,5 star for this app why i gave it a 5 star coz it is so convenient in paying bills aside from it has no additional fees for the transactions it even has a rebate for loading in prepaid sim for your mobile numbers so what are you waiting for download it now and use it,"['star', 'give', 'star', 'coz', 'convenient', 'pay', 'bill', 'aside', 'additional', 'fee', 'transaction', 'even', 'rebate', 'load', 'prepaid', 'sim', 'mobile', 'number', 'wait', 'download', 'use']"
