date,rating,title_review,title_review_tokenized
2020-01-03 03:11:29,4,purchase ali express great experience with the app so far i hope i can pay purchases from aliexpress in the future,"['purchase', 'ali', 'express', 'great', 'experience', 'far', 'hope', 'pay', 'purchase', 'aliexpress', 'future']"
2020-01-05 05:58:26,5,verification error my account is labled as duplicate account already sent an email but no ones replying on me,"['verification', 'error', 'account', 'labled', 'duplicate', 'account', 'already', 'send', 'email', 'one', 'reply']"
2020-01-06 03:34:12,5,"nice and great app very convenient and very useful lots of surprises  and guaranteed give you a rebates  more power paymaya  horaaaaaaayyy 

will","['nice', 'great', 'convenient', 'useful', 'lot', 'surprise', 'guarantee', 'give', 'rebate', 'power', 'horaaaaaaayyy']"
2020-01-10 04:52:05,5,sad review poor customer service,"['sad', 'review', 'poor', 'customer', 'service']"
2020-01-19 03:38:01,5,inconsistent almost ate all of my money i have issues with this app since sometimes when i use grab and the driver cancels the app deducts from my account refunding process is cumbersome as well I would rather delete the app than waste my money on this,"['inconsistent', 'almost', 'ate', 'money', 'issue', 'since', 'sometimes', 'use', 'grab', 'driver', 'cancel', 'deducts', 'account', 'refund', 'process', 'cumbersome', 'well', 'I', 'would', 'rather', 'delete', 'waste', 'money']"
2020-01-27 18:37:39,5,paymaya is all you need guys i will never ever get tired of recommending this app to all the people i know i came across with paymaya sometime ago and at first i thought it was just an ewallet app that will just be a clutter to my phone but i am telling you downloading this app is the best thing that ever happened to me it is so useful and quite generous when it comes to deals and whatnots if i could only gove you guys 10 stars for rating i will do it I am a paymaya avid user for almost 3yrs now and never did i ever encountered any problems   kudos to all of you guys behind this amazing tool i look forward to more relevant promos soon  ,"['need', 'guy', 'never', 'ever', 'get', 'tire', 'recommend', 'people', 'know', 'come', 'across', 'sometime', 'ago', 'first', 'think', 'ewallet', 'clutter', 'phone', 'tell', 'download', 'best', 'thing', 'ever', 'happen', 'useful', 'quite', 'generous', 'come', 'deal', 'whatnot', 'could', 'gove', 'guy', 'star', 'rating', 'I', 'avid', 'user', 'almost', 'never', 'ever', 'encounter', 'problem', 'kudos', 'guy', 'behind', 'amazing', 'tool', 'look', 'forward', 'relevant', 'promos', 'soon']"
2020-01-31 04:40:19,4,can not access paybill my account was already upgraded but can not access the paybill,"['access', 'paybill', 'account', 'already', 'upgraded', 'access', 'paybill']"
2020-02-02 14:18:46,5,the best if you just know how to use this app it is going to make your life so much easier this is where i pay most of my bills and i get to send money to anyone without hassle oh also i send load to myself in cheaper price with no additional fees so glad my friend indroduced this app to me this is also what i use in paying online purchases like netflix and spotify so that is it I am writing this review because I am so satisfied with this app and i can not believe it has so many bad reviews maybe you do not know how to use this anyways give this app a chance,"['best', 'know', 'use', 'go', 'make', 'life', 'much', 'easy', 'pay', 'bill', 'get', 'send', 'money', 'anyone', 'without', 'hassle', 'oh', 'also', 'send', 'load', 'cheap', 'price', 'additional', 'fee', 'glad', 'friend', 'indroduced', 'also', 'use', 'pay', 'online', 'purchase', 'like', 'netflix', 'spotify', 'I', 'write', 'review', 'I', 'satisfied', 'believe', 'many', 'bad', 'review', 'maybe', 'know', 'use', 'anyways', 'give', 'chance']"
2020-02-05 03:53:58,5,great app app is convenient for online shopping,"['great', 'convenient', 'online', 'shopping']"
2020-02-05 06:40:16,5,helpful thanks paymaya,"['helpful', 'thanks']"
2020-02-05 06:43:50,5,paymayaaa great app,"['paymayaaa', 'great']"
2020-02-05 06:48:06,5,cool app innovative app that can help you in your everyday transactions,"['cool', 'innovative', 'help', 'everyday', 'transaction']"
2020-02-06 02:00:57,5,paymaya review ,['review']
2020-02-06 07:04:18,5,great service this has been a really convenient app for me it can be easily integrated into anyones life  especially students,"['great', 'service', 'really', 'convenient', 'easily', 'integrate', 'anyones', 'life', 'especially', 'student']"
2020-02-06 07:04:33,5,up rfid paymaya is very versatile and I am glad it is part of our rfid so transactions are easier,"['rfid', 'versatile', 'I', 'glad', 'part', 'rfid', 'transaction', 'easy']"
2020-02-06 07:07:56,5,perfect best app ever up id is linked to paymaya and it is so convenient,"['perfect', 'best', 'ever', 'id', 'link', 'convenient']"
2020-02-08 01:13:24,5,"paymaya  banks in ph when it comes to money a lot of things is a hassle even with paymaya but what i like is i can call someone 247 check what i needed pass it call again and get it done on the same day 

i do not even have to visit a freaking local branch because their customer service can not help me with online transactions seriously for me paymaya is good enough i deal most of my transactions via their virtual card compared to most banks here in ph paymaya is lot better to be honest 

keep it up","['bank', 'ph', 'come', 'money', 'lot', 'thing', 'hassle', 'even', 'like', 'call', 'someone', 'check', 'need', 'pas', 'call', 'get', 'do', 'day', 'even', 'visit', 'freaking', 'local', 'branch', 'customer', 'service', 'help', 'online', 'transaction', 'seriously', 'good', 'enough', 'deal', 'transaction', 'via', 'virtual', 'card', 'compare', 'bank', 'ph', 'lot', 'good', 'honest', 'keep']"
2020-02-09 02:10:11,5,accesible hope you will have it on gasoline station too,"['accesible', 'hope', 'gasoline', 'station']"
2020-02-10 03:13:07,5,helping customer so fast in times of trouble this app is very appreciated and fast service to solving the problem of the customer and preventing it from happening again thankyou team paymaya,"['help', 'customer', 'fast', 'time', 'trouble', 'appreciated', 'fast', 'service', 'solve', 'problem', 'customer', 'prevent', 'happen', 'thankyou', 'team']"
2020-02-12 17:11:46,5,best virtual card i love using payment highly recommended and hassle free,"['best', 'virtual', 'card', 'love', 'use', 'payment', 'highly', 'recommend', 'hassle', 'free']"
