Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,3,0.01,0.01,0.293904881371963
100% Corpus,3,0.01,0.31,0.29294690096433834
100% Corpus,3,0.01,0.61,0.309520258327224
100% Corpus,3,0.01,0.9099999999999999,0.3172585466513778
100% Corpus,3,0.01,symmetric,0.3033539150553166
100% Corpus,3,0.31,0.01,0.31970678842675176
100% Corpus,3,0.31,0.31,0.2934659706035812
100% Corpus,3,0.31,0.61,0.296250292261342
100% Corpus,3,0.31,0.9099999999999999,0.2853900242650475
100% Corpus,3,0.31,symmetric,0.2934659706035812
100% Corpus,3,0.61,0.01,0.3253341144796283
100% Corpus,3,0.61,0.31,0.31297957951360794
100% Corpus,3,0.61,0.61,0.3062782336539039
100% Corpus,3,0.61,0.9099999999999999,0.30128386025622217
100% Corpus,3,0.61,symmetric,0.31297957951360794
100% Corpus,3,0.9099999999999999,0.01,0.33296773951118214
100% Corpus,3,0.9099999999999999,0.31,0.32660348582113335
100% Corpus,3,0.9099999999999999,0.61,0.3222305308810681
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.31844617875145736
100% Corpus,3,0.9099999999999999,symmetric,0.32660348582113335
100% Corpus,3,symmetric,0.01,0.3137527736562826
100% Corpus,3,symmetric,0.31,0.29833014406747105
100% Corpus,3,symmetric,0.61,0.3055113288205544
100% Corpus,3,symmetric,0.9099999999999999,0.2893208694138912
100% Corpus,3,symmetric,symmetric,0.30651820639205896
100% Corpus,3,asymmetric,0.01,0.29359113565654343
100% Corpus,3,asymmetric,0.31,0.33476659923422103
100% Corpus,3,asymmetric,0.61,0.3387047385018054
100% Corpus,3,asymmetric,0.9099999999999999,0.3011274484478123
100% Corpus,3,asymmetric,symmetric,0.334766599234221
100% Corpus,4,0.01,0.01,0.29424090104728123
100% Corpus,4,0.01,0.31,0.28755371118770073
100% Corpus,4,0.01,0.61,0.32960567167609955
100% Corpus,4,0.01,0.9099999999999999,0.35023090652735145
100% Corpus,4,0.01,symmetric,0.2638522076238169
100% Corpus,4,0.31,0.01,0.30694017552253305
100% Corpus,4,0.31,0.31,0.3021478641878529
100% Corpus,4,0.31,0.61,0.2899740891967433
100% Corpus,4,0.31,0.9099999999999999,0.3101370620377344
100% Corpus,4,0.31,symmetric,0.30711397329286555
100% Corpus,4,0.61,0.01,0.2910658441865235
100% Corpus,4,0.61,0.31,0.3172549639528176
100% Corpus,4,0.61,0.61,0.32360622097915837
100% Corpus,4,0.61,0.9099999999999999,0.3128317290144249
100% Corpus,4,0.61,symmetric,0.3102611656301225
100% Corpus,4,0.9099999999999999,0.01,0.28923924663371825
100% Corpus,4,0.9099999999999999,0.31,0.3134240701950579
100% Corpus,4,0.9099999999999999,0.61,0.2968876985132341
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.29574106532605215
100% Corpus,4,0.9099999999999999,symmetric,0.3092014681965968
100% Corpus,4,symmetric,0.01,0.3041097564559181
100% Corpus,4,symmetric,0.31,0.3020048028208407
100% Corpus,4,symmetric,0.61,0.29366879340683844
100% Corpus,4,symmetric,0.9099999999999999,0.2909479101698298
100% Corpus,4,symmetric,symmetric,0.3011687050804247
100% Corpus,4,asymmetric,0.01,0.3244352907404592
100% Corpus,4,asymmetric,0.31,0.322150363809226
100% Corpus,4,asymmetric,0.61,0.29589900820784315
100% Corpus,4,asymmetric,0.9099999999999999,0.2924251332576086
100% Corpus,4,asymmetric,symmetric,0.3133835834255874
100% Corpus,5,0.01,0.01,0.3372223612201624
100% Corpus,5,0.01,0.31,0.29744972759360183
100% Corpus,5,0.01,0.61,0.2923970415840645
100% Corpus,5,0.01,0.9099999999999999,0.297015845462176
100% Corpus,5,0.01,symmetric,0.32841333694326547
100% Corpus,5,0.31,0.01,0.32578242268578916
100% Corpus,5,0.31,0.31,0.32619790752495037
100% Corpus,5,0.31,0.61,0.32782998397401475
100% Corpus,5,0.31,0.9099999999999999,0.3340359401845739
100% Corpus,5,0.31,symmetric,0.32440417442859887
100% Corpus,5,0.61,0.01,0.29967188211591617
100% Corpus,5,0.61,0.31,0.3234933237170091
100% Corpus,5,0.61,0.61,0.31454624507070966
100% Corpus,5,0.61,0.9099999999999999,0.30999439115550753
100% Corpus,5,0.61,symmetric,0.3124220883549892
100% Corpus,5,0.9099999999999999,0.01,0.3027247378735326
100% Corpus,5,0.9099999999999999,0.31,0.28945287557871935
100% Corpus,5,0.9099999999999999,0.61,0.2891118371959871
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.2948330540610985
100% Corpus,5,0.9099999999999999,symmetric,0.2934563067036133
100% Corpus,5,symmetric,0.01,0.3214277955392557
100% Corpus,5,symmetric,0.31,0.32549355164433036
100% Corpus,5,symmetric,0.61,0.31221945730121875
100% Corpus,5,symmetric,0.9099999999999999,0.31356130953769823
100% Corpus,5,symmetric,symmetric,0.31110479487837656
100% Corpus,5,asymmetric,0.01,0.3308914048627257
100% Corpus,5,asymmetric,0.31,0.3369183551730937
100% Corpus,5,asymmetric,0.61,0.30461079221915943
100% Corpus,5,asymmetric,0.9099999999999999,0.32715118289883977
100% Corpus,5,asymmetric,symmetric,0.3321559653478004
