Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,3,0.01,0.01,0.2674106605501961
100% Corpus,3,0.01,0.31,0.2669926749561012
100% Corpus,3,0.01,0.61,0.28603779755456826
100% Corpus,3,0.01,0.9099999999999999,0.27910562304172354
100% Corpus,3,0.01,symmetric,0.2647002108391811
100% Corpus,3,0.31,0.01,0.28755215386523364
100% Corpus,3,0.31,0.31,0.28480525102970927
100% Corpus,3,0.31,0.61,0.27952932016058346
100% Corpus,3,0.31,0.9099999999999999,0.2775310950437064
100% Corpus,3,0.31,symmetric,0.28239465793953367
100% Corpus,3,0.61,0.01,0.28362738707356794
100% Corpus,3,0.61,0.31,0.2782315536149544
100% Corpus,3,0.61,0.61,0.26431341146133736
100% Corpus,3,0.61,0.9099999999999999,0.27025507394901255
100% Corpus,3,0.61,symmetric,0.27823155361495433
100% Corpus,3,0.9099999999999999,0.01,0.2862370607269022
100% Corpus,3,0.9099999999999999,0.31,0.29730937362524296
100% Corpus,3,0.9099999999999999,0.61,0.30140565154769544
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.2912990804273446
100% Corpus,3,0.9099999999999999,symmetric,0.29730937362524296
100% Corpus,3,symmetric,0.01,0.2776387654117431
100% Corpus,3,symmetric,0.31,0.2868792814768472
100% Corpus,3,symmetric,0.61,0.28388972827479014
100% Corpus,3,symmetric,0.9099999999999999,0.28098973147759776
100% Corpus,3,symmetric,symmetric,0.2910842404172869
100% Corpus,3,asymmetric,0.01,0.27877345579085083
100% Corpus,3,asymmetric,0.31,0.27795007134474176
100% Corpus,3,asymmetric,0.61,0.2911670128303485
100% Corpus,3,asymmetric,0.9099999999999999,0.26554809067783564
100% Corpus,3,asymmetric,symmetric,0.27795007134474176
100% Corpus,4,0.01,0.01,0.2761166996997573
100% Corpus,4,0.01,0.31,0.2549157920859564
100% Corpus,4,0.01,0.61,0.26968465865535896
100% Corpus,4,0.01,0.9099999999999999,0.2778077288458639
100% Corpus,4,0.01,symmetric,0.27567403391802187
100% Corpus,4,0.31,0.01,0.25682365903891985
100% Corpus,4,0.31,0.31,0.280227000701116
100% Corpus,4,0.31,0.61,0.2725576045270276
100% Corpus,4,0.31,0.9099999999999999,0.26959636916036617
100% Corpus,4,0.31,symmetric,0.28688565588160486
100% Corpus,4,0.61,0.01,0.26329342133556116
100% Corpus,4,0.61,0.31,0.27890035523007445
100% Corpus,4,0.61,0.61,0.27622423787960027
100% Corpus,4,0.61,0.9099999999999999,0.2724095975835422
100% Corpus,4,0.61,symmetric,0.2764511156418984
100% Corpus,4,0.9099999999999999,0.01,0.27460163157896833
100% Corpus,4,0.9099999999999999,0.31,0.26085239660012816
100% Corpus,4,0.9099999999999999,0.61,0.27632268395293536
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.28475219951734465
100% Corpus,4,0.9099999999999999,symmetric,0.2734453105685424
100% Corpus,4,symmetric,0.01,0.26274845421658133
100% Corpus,4,symmetric,0.31,0.2700532439529184
100% Corpus,4,symmetric,0.61,0.275771976502141
100% Corpus,4,symmetric,0.9099999999999999,0.27841537995565946
100% Corpus,4,symmetric,symmetric,0.2768672999616343
100% Corpus,4,asymmetric,0.01,0.2589490135995694
100% Corpus,4,asymmetric,0.31,0.28641988455867906
100% Corpus,4,asymmetric,0.61,0.30193744615361584
100% Corpus,4,asymmetric,0.9099999999999999,0.3119294067132428
100% Corpus,4,asymmetric,symmetric,0.28316801303959793
100% Corpus,5,0.01,0.01,0.2976374687485725
100% Corpus,5,0.01,0.31,0.2633824487728699
100% Corpus,5,0.01,0.61,0.27389917339103487
100% Corpus,5,0.01,0.9099999999999999,0.29109829416098465
100% Corpus,5,0.01,symmetric,0.2757621793103353
100% Corpus,5,0.31,0.01,0.27960700124260507
100% Corpus,5,0.31,0.31,0.28277658991341215
100% Corpus,5,0.31,0.61,0.2920346518504776
100% Corpus,5,0.31,0.9099999999999999,0.29026401384952794
100% Corpus,5,0.31,symmetric,0.2890432871841238
100% Corpus,5,0.61,0.01,0.2936737139775829
100% Corpus,5,0.61,0.31,0.27921440913996826
100% Corpus,5,0.61,0.61,0.2959897519909224
100% Corpus,5,0.61,0.9099999999999999,0.30122577218317104
100% Corpus,5,0.61,symmetric,0.28461740063880553
100% Corpus,5,0.9099999999999999,0.01,0.2893510943555856
100% Corpus,5,0.9099999999999999,0.31,0.2854112468969343
100% Corpus,5,0.9099999999999999,0.61,0.28344721916481397
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.28288529924905276
100% Corpus,5,0.9099999999999999,symmetric,0.28097940699091845
100% Corpus,5,symmetric,0.01,0.2967054516270341
100% Corpus,5,symmetric,0.31,0.2978336216261465
100% Corpus,5,symmetric,0.61,0.2761003001924981
100% Corpus,5,symmetric,0.9099999999999999,0.27117536001967796
100% Corpus,5,symmetric,symmetric,0.296191284488017
100% Corpus,5,asymmetric,0.01,0.2943176108513827
100% Corpus,5,asymmetric,0.31,0.25799610312965104
100% Corpus,5,asymmetric,0.61,0.28684077942263925
100% Corpus,5,asymmetric,0.9099999999999999,0.31078517724201377
100% Corpus,5,asymmetric,symmetric,0.2766282950545952
