Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,3,0.01,0.01,0.27457578227413443
100% Corpus,3,0.01,0.31,0.25821997818763354
100% Corpus,3,0.01,0.61,0.26156217374105534
100% Corpus,3,0.01,0.9099999999999999,0.331032895507378
100% Corpus,3,0.01,symmetric,0.25821997818763354
100% Corpus,3,0.31,0.01,0.2972943554658387
100% Corpus,3,0.31,0.31,0.29957781437120407
100% Corpus,3,0.31,0.61,0.2821586781436666
100% Corpus,3,0.31,0.9099999999999999,0.27910720481096274
100% Corpus,3,0.31,symmetric,0.29610104053985914
100% Corpus,3,0.61,0.01,0.29251212922397835
100% Corpus,3,0.61,0.31,0.2925109043386001
100% Corpus,3,0.61,0.61,0.294989373323915
100% Corpus,3,0.61,0.9099999999999999,0.30121217556265084
100% Corpus,3,0.61,symmetric,0.2925109043386001
100% Corpus,3,0.9099999999999999,0.01,0.33411196011298605
100% Corpus,3,0.9099999999999999,0.31,0.277993460518493
100% Corpus,3,0.9099999999999999,0.61,0.28332538079859343
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.28672284935474807
100% Corpus,3,0.9099999999999999,symmetric,0.277993460518493
100% Corpus,3,symmetric,0.01,0.2959911699309482
100% Corpus,3,symmetric,0.31,0.29957781437120407
100% Corpus,3,symmetric,0.61,0.28715105117154954
100% Corpus,3,symmetric,0.9099999999999999,0.2823061655249544
100% Corpus,3,symmetric,symmetric,0.29957781437120407
100% Corpus,3,asymmetric,0.01,0.2859617035757774
100% Corpus,3,asymmetric,0.31,0.2528877898097743
100% Corpus,3,asymmetric,0.61,0.27089152472062006
100% Corpus,3,asymmetric,0.9099999999999999,0.27076354100951316
100% Corpus,3,asymmetric,symmetric,0.25915502329190554
100% Corpus,4,0.01,0.01,0.31418562311739645
100% Corpus,4,0.01,0.31,0.32223430822863114
100% Corpus,4,0.01,0.61,0.3045580220042139
100% Corpus,4,0.01,0.9099999999999999,0.295374830889025
100% Corpus,4,0.01,symmetric,0.29692702369766355
100% Corpus,4,0.31,0.01,0.30620186677158256
100% Corpus,4,0.31,0.31,0.30177569733984067
100% Corpus,4,0.31,0.61,0.2959394574013432
100% Corpus,4,0.31,0.9099999999999999,0.3080079650755044
100% Corpus,4,0.31,symmetric,0.294378459108788
100% Corpus,4,0.61,0.01,0.3069582365652343
100% Corpus,4,0.61,0.31,0.29316896021368377
100% Corpus,4,0.61,0.61,0.28650819067052397
100% Corpus,4,0.61,0.9099999999999999,0.2865081906705239
100% Corpus,4,0.61,symmetric,0.297195511387924
100% Corpus,4,0.9099999999999999,0.01,0.29817241062623506
100% Corpus,4,0.9099999999999999,0.31,0.29407925122734146
100% Corpus,4,0.9099999999999999,0.61,0.2918822235531701
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.27943872147636617
100% Corpus,4,0.9099999999999999,symmetric,0.2977026594913332
100% Corpus,4,symmetric,0.01,0.28821128272711577
100% Corpus,4,symmetric,0.31,0.304928524614659
100% Corpus,4,symmetric,0.61,0.3057970600750952
100% Corpus,4,symmetric,0.9099999999999999,0.3010807702249383
100% Corpus,4,symmetric,symmetric,0.30361250343973556
100% Corpus,4,asymmetric,0.01,0.282158082668689
100% Corpus,4,asymmetric,0.31,0.2669864668444209
100% Corpus,4,asymmetric,0.61,0.28092713763288835
100% Corpus,4,asymmetric,0.9099999999999999,0.28470295277223023
100% Corpus,4,asymmetric,symmetric,0.28064163636274625
100% Corpus,5,0.01,0.01,0.30174952592488224
100% Corpus,5,0.01,0.31,0.28524249423741366
100% Corpus,5,0.01,0.61,0.2963049326766013
100% Corpus,5,0.01,0.9099999999999999,0.2868437830037299
100% Corpus,5,0.01,symmetric,0.3041111219115927
100% Corpus,5,0.31,0.01,0.29335546170226173
100% Corpus,5,0.31,0.31,0.31178739451524307
100% Corpus,5,0.31,0.61,0.28930138860762844
100% Corpus,5,0.31,0.9099999999999999,0.28748235578626125
100% Corpus,5,0.31,symmetric,0.3142974896424377
100% Corpus,5,0.61,0.01,0.29320317676766505
100% Corpus,5,0.61,0.31,0.2913970958671328
100% Corpus,5,0.61,0.61,0.2836539419604098
100% Corpus,5,0.61,0.9099999999999999,0.28158994650559654
100% Corpus,5,0.61,symmetric,0.2980067028123083
100% Corpus,5,0.9099999999999999,0.01,0.2867035996390032
100% Corpus,5,0.9099999999999999,0.31,0.294641762741868
100% Corpus,5,0.9099999999999999,0.61,0.30096044148795087
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.2954656832476716
100% Corpus,5,0.9099999999999999,symmetric,0.2975224248795678
100% Corpus,5,symmetric,0.01,0.3133525445613313
100% Corpus,5,symmetric,0.31,0.28173183622807085
100% Corpus,5,symmetric,0.61,0.29781449298600693
100% Corpus,5,symmetric,0.9099999999999999,0.2878578733867456
100% Corpus,5,symmetric,symmetric,0.2876685066512973
100% Corpus,5,asymmetric,0.01,0.2999379449589198
100% Corpus,5,asymmetric,0.31,0.2750346327374986
100% Corpus,5,asymmetric,0.61,0.2436684473263016
100% Corpus,5,asymmetric,0.9099999999999999,0.28555657752181063
100% Corpus,5,asymmetric,symmetric,0.28189101997473953
