Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,3,0.01,0.01,0.3440600171056946
100% Corpus,3,0.01,0.31,0.3462943486128485
100% Corpus,3,0.01,0.61,0.37460847422981475
100% Corpus,3,0.01,0.9099999999999999,0.3607597419190143
100% Corpus,3,0.01,symmetric,0.3462943486128485
100% Corpus,3,0.31,0.01,0.3914853184733397
100% Corpus,3,0.31,0.31,0.3749622543558134
100% Corpus,3,0.31,0.61,0.37560077263225766
100% Corpus,3,0.31,0.9099999999999999,0.3762905109549031
100% Corpus,3,0.31,symmetric,0.3749622543558134
100% Corpus,3,0.61,0.01,0.36318649302895634
100% Corpus,3,0.61,0.31,0.34133601252382667
100% Corpus,3,0.61,0.61,0.3429678911806963
100% Corpus,3,0.61,0.9099999999999999,0.3394900215036856
100% Corpus,3,0.61,symmetric,0.34133601252382667
100% Corpus,3,0.9099999999999999,0.01,0.3654030715961061
100% Corpus,3,0.9099999999999999,0.31,0.3466138756382418
100% Corpus,3,0.9099999999999999,0.61,0.32444390451147803
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.3176374403885991
100% Corpus,3,0.9099999999999999,symmetric,0.3466138756382418
100% Corpus,3,symmetric,0.01,0.3722038752363723
100% Corpus,3,symmetric,0.31,0.3741665769963706
100% Corpus,3,symmetric,0.61,0.3743928577667884
100% Corpus,3,symmetric,0.9099999999999999,0.3762905109549031
100% Corpus,3,symmetric,symmetric,0.37199368254518866
100% Corpus,3,asymmetric,0.01,0.31358389860589725
100% Corpus,3,asymmetric,0.31,0.35180949645903786
100% Corpus,3,asymmetric,0.61,0.3620828890160765
100% Corpus,3,asymmetric,0.9099999999999999,0.32868988597702936
100% Corpus,3,asymmetric,symmetric,0.35180949645903786
100% Corpus,4,0.01,0.01,0.40003445691672335
100% Corpus,4,0.01,0.31,0.3673588478453282
100% Corpus,4,0.01,0.61,0.3778718369914126
100% Corpus,4,0.01,0.9099999999999999,0.3702884810433109
100% Corpus,4,0.01,symmetric,0.3717274778209544
100% Corpus,4,0.31,0.01,0.36155967132278405
100% Corpus,4,0.31,0.31,0.36377393994008045
100% Corpus,4,0.31,0.61,0.3859757484077288
100% Corpus,4,0.31,0.9099999999999999,0.37488502526097006
100% Corpus,4,0.31,symmetric,0.3661175614598731
100% Corpus,4,0.61,0.01,0.3326975947214076
100% Corpus,4,0.61,0.31,0.33409555765165266
100% Corpus,4,0.61,0.61,0.3438989436834764
100% Corpus,4,0.61,0.9099999999999999,0.3557218752322213
100% Corpus,4,0.61,symmetric,0.3394085908468436
100% Corpus,4,0.9099999999999999,0.01,0.3557324343808939
100% Corpus,4,0.9099999999999999,0.31,0.337450098891312
100% Corpus,4,0.9099999999999999,0.61,0.3557632647757975
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.34928219302391217
100% Corpus,4,0.9099999999999999,symmetric,0.34339167573194285
100% Corpus,4,symmetric,0.01,0.374697712900474
100% Corpus,4,symmetric,0.31,0.38767931196473016
100% Corpus,4,symmetric,0.61,0.3904278143292788
100% Corpus,4,symmetric,0.9099999999999999,0.3877660282110642
100% Corpus,4,symmetric,symmetric,0.39072064939938844
100% Corpus,4,asymmetric,0.01,0.34988692622555895
100% Corpus,4,asymmetric,0.31,0.3970105377851991
100% Corpus,4,asymmetric,0.61,0.3973258696423477
100% Corpus,4,asymmetric,0.9099999999999999,0.39576205404236314
100% Corpus,4,asymmetric,symmetric,0.3974998908927957
100% Corpus,5,0.01,0.01,0.35932005958772373
100% Corpus,5,0.01,0.31,0.35058411533652367
100% Corpus,5,0.01,0.61,0.3659040281903804
100% Corpus,5,0.01,0.9099999999999999,0.3442481107103904
100% Corpus,5,0.01,symmetric,0.34267384359112607
100% Corpus,5,0.31,0.01,0.3549389074982833
100% Corpus,5,0.31,0.31,0.3499306445847811
100% Corpus,5,0.31,0.61,0.3461037317698128
100% Corpus,5,0.31,0.9099999999999999,0.3568133100827162
100% Corpus,5,0.31,symmetric,0.3565862128946265
100% Corpus,5,0.61,0.01,0.35576750042545374
100% Corpus,5,0.61,0.31,0.3564553502987274
100% Corpus,5,0.61,0.61,0.33776545776607597
100% Corpus,5,0.61,0.9099999999999999,0.3256231863648904
100% Corpus,5,0.61,symmetric,0.3528760427081813
100% Corpus,5,0.9099999999999999,0.01,0.3555175951860061
100% Corpus,5,0.9099999999999999,0.31,0.34197406946149966
100% Corpus,5,0.9099999999999999,0.61,0.3348429375152632
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.32862927190489627
100% Corpus,5,0.9099999999999999,symmetric,0.3499955938133176
100% Corpus,5,symmetric,0.01,0.35621661450326403
100% Corpus,5,symmetric,0.31,0.37679869073330097
100% Corpus,5,symmetric,0.61,0.35451770398627047
100% Corpus,5,symmetric,0.9099999999999999,0.36830022250827044
100% Corpus,5,symmetric,symmetric,0.36104535450608577
100% Corpus,5,asymmetric,0.01,0.34139723583245124
100% Corpus,5,asymmetric,0.31,0.3700451338933203
100% Corpus,5,asymmetric,0.61,0.3822495130178841
100% Corpus,5,asymmetric,0.9099999999999999,0.3547744668890459
100% Corpus,5,asymmetric,symmetric,0.36994467557836447
