Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,3,0.01,0.01,0.31802451096813666
100% Corpus,3,0.01,0.31,0.31802451096813666
100% Corpus,3,0.01,0.61,0.31601575749125393
100% Corpus,3,0.01,0.9099999999999999,0.3700356274612735
100% Corpus,3,0.01,symmetric,0.31802451096813666
100% Corpus,3,0.31,0.01,0.3457778009484908
100% Corpus,3,0.31,0.31,0.3697264948455469
100% Corpus,3,0.31,0.61,0.3637124989595617
100% Corpus,3,0.31,0.9099999999999999,0.3637124989595617
100% Corpus,3,0.31,symmetric,0.3697264948455469
100% Corpus,3,0.61,0.01,0.35932994431657583
100% Corpus,3,0.61,0.31,0.36114856914619003
100% Corpus,3,0.61,0.61,0.37643995268801916
100% Corpus,3,0.61,0.9099999999999999,0.38644401680218676
100% Corpus,3,0.61,symmetric,0.36114856914619003
100% Corpus,3,0.9099999999999999,0.01,0.3703621685927257
100% Corpus,3,0.9099999999999999,0.31,0.3900246342445494
100% Corpus,3,0.9099999999999999,0.61,0.3840646990433856
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.38489406434355405
100% Corpus,3,0.9099999999999999,symmetric,0.3868107655894463
100% Corpus,3,symmetric,0.01,0.3427401928944765
100% Corpus,3,symmetric,0.31,0.3618048906465183
100% Corpus,3,symmetric,0.61,0.3595207856079273
100% Corpus,3,symmetric,0.9099999999999999,0.3573185550719106
100% Corpus,3,symmetric,symmetric,0.3618048906465183
100% Corpus,3,asymmetric,0.01,0.4710046054978278
100% Corpus,3,asymmetric,0.31,0.5336053630298386
100% Corpus,3,asymmetric,0.61,0.5350930166619493
100% Corpus,3,asymmetric,0.9099999999999999,0.46567545923486087
100% Corpus,3,asymmetric,symmetric,0.5330187237277327
100% Corpus,4,0.01,0.01,0.3668391131727684
100% Corpus,4,0.01,0.31,0.36249409559195883
100% Corpus,4,0.01,0.61,0.35530681461026636
100% Corpus,4,0.01,0.9099999999999999,0.3560411590833597
100% Corpus,4,0.01,symmetric,0.36265911818704466
100% Corpus,4,0.31,0.01,0.3856439895805513
100% Corpus,4,0.31,0.31,0.38564398958055124
100% Corpus,4,0.31,0.61,0.38193149358497047
100% Corpus,4,0.31,0.9099999999999999,0.39157966070093175
100% Corpus,4,0.31,symmetric,0.38564398958055124
100% Corpus,4,0.61,0.01,0.357389011170201
100% Corpus,4,0.61,0.31,0.37098766977864805
100% Corpus,4,0.61,0.61,0.37787029041748377
100% Corpus,4,0.61,0.9099999999999999,0.3837644607242089
100% Corpus,4,0.61,symmetric,0.37098766977864817
100% Corpus,4,0.9099999999999999,0.01,0.38960913392617397
100% Corpus,4,0.9099999999999999,0.31,0.38518041107984347
100% Corpus,4,0.9099999999999999,0.61,0.3887222851578627
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.3915815890200708
100% Corpus,4,0.9099999999999999,symmetric,0.3862172438417103
100% Corpus,4,symmetric,0.01,0.38250648510564333
100% Corpus,4,symmetric,0.31,0.37234804241326064
100% Corpus,4,symmetric,0.61,0.37269111456019327
100% Corpus,4,symmetric,0.9099999999999999,0.3707764121721153
100% Corpus,4,symmetric,symmetric,0.370542837667605
100% Corpus,4,asymmetric,0.01,0.521483377018005
100% Corpus,4,asymmetric,0.31,0.4955084606974248
100% Corpus,4,asymmetric,0.61,0.5733846659202356
100% Corpus,4,asymmetric,0.9099999999999999,0.502341296071824
100% Corpus,4,asymmetric,symmetric,0.5471548785176149
100% Corpus,5,0.01,0.01,0.3849938113766319
100% Corpus,5,0.01,0.31,0.39061404383298276
100% Corpus,5,0.01,0.61,0.39318407035494085
100% Corpus,5,0.01,0.9099999999999999,0.37724282959873423
100% Corpus,5,0.01,symmetric,0.3725742674355114
100% Corpus,5,0.31,0.01,0.3808421453423939
100% Corpus,5,0.31,0.31,0.37293774784629485
100% Corpus,5,0.31,0.61,0.3723175238615317
100% Corpus,5,0.31,0.9099999999999999,0.3817913608935128
100% Corpus,5,0.31,symmetric,0.39072568602438473
100% Corpus,5,0.61,0.01,0.3785615728020944
100% Corpus,5,0.61,0.31,0.3635877615765515
100% Corpus,5,0.61,0.61,0.3864260319034594
100% Corpus,5,0.61,0.9099999999999999,0.3885226756758501
100% Corpus,5,0.61,symmetric,0.37661931633181955
100% Corpus,5,0.9099999999999999,0.01,0.3826764372925402
100% Corpus,5,0.9099999999999999,0.31,0.38736087968812993
100% Corpus,5,0.9099999999999999,0.61,0.3942921696086129
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.39300125886762016
100% Corpus,5,0.9099999999999999,symmetric,0.3887908019178496
100% Corpus,5,symmetric,0.01,0.38643663567648023
100% Corpus,5,symmetric,0.31,0.3791802862585901
100% Corpus,5,symmetric,0.61,0.3790029786099304
100% Corpus,5,symmetric,0.9099999999999999,0.38580263821820376
100% Corpus,5,symmetric,symmetric,0.38331018076189444
100% Corpus,5,asymmetric,0.01,0.5303850786903865
100% Corpus,5,asymmetric,0.31,0.46482118407583456
100% Corpus,5,asymmetric,0.61,0.5814149037098828
100% Corpus,5,asymmetric,0.9099999999999999,0.5338044915709451
100% Corpus,5,asymmetric,symmetric,0.5069482862010201
