Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.25838561027508755
75% Corpus,2,0.01,0.31,0.27756746502023866
75% Corpus,2,0.01,0.61,0.2656473469138395
75% Corpus,2,0.01,0.9099999999999999,0.2703833555181803
75% Corpus,2,0.01,symmetric,0.26718947461359904
75% Corpus,2,0.31,0.01,0.25926531187237484
75% Corpus,2,0.31,0.31,0.26034047816678185
75% Corpus,2,0.31,0.61,0.2773586817693392
75% Corpus,2,0.31,0.9099999999999999,0.28340261369314773
75% Corpus,2,0.31,symmetric,0.26034047816678185
75% Corpus,2,0.61,0.01,0.2927197137314822
75% Corpus,2,0.61,0.31,0.29323522292897886
75% Corpus,2,0.61,0.61,0.29242053609302654
75% Corpus,2,0.61,0.9099999999999999,0.29454520926996297
75% Corpus,2,0.61,symmetric,0.29138543098491576
75% Corpus,2,0.9099999999999999,0.01,0.2927197137314822
75% Corpus,2,0.9099999999999999,0.31,0.28171767110369866
75% Corpus,2,0.9099999999999999,0.61,0.2908306173881259
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.2829332522405341
75% Corpus,2,0.9099999999999999,symmetric,0.2908306173881259
75% Corpus,2,symmetric,0.01,0.28649611587564555
75% Corpus,2,symmetric,0.31,0.2834026136931477
75% Corpus,2,symmetric,0.61,0.2834026136931477
75% Corpus,2,symmetric,0.9099999999999999,0.2749638759969181
75% Corpus,2,symmetric,symmetric,0.2834026136931477
75% Corpus,2,asymmetric,0.01,0.2877888335788503
75% Corpus,2,asymmetric,0.31,0.32635892075894596
75% Corpus,2,asymmetric,0.61,0.3144361565025231
75% Corpus,2,asymmetric,0.9099999999999999,0.327119903096587
75% Corpus,2,asymmetric,symmetric,0.3295136441344459
75% Corpus,3,0.01,0.01,0.3046536916293254
75% Corpus,3,0.01,0.31,0.28513792451378595
75% Corpus,3,0.01,0.61,0.2851379245137859
75% Corpus,3,0.01,0.9099999999999999,0.28280789439341
75% Corpus,3,0.01,symmetric,0.28513792451378595
75% Corpus,3,0.31,0.01,0.2963124274326087
75% Corpus,3,0.31,0.31,0.27005152036147134
75% Corpus,3,0.31,0.61,0.2742967344499158
75% Corpus,3,0.31,0.9099999999999999,0.2914711502820708
75% Corpus,3,0.31,symmetric,0.27005152036147134
75% Corpus,3,0.61,0.01,0.2638637365020133
75% Corpus,3,0.61,0.31,0.2589216790059727
75% Corpus,3,0.61,0.61,0.2737253167535935
75% Corpus,3,0.61,0.9099999999999999,0.28762063395832393
75% Corpus,3,0.61,symmetric,0.2649235176763589
75% Corpus,3,0.9099999999999999,0.01,0.27423391505397227
75% Corpus,3,0.9099999999999999,0.31,0.27252402695512246
75% Corpus,3,0.9099999999999999,0.61,0.27461181260690387
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.3295267611395454
75% Corpus,3,0.9099999999999999,symmetric,0.2725240269551224
75% Corpus,3,symmetric,0.01,0.27118969294309897
75% Corpus,3,symmetric,0.31,0.2768837636776929
75% Corpus,3,symmetric,0.61,0.29006090231534465
75% Corpus,3,symmetric,0.9099999999999999,0.2976176534781822
75% Corpus,3,symmetric,symmetric,0.2818731609019662
75% Corpus,3,asymmetric,0.01,0.33778563516482407
75% Corpus,3,asymmetric,0.31,0.37239526839502113
75% Corpus,3,asymmetric,0.61,0.36597617099708296
75% Corpus,3,asymmetric,0.9099999999999999,0.3773738304099661
75% Corpus,3,asymmetric,symmetric,0.37239526839502113
75% Corpus,4,0.01,0.01,0.23254938242335166
75% Corpus,4,0.01,0.31,0.24310854331202203
75% Corpus,4,0.01,0.61,0.25198910556970877
75% Corpus,4,0.01,0.9099999999999999,0.25281360796860836
75% Corpus,4,0.01,symmetric,0.2487103132132601
75% Corpus,4,0.31,0.01,0.29164028324046254
75% Corpus,4,0.31,0.31,0.26017527258151174
75% Corpus,4,0.31,0.61,0.28014930677952476
75% Corpus,4,0.31,0.9099999999999999,0.2760251120273073
75% Corpus,4,0.31,symmetric,0.2635343240850098
75% Corpus,4,0.61,0.01,0.29813561556460133
75% Corpus,4,0.61,0.31,0.2946787302718105
75% Corpus,4,0.61,0.61,0.26827845829199826
75% Corpus,4,0.61,0.9099999999999999,0.2986357395640441
75% Corpus,4,0.61,symmetric,0.29419128145069406
75% Corpus,4,0.9099999999999999,0.01,0.29806893027135095
75% Corpus,4,0.9099999999999999,0.31,0.3011538326929805
75% Corpus,4,0.9099999999999999,0.61,0.29695326688165763
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.2711199309728306
75% Corpus,4,0.9099999999999999,symmetric,0.297324330854432
75% Corpus,4,symmetric,0.01,0.27341061068086886
75% Corpus,4,symmetric,0.31,0.26981956445258276
75% Corpus,4,symmetric,0.61,0.26574547518944924
75% Corpus,4,symmetric,0.9099999999999999,0.2639273377601981
75% Corpus,4,symmetric,symmetric,0.26969245307595235
75% Corpus,4,asymmetric,0.01,0.3460602159463879
75% Corpus,4,asymmetric,0.31,0.3266184867667186
75% Corpus,4,asymmetric,0.61,0.3317494807204612
75% Corpus,4,asymmetric,0.9099999999999999,0.3391057436026442
75% Corpus,4,asymmetric,symmetric,0.3220034782520845
75% Corpus,5,0.01,0.01,0.27008835479841986
75% Corpus,5,0.01,0.31,0.28066490393793825
75% Corpus,5,0.01,0.61,0.2789877264556194
75% Corpus,5,0.01,0.9099999999999999,0.28620215853880343
75% Corpus,5,0.01,symmetric,0.2735322926720191
75% Corpus,5,0.31,0.01,0.28147990819518276
75% Corpus,5,0.31,0.31,0.2628019143865511
75% Corpus,5,0.31,0.61,0.2956638159402279
75% Corpus,5,0.31,0.9099999999999999,0.3014835088859301
75% Corpus,5,0.31,symmetric,0.2666753170978692
75% Corpus,5,0.61,0.01,0.2870805031886396
75% Corpus,5,0.61,0.31,0.31037578010880595
75% Corpus,5,0.61,0.61,0.30797986825833834
75% Corpus,5,0.61,0.9099999999999999,0.32338359044106435
75% Corpus,5,0.61,symmetric,0.31098877984472395
75% Corpus,5,0.9099999999999999,0.01,0.28772786234646164
75% Corpus,5,0.9099999999999999,0.31,0.30308094793558266
75% Corpus,5,0.9099999999999999,0.61,0.31292529208608244
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.3130943971527362
75% Corpus,5,0.9099999999999999,symmetric,0.28877710085036934
75% Corpus,5,symmetric,0.01,0.27427647870422944
75% Corpus,5,symmetric,0.31,0.278040527023607
75% Corpus,5,symmetric,0.61,0.28600775815271606
75% Corpus,5,symmetric,0.9099999999999999,0.2891574259186117
75% Corpus,5,symmetric,symmetric,0.2704319508063225
75% Corpus,5,asymmetric,0.01,0.3170650378699086
75% Corpus,5,asymmetric,0.31,0.3482874195541239
75% Corpus,5,asymmetric,0.61,0.30814909701237114
75% Corpus,5,asymmetric,0.9099999999999999,0.3552617295029943
75% Corpus,5,asymmetric,symmetric,0.34865556760162886
100% Corpus,2,0.01,0.01,0.26337817659548435
100% Corpus,2,0.01,0.31,0.2578949835066914
100% Corpus,2,0.01,0.61,0.2578949835066913
100% Corpus,2,0.01,0.9099999999999999,0.2578949835066914
100% Corpus,2,0.01,symmetric,0.2578949835066914
100% Corpus,2,0.31,0.01,0.2668481408912172
100% Corpus,2,0.31,0.31,0.2720774651795646
100% Corpus,2,0.31,0.61,0.2859616678539605
100% Corpus,2,0.31,0.9099999999999999,0.2859616678539605
100% Corpus,2,0.31,symmetric,0.2859616678539605
100% Corpus,2,0.61,0.01,0.2892024652733687
100% Corpus,2,0.61,0.31,0.2892024652733687
100% Corpus,2,0.61,0.61,0.2892024652733687
100% Corpus,2,0.61,0.9099999999999999,0.2892024652733687
100% Corpus,2,0.61,symmetric,0.2892024652733687
100% Corpus,2,0.9099999999999999,0.01,0.2781537388519074
100% Corpus,2,0.9099999999999999,0.31,0.2781537388519074
100% Corpus,2,0.9099999999999999,0.61,0.2907659852194778
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.28933199762556616
100% Corpus,2,0.9099999999999999,symmetric,0.2907659852194778
100% Corpus,2,symmetric,0.01,0.2954163635710689
100% Corpus,2,symmetric,0.31,0.28920246527336857
100% Corpus,2,symmetric,0.61,0.2892024652733687
100% Corpus,2,symmetric,0.9099999999999999,0.28470420712762384
100% Corpus,2,symmetric,symmetric,0.2892024652733687
100% Corpus,2,asymmetric,0.01,0.25800295820001673
