Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.4357970205481072
75% Corpus,2,0.01,0.31,0.4357970205481072
75% Corpus,2,0.01,0.61,0.43660441596635224
75% Corpus,2,0.01,0.9099999999999999,0.46623431940947796
75% Corpus,2,0.01,symmetric,0.43660441596635224
75% Corpus,2,0.31,0.01,0.4385575343823783
75% Corpus,2,0.31,0.31,0.41659083559542254
75% Corpus,2,0.31,0.61,0.4131472089920243
75% Corpus,2,0.31,0.9099999999999999,0.44177423538368454
75% Corpus,2,0.31,symmetric,0.44177423538368454
75% Corpus,2,0.61,0.01,0.44395052890173287
75% Corpus,2,0.61,0.31,0.42311155744095086
75% Corpus,2,0.61,0.61,0.4417742353836846
75% Corpus,2,0.61,0.9099999999999999,0.44821595690362515
75% Corpus,2,0.61,symmetric,0.42311155744095086
75% Corpus,2,0.9099999999999999,0.01,0.4483990709016661
75% Corpus,2,0.9099999999999999,0.31,0.40934068320801964
75% Corpus,2,0.9099999999999999,0.61,0.4093406832080197
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.4344910974762287
75% Corpus,2,0.9099999999999999,symmetric,0.40934068320801964
75% Corpus,2,symmetric,0.01,0.44395052890173287
75% Corpus,2,symmetric,0.31,0.42311155744095086
75% Corpus,2,symmetric,0.61,0.44177423538368454
75% Corpus,2,symmetric,0.9099999999999999,0.4692260670780004
75% Corpus,2,symmetric,symmetric,0.42311155744095086
75% Corpus,2,asymmetric,0.01,0.4441567167542041
75% Corpus,2,asymmetric,0.31,0.4220489457997862
75% Corpus,2,asymmetric,0.61,0.4486909313536833
75% Corpus,2,asymmetric,0.9099999999999999,0.41885419431407916
75% Corpus,2,asymmetric,symmetric,0.4301918553027313
75% Corpus,3,0.01,0.01,0.4231017886846535
75% Corpus,3,0.01,0.31,0.4592418382337578
75% Corpus,3,0.01,0.61,0.44149735400937895
75% Corpus,3,0.01,0.9099999999999999,0.44244650726121604
75% Corpus,3,0.01,symmetric,0.4592418382337578
75% Corpus,3,0.31,0.01,0.4457741129069123
75% Corpus,3,0.31,0.31,0.41502917495200736
75% Corpus,3,0.31,0.61,0.4374142989741217
75% Corpus,3,0.31,0.9099999999999999,0.4321649024245055
75% Corpus,3,0.31,symmetric,0.41502917495200736
75% Corpus,3,0.61,0.01,0.4621212084248365
75% Corpus,3,0.61,0.31,0.44757763070574863
75% Corpus,3,0.61,0.61,0.446590205275563
75% Corpus,3,0.61,0.9099999999999999,0.44714905926366244
75% Corpus,3,0.61,symmetric,0.44757763070574863
75% Corpus,3,0.9099999999999999,0.01,0.4226864905446335
75% Corpus,3,0.9099999999999999,0.31,0.45071629712375616
75% Corpus,3,0.9099999999999999,0.61,0.4465894487254695
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.45654472885715386
75% Corpus,3,0.9099999999999999,symmetric,0.4514932565010377
75% Corpus,3,symmetric,0.01,0.4457741129069123
75% Corpus,3,symmetric,0.31,0.41991393158385987
75% Corpus,3,symmetric,0.61,0.4374142989741217
75% Corpus,3,symmetric,0.9099999999999999,0.44849913000844593
75% Corpus,3,symmetric,symmetric,0.41991393158385987
75% Corpus,3,asymmetric,0.01,0.478672149891989
75% Corpus,3,asymmetric,0.31,0.493206607861135
75% Corpus,3,asymmetric,0.61,0.41055926627243816
75% Corpus,3,asymmetric,0.9099999999999999,0.4731394303518049
75% Corpus,3,asymmetric,symmetric,0.4916840868461116
75% Corpus,4,0.01,0.01,0.4604542952457466
75% Corpus,4,0.01,0.31,0.45687526324530847
75% Corpus,4,0.01,0.61,0.42826512392111815
75% Corpus,4,0.01,0.9099999999999999,0.4409056892795317
75% Corpus,4,0.01,symmetric,0.4467054689800165
75% Corpus,4,0.31,0.01,0.4676448427677105
75% Corpus,4,0.31,0.31,0.4668869769550877
75% Corpus,4,0.31,0.61,0.4510450373011581
75% Corpus,4,0.31,0.9099999999999999,0.4683097376017772
75% Corpus,4,0.31,symmetric,0.4653474333713762
75% Corpus,4,0.61,0.01,0.45189387400524783
75% Corpus,4,0.61,0.31,0.46076236680494087
75% Corpus,4,0.61,0.61,0.4831265990842935
75% Corpus,4,0.61,0.9099999999999999,0.46858178327403
75% Corpus,4,0.61,symmetric,0.45558210872203553
75% Corpus,4,0.9099999999999999,0.01,0.4441534909275236
75% Corpus,4,0.9099999999999999,0.31,0.4520419175793218
75% Corpus,4,0.9099999999999999,0.61,0.45582632327816064
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.44419132430381325
75% Corpus,4,0.9099999999999999,symmetric,0.4580504994639187
75% Corpus,4,symmetric,0.01,0.45676536167209086
75% Corpus,4,symmetric,0.31,0.4711322574267499
75% Corpus,4,symmetric,0.61,0.450878549728702
75% Corpus,4,symmetric,0.9099999999999999,0.46821928466789076
75% Corpus,4,symmetric,symmetric,0.46688697695508763
75% Corpus,4,asymmetric,0.01,0.45287986273299385
75% Corpus,4,asymmetric,0.31,0.4529810979092181
75% Corpus,4,asymmetric,0.61,0.4360637013215999
75% Corpus,4,asymmetric,0.9099999999999999,0.43227721167116706
75% Corpus,4,asymmetric,symmetric,0.4551813396583697
75% Corpus,5,0.01,0.01,0.42908381589733463
75% Corpus,5,0.01,0.31,0.43888771509831115
75% Corpus,5,0.01,0.61,0.42469462509911365
75% Corpus,5,0.01,0.9099999999999999,0.41765774258363714
75% Corpus,5,0.01,symmetric,0.43907998627690137
75% Corpus,5,0.31,0.01,0.4369641818506415
75% Corpus,5,0.31,0.31,0.41662166863001726
75% Corpus,5,0.31,0.61,0.43603396698194236
75% Corpus,5,0.31,0.9099999999999999,0.4289817183731194
75% Corpus,5,0.31,symmetric,0.4033449920885518
75% Corpus,5,0.61,0.01,0.4227706325989904
75% Corpus,5,0.61,0.31,0.4127307915630955
75% Corpus,5,0.61,0.61,0.41671507066911107
75% Corpus,5,0.61,0.9099999999999999,0.4107181511559802
75% Corpus,5,0.61,symmetric,0.41847966757782407
75% Corpus,5,0.9099999999999999,0.01,0.4536132697107084
75% Corpus,5,0.9099999999999999,0.31,0.43528663689053626
75% Corpus,5,0.9099999999999999,0.61,0.4267183421122656
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.4339061203491232
75% Corpus,5,0.9099999999999999,symmetric,0.4171241554151912
75% Corpus,5,symmetric,0.01,0.40440938297669043
75% Corpus,5,symmetric,0.31,0.42697847474192097
75% Corpus,5,symmetric,0.61,0.4299276984654091
75% Corpus,5,symmetric,0.9099999999999999,0.39354433381582304
75% Corpus,5,symmetric,symmetric,0.4361112926919842
75% Corpus,5,asymmetric,0.01,0.4575630209213431
75% Corpus,5,asymmetric,0.31,0.43948235829535703
75% Corpus,5,asymmetric,0.61,0.37958505318576774
75% Corpus,5,asymmetric,0.9099999999999999,0.3452249246734496
75% Corpus,5,asymmetric,symmetric,0.4627233237329221
75% Corpus,6,0.01,0.01,0.4231530258637184
75% Corpus,6,0.01,0.31,0.4027617597275753
75% Corpus,6,0.01,0.61,0.409860227625473
75% Corpus,6,0.01,0.9099999999999999,0.4063101528403476
75% Corpus,6,0.01,symmetric,0.40821811578541317
75% Corpus,6,0.31,0.01,0.454672239612199
75% Corpus,6,0.31,0.31,0.4484112086493744
75% Corpus,6,0.31,0.61,0.39897918230677987
75% Corpus,6,0.31,0.9099999999999999,0.4053324127729451
75% Corpus,6,0.31,symmetric,0.4533281429295413
75% Corpus,6,0.61,0.01,0.41915434867854323
75% Corpus,6,0.61,0.31,0.43897241530765513
75% Corpus,6,0.61,0.61,0.4079835499751177
75% Corpus,6,0.61,0.9099999999999999,0.4859673638261847
75% Corpus,6,0.61,symmetric,0.43910071564527003
75% Corpus,6,0.9099999999999999,0.01,0.4263666273097349
75% Corpus,6,0.9099999999999999,0.31,0.44283521043611196
75% Corpus,6,0.9099999999999999,0.61,0.43539949010415047
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.4870850517546086
75% Corpus,6,0.9099999999999999,symmetric,0.4393722854662056
75% Corpus,6,symmetric,0.01,0.43774255189045724
75% Corpus,6,symmetric,0.31,0.4598074122723684
75% Corpus,6,symmetric,0.61,0.41110713280495387
75% Corpus,6,symmetric,0.9099999999999999,0.4071207476430325
75% Corpus,6,symmetric,symmetric,0.41946603961367374
75% Corpus,6,asymmetric,0.01,0.4610318761676036
75% Corpus,6,asymmetric,0.31,0.45770957642296217
75% Corpus,6,asymmetric,0.61,0.5408291426891815
75% Corpus,6,asymmetric,0.9099999999999999,0.4689442019935586
75% Corpus,6,asymmetric,symmetric,0.45376085163260854
75% Corpus,7,0.01,0.01,0.43303209504953355
75% Corpus,7,0.01,0.31,0.4588206694900681
75% Corpus,7,0.01,0.61,0.4144427771406995
75% Corpus,7,0.01,0.9099999999999999,0.42277065978970935
75% Corpus,7,0.01,symmetric,0.4487066338333011
75% Corpus,7,0.31,0.01,0.4265073382378799
75% Corpus,7,0.31,0.31,0.4474022058864829
75% Corpus,7,0.31,0.61,0.4030056566423501
75% Corpus,7,0.31,0.9099999999999999,0.3999787255430979
75% Corpus,7,0.31,symmetric,0.4408396578035093
75% Corpus,7,0.61,0.01,0.42757336869446416
75% Corpus,7,0.61,0.31,0.43152439286942207
