Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.4707074133002481
75% Corpus,2,0.01,0.31,0.47070741330024823
75% Corpus,2,0.01,0.61,0.4404594223466435
75% Corpus,2,0.01,0.9099999999999999,0.42396011326678357
75% Corpus,2,0.01,symmetric,0.46073393330364054
75% Corpus,2,0.31,0.01,0.47070609994107987
75% Corpus,2,0.31,0.31,0.46446297604538
75% Corpus,2,0.31,0.61,0.43194421034428715
75% Corpus,2,0.31,0.9099999999999999,0.4140095159082505
75% Corpus,2,0.31,symmetric,0.4319442103442871
75% Corpus,2,0.61,0.01,0.4765433711793988
75% Corpus,2,0.61,0.31,0.46446297604538006
75% Corpus,2,0.61,0.61,0.4527301989475742
75% Corpus,2,0.61,0.9099999999999999,0.4140095159082505
75% Corpus,2,0.61,symmetric,0.4527301989475742
75% Corpus,2,0.9099999999999999,0.01,0.4765433711793988
75% Corpus,2,0.9099999999999999,0.31,0.4765433711793988
75% Corpus,2,0.9099999999999999,0.61,0.4609209398391287
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.4519868192259783
75% Corpus,2,0.9099999999999999,symmetric,0.4609209398391287
75% Corpus,2,symmetric,0.01,0.4765433711793988
75% Corpus,2,symmetric,0.31,0.4562005999091725
75% Corpus,2,symmetric,0.61,0.431944210344287
75% Corpus,2,symmetric,0.9099999999999999,0.4140095159082505
75% Corpus,2,symmetric,symmetric,0.45273019894757416
75% Corpus,2,asymmetric,0.01,0.42337454304369365
75% Corpus,2,asymmetric,0.31,0.3885949453950975
75% Corpus,2,asymmetric,0.61,0.44639439853218615
75% Corpus,2,asymmetric,0.9099999999999999,0.4326912983894352
75% Corpus,2,asymmetric,symmetric,0.464845699597523
75% Corpus,3,0.01,0.01,0.5055832845714677
75% Corpus,3,0.01,0.31,0.49028626378135837
75% Corpus,3,0.01,0.61,0.4616485345831734
75% Corpus,3,0.01,0.9099999999999999,0.46891589573936726
75% Corpus,3,0.01,symmetric,0.49028626378135837
75% Corpus,3,0.31,0.01,0.47794016327310596
75% Corpus,3,0.31,0.31,0.5108355119173771
75% Corpus,3,0.31,0.61,0.49063346216908704
75% Corpus,3,0.31,0.9099999999999999,0.4579346611673924
75% Corpus,3,0.31,symmetric,0.5085097574984924
75% Corpus,3,0.61,0.01,0.4757792268176056
75% Corpus,3,0.61,0.31,0.517276734695839
75% Corpus,3,0.61,0.61,0.4730848679325758
75% Corpus,3,0.61,0.9099999999999999,0.46010599042098255
75% Corpus,3,0.61,symmetric,0.4967442440986254
75% Corpus,3,0.9099999999999999,0.01,0.4870887971660307
75% Corpus,3,0.9099999999999999,0.31,0.5084670642067892
75% Corpus,3,0.9099999999999999,0.61,0.47806242807866967
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.4773706562293864
75% Corpus,3,0.9099999999999999,symmetric,0.5084670642067892
75% Corpus,3,symmetric,0.01,0.4806438471001331
75% Corpus,3,symmetric,0.31,0.510835511917377
75% Corpus,3,symmetric,0.61,0.49026531524067335
75% Corpus,3,symmetric,0.9099999999999999,0.4609638326111389
75% Corpus,3,symmetric,symmetric,0.4846539316018519
75% Corpus,3,asymmetric,0.01,0.44304584560804194
75% Corpus,3,asymmetric,0.31,0.40564692209265774
75% Corpus,3,asymmetric,0.61,0.4253449283028265
75% Corpus,3,asymmetric,0.9099999999999999,0.4151924307746652
75% Corpus,3,asymmetric,symmetric,0.4126057554817201
75% Corpus,4,0.01,0.01,0.49252718098415416
75% Corpus,4,0.01,0.31,0.47017695968395
75% Corpus,4,0.01,0.61,0.46267204613981744
75% Corpus,4,0.01,0.9099999999999999,0.4447795102810226
75% Corpus,4,0.01,symmetric,0.47293680320595577
75% Corpus,4,0.31,0.01,0.4547533155224652
75% Corpus,4,0.31,0.31,0.46868885610479966
75% Corpus,4,0.31,0.61,0.4454557787164799
75% Corpus,4,0.31,0.9099999999999999,0.39874510761047716
75% Corpus,4,0.31,symmetric,0.454714304532952
75% Corpus,4,0.61,0.01,0.45332517892681556
75% Corpus,4,0.61,0.31,0.4511793970807036
75% Corpus,4,0.61,0.61,0.41260894412413796
75% Corpus,4,0.61,0.9099999999999999,0.39600527409544284
75% Corpus,4,0.61,symmetric,0.4508580485518998
75% Corpus,4,0.9099999999999999,0.01,0.4782480851715709
75% Corpus,4,0.9099999999999999,0.31,0.45961076253378763
75% Corpus,4,0.9099999999999999,0.61,0.4340805223897946
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.3960523925821726
75% Corpus,4,0.9099999999999999,symmetric,0.4644194232762603
75% Corpus,4,symmetric,0.01,0.4613546629545638
75% Corpus,4,symmetric,0.31,0.47857732895314375
75% Corpus,4,symmetric,0.61,0.43605434532201864
75% Corpus,4,symmetric,0.9099999999999999,0.41549078374974846
75% Corpus,4,symmetric,symmetric,0.47166343607222305
75% Corpus,4,asymmetric,0.01,0.4103887184192947
75% Corpus,4,asymmetric,0.31,0.41333058121502214
75% Corpus,4,asymmetric,0.61,0.41578445808311776
75% Corpus,4,asymmetric,0.9099999999999999,0.4098539901239466
75% Corpus,4,asymmetric,symmetric,0.39615379745614676
75% Corpus,5,0.01,0.01,0.4931128232983627
75% Corpus,5,0.01,0.31,0.48039568952143663
75% Corpus,5,0.01,0.61,0.469139737256744
75% Corpus,5,0.01,0.9099999999999999,0.44449411638865116
75% Corpus,5,0.01,symmetric,0.49408988373520357
75% Corpus,5,0.31,0.01,0.4932667417917348
75% Corpus,5,0.31,0.31,0.4618131795568087
75% Corpus,5,0.31,0.61,0.4792957582037102
75% Corpus,5,0.31,0.9099999999999999,0.45529452811570204
75% Corpus,5,0.31,symmetric,0.47305598507176044
75% Corpus,5,0.61,0.01,0.44680571311632944
75% Corpus,5,0.61,0.31,0.45041891330623435
75% Corpus,5,0.61,0.61,0.4076089470980321
75% Corpus,5,0.61,0.9099999999999999,0.38248112702279446
75% Corpus,5,0.61,symmetric,0.46634836203478597
75% Corpus,5,0.9099999999999999,0.01,0.47928618407686086
75% Corpus,5,0.9099999999999999,0.31,0.44811742809573873
75% Corpus,5,0.9099999999999999,0.61,0.43123812587481314
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.4168147783639681
75% Corpus,5,0.9099999999999999,symmetric,0.4566711542981534
75% Corpus,5,symmetric,0.01,0.4861265557349366
