Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.4089176108758575
75% Corpus,2,0.01,0.31,0.4089176108758575
75% Corpus,2,0.01,0.61,0.41099508539054763
75% Corpus,2,0.01,0.9099999999999999,0.39622474274223973
75% Corpus,2,0.01,symmetric,0.41485638138176095
75% Corpus,2,0.31,0.01,0.4171699068618951
75% Corpus,2,0.31,0.31,0.41473508897014344
75% Corpus,2,0.31,0.61,0.40352823338394184
75% Corpus,2,0.31,0.9099999999999999,0.3753832713054057
75% Corpus,2,0.31,symmetric,0.39427563003597454
75% Corpus,2,0.61,0.01,0.4064852178110158
75% Corpus,2,0.61,0.31,0.38251643238074473
75% Corpus,2,0.61,0.61,0.3743369611513159
75% Corpus,2,0.61,0.9099999999999999,0.3752937391801373
75% Corpus,2,0.61,symmetric,0.37465214392785723
75% Corpus,2,0.9099999999999999,0.01,0.38677814704256575
75% Corpus,2,0.9099999999999999,0.31,0.4017654684901064
75% Corpus,2,0.9099999999999999,0.61,0.3788387756338976
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.3664562758689972
75% Corpus,2,0.9099999999999999,symmetric,0.3853628107654869
75% Corpus,2,symmetric,0.01,0.40093593770043356
75% Corpus,2,symmetric,0.31,0.3843042030071359
75% Corpus,2,symmetric,0.61,0.3846699602734054
75% Corpus,2,symmetric,0.9099999999999999,0.3837112423442628
75% Corpus,2,symmetric,symmetric,0.38466996027340533
75% Corpus,2,asymmetric,0.01,0.4046339773462182
75% Corpus,2,asymmetric,0.31,0.39589905086600063
75% Corpus,2,asymmetric,0.61,0.42900115533747
75% Corpus,2,asymmetric,0.9099999999999999,0.46096817867088036
75% Corpus,2,asymmetric,symmetric,0.42900115533746996
75% Corpus,3,0.01,0.01,0.3724608495799974
75% Corpus,3,0.01,0.31,0.35760005915488335
75% Corpus,3,0.01,0.61,0.340944874590904
75% Corpus,3,0.01,0.9099999999999999,0.3528532469353185
75% Corpus,3,0.01,symmetric,0.35760005915488335
75% Corpus,3,0.31,0.01,0.35678341804293257
75% Corpus,3,0.31,0.31,0.3443173600227009
75% Corpus,3,0.31,0.61,0.354608292804861
75% Corpus,3,0.31,0.9099999999999999,0.3883177710129721
75% Corpus,3,0.31,symmetric,0.3395035056608113
75% Corpus,3,0.61,0.01,0.354433428282513
75% Corpus,3,0.61,0.31,0.3557518854310861
75% Corpus,3,0.61,0.61,0.3849623094676886
75% Corpus,3,0.61,0.9099999999999999,0.41044040270348353
75% Corpus,3,0.61,symmetric,0.3612107527905742
75% Corpus,3,0.9099999999999999,0.01,0.34785345772733267
75% Corpus,3,0.9099999999999999,0.31,0.3652687875433244
75% Corpus,3,0.9099999999999999,0.61,0.36079561555269096
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.42247496912468513
75% Corpus,3,0.9099999999999999,symmetric,0.37198674550192184
75% Corpus,3,symmetric,0.01,0.35678341804293257
75% Corpus,3,symmetric,0.31,0.3464644342590166
