Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,2,0.01,0.01,0.28124128573176027
100% Corpus,2,0.01,0.31,0.2799815312227981
100% Corpus,2,0.01,0.61,0.2826432974078633
100% Corpus,2,0.01,0.9099999999999999,0.28264329740786337
100% Corpus,2,0.01,symmetric,0.2919157048474758
100% Corpus,2,0.31,0.01,0.27700775495278257
100% Corpus,2,0.31,0.31,0.2861721955051262
100% Corpus,2,0.31,0.61,0.29950259008043345
100% Corpus,2,0.31,0.9099999999999999,0.29950259008043345
100% Corpus,2,0.31,symmetric,0.2968827024057792
100% Corpus,2,0.61,0.01,0.3264192676458354
100% Corpus,2,0.61,0.31,0.31937907893681483
100% Corpus,2,0.61,0.61,0.3162667548469247
100% Corpus,2,0.61,0.9099999999999999,0.2995025900804335
100% Corpus,2,0.61,symmetric,0.3162667548469247
100% Corpus,2,0.9099999999999999,0.01,0.32859823000923405
100% Corpus,2,0.9099999999999999,0.31,0.321580007078743
100% Corpus,2,0.9099999999999999,0.61,0.3123838079678675
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.29950259008043345
100% Corpus,2,0.9099999999999999,symmetric,0.3123838079678675
100% Corpus,2,symmetric,0.01,0.321580007078743
100% Corpus,2,symmetric,0.31,0.31937907893681483
100% Corpus,2,symmetric,0.61,0.3162667548469246
100% Corpus,2,symmetric,0.9099999999999999,0.29876266747682895
100% Corpus,2,symmetric,symmetric,0.3162667548469247
100% Corpus,2,asymmetric,0.01,0.362295140390606
100% Corpus,2,asymmetric,0.31,0.37599621949107087
100% Corpus,2,asymmetric,0.61,0.29203066778412723
100% Corpus,2,asymmetric,0.9099999999999999,0.4799058112574608
100% Corpus,2,asymmetric,symmetric,0.3124209853135416
100% Corpus,3,0.01,0.01,0.33627295376511485
100% Corpus,3,0.01,0.31,0.33627295376511496
100% Corpus,3,0.01,0.61,0.33749942056750165
100% Corpus,3,0.01,0.9099999999999999,0.3137139176820138
100% Corpus,3,0.01,symmetric,0.336272953765115
100% Corpus,3,0.31,0.01,0.31481992418607824
100% Corpus,3,0.31,0.31,0.30824705058736024
100% Corpus,3,0.31,0.61,0.3082470505873603
100% Corpus,3,0.31,0.9099999999999999,0.31567271029481153
100% Corpus,3,0.31,symmetric,0.30824705058736024
100% Corpus,3,0.61,0.01,0.3444978566099753
100% Corpus,3,0.61,0.31,0.3391488498561092
100% Corpus,3,0.61,0.61,0.33613587223917474
100% Corpus,3,0.61,0.9099999999999999,0.32563212506516853
100% Corpus,3,0.61,symmetric,0.3391488498561092
100% Corpus,3,0.9099999999999999,0.01,0.33110920593950927
100% Corpus,3,0.9099999999999999,0.31,0.30684379408314316
100% Corpus,3,0.9099999999999999,0.61,0.3080292074000977
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.30678253622674007
100% Corpus,3,0.9099999999999999,symmetric,0.30684379408314316
100% Corpus,3,symmetric,0.01,0.31481992418607824
100% Corpus,3,symmetric,0.31,0.30824705058736024
100% Corpus,3,symmetric,0.61,0.3035881650961095
100% Corpus,3,symmetric,0.9099999999999999,0.31555156158717673
100% Corpus,3,symmetric,symmetric,0.3082470505873603
100% Corpus,3,asymmetric,0.01,0.35415197295446893
100% Corpus,3,asymmetric,0.31,0.3831725854263486
100% Corpus,3,asymmetric,0.61,0.3354859083764188
100% Corpus,3,asymmetric,0.9099999999999999,0.4988858329145887
100% Corpus,3,asymmetric,symmetric,0.3727230552976322
100% Corpus,4,0.01,0.01,0.3589692894831431
100% Corpus,4,0.01,0.31,0.36534774938923253
100% Corpus,4,0.01,0.61,0.3434410082153184
100% Corpus,4,0.01,0.9099999999999999,0.34277468135062616
100% Corpus,4,0.01,symmetric,0.3617049410826369
100% Corpus,4,0.31,0.01,0.33603091861561735
100% Corpus,4,0.31,0.31,0.3584088685070244
100% Corpus,4,0.31,0.61,0.37637529631030087
100% Corpus,4,0.31,0.9099999999999999,0.3833065488911045
100% Corpus,4,0.31,symmetric,0.3552666012727947
100% Corpus,4,0.61,0.01,0.34359588237577643
100% Corpus,4,0.61,0.31,0.348924598428991
100% Corpus,4,0.61,0.61,0.3570626963199356
100% Corpus,4,0.61,0.9099999999999999,0.36246239816370945
100% Corpus,4,0.61,symmetric,0.348924598428991
100% Corpus,4,0.9099999999999999,0.01,0.3255897177171234
100% Corpus,4,0.9099999999999999,0.31,0.3256580279309789
100% Corpus,4,0.9099999999999999,0.61,0.3159809933401248
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.32656180770742765
100% Corpus,4,0.9099999999999999,symmetric,0.327625972218789
100% Corpus,4,symmetric,0.01,0.3401948043763638
100% Corpus,4,symmetric,0.31,0.36237628811420647
100% Corpus,4,symmetric,0.61,0.3785049674649611
100% Corpus,4,symmetric,0.9099999999999999,0.3800868729130056
100% Corpus,4,symmetric,symmetric,0.3523855409101098
100% Corpus,4,asymmetric,0.01,0.39330153734357776
100% Corpus,4,asymmetric,0.31,0.40959437581307756
100% Corpus,4,asymmetric,0.61,0.35330596646840007
100% Corpus,4,asymmetric,0.9099999999999999,0.5042633005400737
100% Corpus,4,asymmetric,symmetric,0.4408581094352607
100% Corpus,5,0.01,0.01,0.34705844025178534
100% Corpus,5,0.01,0.31,0.34446200023915335
100% Corpus,5,0.01,0.61,0.3431319099441595
100% Corpus,5,0.01,0.9099999999999999,0.3829944052616141
100% Corpus,5,0.01,symmetric,0.34892427917002916
100% Corpus,5,0.31,0.01,0.3350773737748558
100% Corpus,5,0.31,0.31,0.341563550886488
100% Corpus,5,0.31,0.61,0.34440277663276236
100% Corpus,5,0.31,0.9099999999999999,0.3218100704760296
100% Corpus,5,0.31,symmetric,0.342097806273014
100% Corpus,5,0.61,0.01,0.3506927134291366
100% Corpus,5,0.61,0.31,0.34660731793123506
100% Corpus,5,0.61,0.61,0.35781731553680185
100% Corpus,5,0.61,0.9099999999999999,0.37192323318478826
100% Corpus,5,0.61,symmetric,0.36628233756347495
100% Corpus,5,0.9099999999999999,0.01,0.32595869883750844
100% Corpus,5,0.9099999999999999,0.31,0.3221418908918657
100% Corpus,5,0.9099999999999999,0.61,0.3050991552342981
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.3020690767113718
100% Corpus,5,0.9099999999999999,symmetric,0.31537569957146694
100% Corpus,5,symmetric,0.01,0.3430995861262334
100% Corpus,5,symmetric,0.31,0.34834967251069227
100% Corpus,5,symmetric,0.61,0.35436518214228835
100% Corpus,5,symmetric,0.9099999999999999,0.3756593512090311
100% Corpus,5,symmetric,symmetric,0.33813086865075465
100% Corpus,5,asymmetric,0.01,0.3697747824655883
100% Corpus,5,asymmetric,0.31,0.37257944800562265
100% Corpus,5,asymmetric,0.61,0.3412492417024876
100% Corpus,5,asymmetric,0.9099999999999999,0.5320770823192404
100% Corpus,5,asymmetric,symmetric,0.3546066790609037
