Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.3788505310966468
75% Corpus,2,0.01,0.31,0.4009230976107323
75% Corpus,2,0.01,0.61,0.39907131349126124
75% Corpus,2,0.01,0.9099999999999999,0.39907131349126124
75% Corpus,2,0.01,symmetric,0.39012639020172923
75% Corpus,2,0.31,0.01,0.3778575001267638
75% Corpus,2,0.31,0.31,0.37061766701607024
75% Corpus,2,0.31,0.61,0.37061766701607024
75% Corpus,2,0.31,0.9099999999999999,0.36833404991515417
75% Corpus,2,0.31,symmetric,0.37061766701607024
75% Corpus,2,0.61,0.01,0.39645849196081473
75% Corpus,2,0.61,0.31,0.3638101657771122
75% Corpus,2,0.61,0.61,0.38794603389790866
75% Corpus,2,0.61,0.9099999999999999,0.39229160694495135
75% Corpus,2,0.61,symmetric,0.36381016577711234
75% Corpus,2,0.9099999999999999,0.01,0.3648050866284942
75% Corpus,2,0.9099999999999999,0.31,0.33998961916757764
75% Corpus,2,0.9099999999999999,0.61,0.4122981135775645
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.3993443214244123
75% Corpus,2,0.9099999999999999,symmetric,0.4012575931291633
75% Corpus,2,symmetric,0.01,0.36968013029197744
75% Corpus,2,symmetric,0.31,0.3728531426180446
75% Corpus,2,symmetric,0.61,0.3638101657771123
75% Corpus,2,symmetric,0.9099999999999999,0.38982543292529576
75% Corpus,2,symmetric,symmetric,0.3638101657771122
75% Corpus,2,asymmetric,0.01,0.344254952770285
75% Corpus,2,asymmetric,0.31,0.43267905293602604
75% Corpus,2,asymmetric,0.61,0.34502881275643194
75% Corpus,2,asymmetric,0.9099999999999999,0.39443631675318913
75% Corpus,2,asymmetric,symmetric,0.35962572910100254
75% Corpus,3,0.01,0.01,0.39320403060958603
75% Corpus,3,0.01,0.31,0.3721157023105574
75% Corpus,3,0.01,0.61,0.3994486882097114
75% Corpus,3,0.01,0.9099999999999999,0.4078335241143889
75% Corpus,3,0.01,symmetric,0.37211570231055724
75% Corpus,3,0.31,0.01,0.3943868044490535
75% Corpus,3,0.31,0.31,0.3810522972774614
75% Corpus,3,0.31,0.61,0.3832135000172962
75% Corpus,3,0.31,0.9099999999999999,0.40421163107348446
75% Corpus,3,0.31,symmetric,0.3810522972774615
75% Corpus,3,0.61,0.01,0.38846886330587216
75% Corpus,3,0.61,0.31,0.3972204741939441
75% Corpus,3,0.61,0.61,0.4069848832622733
75% Corpus,3,0.61,0.9099999999999999,0.3938136879702913
75% Corpus,3,0.61,symmetric,0.38805499950751016
75% Corpus,3,0.9099999999999999,0.01,0.37592738821728267
75% Corpus,3,0.9099999999999999,0.31,0.4001626471342375
75% Corpus,3,0.9099999999999999,0.61,0.41889707655103475
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.43092018799949877
75% Corpus,3,0.9099999999999999,symmetric,0.4001626471342375
75% Corpus,3,symmetric,0.01,0.3943868044490535
75% Corpus,3,symmetric,0.31,0.3810522972774615
75% Corpus,3,symmetric,0.61,0.3837269313322757
75% Corpus,3,symmetric,0.9099999999999999,0.41501747077466683
75% Corpus,3,symmetric,symmetric,0.3919162350391943
75% Corpus,3,asymmetric,0.01,0.41911494032759355
75% Corpus,3,asymmetric,0.31,0.4662050159072491
75% Corpus,3,asymmetric,0.61,0.4530867768228905
75% Corpus,3,asymmetric,0.9099999999999999,0.4350407240632698
75% Corpus,3,asymmetric,symmetric,0.4618716015825551
75% Corpus,4,0.01,0.01,0.3852078465218054
75% Corpus,4,0.01,0.31,0.4286708212354655
75% Corpus,4,0.01,0.61,0.41215642914808187
75% Corpus,4,0.01,0.9099999999999999,0.4385757320143995
75% Corpus,4,0.01,symmetric,0.41095807951
75% Corpus,4,0.31,0.01,0.36371288980492616
75% Corpus,4,0.31,0.31,0.3911384400844038
75% Corpus,4,0.31,0.61,0.39725298640301304
75% Corpus,4,0.31,0.9099999999999999,0.4053328165845428
75% Corpus,4,0.31,symmetric,0.38510567646002003
75% Corpus,4,0.61,0.01,0.36964074841339056
75% Corpus,4,0.61,0.31,0.39278536209749515
75% Corpus,4,0.61,0.61,0.39819856799803294
75% Corpus,4,0.61,0.9099999999999999,0.3896828985794576
75% Corpus,4,0.61,symmetric,0.372929757322239
75% Corpus,4,0.9099999999999999,0.01,0.37904680008410957
75% Corpus,4,0.9099999999999999,0.31,0.3801044437914494
75% Corpus,4,0.9099999999999999,0.61,0.4090507991878884
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.3906101657388992
75% Corpus,4,0.9099999999999999,symmetric,0.37176932964304205
75% Corpus,4,symmetric,0.01,0.3571620624677934
75% Corpus,4,symmetric,0.31,0.38563957603141763
75% Corpus,4,symmetric,0.61,0.37906435266395433
75% Corpus,4,symmetric,0.9099999999999999,0.4023774663881883
75% Corpus,4,symmetric,symmetric,0.38768224895443626
75% Corpus,4,asymmetric,0.01,0.3858430954613251
75% Corpus,4,asymmetric,0.31,0.45067328356613146
75% Corpus,4,asymmetric,0.61,0.3841239346628123
75% Corpus,4,asymmetric,0.9099999999999999,0.39204768305581783
75% Corpus,4,asymmetric,symmetric,0.4508949352154255
75% Corpus,5,0.01,0.01,0.4061807430826314
75% Corpus,5,0.01,0.31,0.38939272963465077
75% Corpus,5,0.01,0.61,0.375206626637858
75% Corpus,5,0.01,0.9099999999999999,0.37748678827056237
