Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.3267579917688359
75% Corpus,2,0.01,0.31,0.3280593403327773
75% Corpus,2,0.01,0.61,0.34466662370426104
75% Corpus,2,0.01,0.9099999999999999,0.34466662370426104
75% Corpus,2,0.01,symmetric,0.34466662370426104
75% Corpus,2,0.31,0.01,0.32962595310433906
75% Corpus,2,0.31,0.31,0.32962595310433906
75% Corpus,2,0.31,0.61,0.33441686667544557
75% Corpus,2,0.31,0.9099999999999999,0.333643425266097
75% Corpus,2,0.31,symmetric,0.33441686667544557
75% Corpus,2,0.61,0.01,0.3301549955176131
75% Corpus,2,0.61,0.31,0.33595996294360386
75% Corpus,2,0.61,0.61,0.3359599629436039
75% Corpus,2,0.61,0.9099999999999999,0.33647225372816764
75% Corpus,2,0.61,symmetric,0.33595996294360386
75% Corpus,2,0.9099999999999999,0.01,0.35275122955050725
75% Corpus,2,0.9099999999999999,0.31,0.37197462610516807
75% Corpus,2,0.9099999999999999,0.61,0.3778074627649009
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.3768794802199233
75% Corpus,2,0.9099999999999999,symmetric,0.37780746276490096
75% Corpus,2,symmetric,0.01,0.32412230700541655
75% Corpus,2,symmetric,0.31,0.3308788808820006
75% Corpus,2,symmetric,0.61,0.3364887647009679
75% Corpus,2,symmetric,0.9099999999999999,0.3334773046274764
75% Corpus,2,symmetric,symmetric,0.33087888088200057
75% Corpus,2,asymmetric,0.01,0.4041090539857199
75% Corpus,2,asymmetric,0.31,0.5118045351705236
75% Corpus,2,asymmetric,0.61,0.43506414358335926
75% Corpus,2,asymmetric,0.9099999999999999,0.4560756412658332
75% Corpus,2,asymmetric,symmetric,0.49892688023586046
75% Corpus,3,0.01,0.01,0.36823100752662286
75% Corpus,3,0.01,0.31,0.36831768885904914
75% Corpus,3,0.01,0.61,0.37210927846758163
75% Corpus,3,0.01,0.9099999999999999,0.39378538478951913
75% Corpus,3,0.01,symmetric,0.36831768885904914
75% Corpus,3,0.31,0.01,0.403390402565117
75% Corpus,3,0.31,0.31,0.41180086104040464
75% Corpus,3,0.31,0.61,0.42187263782715106
75% Corpus,3,0.31,0.9099999999999999,0.4186418106729974
75% Corpus,3,0.31,symmetric,0.41756962420691024
75% Corpus,3,0.61,0.01,0.33583852041870754
75% Corpus,3,0.61,0.31,0.35914966590471753
75% Corpus,3,0.61,0.61,0.3586078218174067
75% Corpus,3,0.61,0.9099999999999999,0.36309728399282043
75% Corpus,3,0.61,symmetric,0.3591496659047176
75% Corpus,3,0.9099999999999999,0.01,0.360503043929822
75% Corpus,3,0.9099999999999999,0.31,0.3610111914184044
75% Corpus,3,0.9099999999999999,0.61,0.3790467224616692
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.37147740505760934
75% Corpus,3,0.9099999999999999,symmetric,0.3610111914184044
75% Corpus,3,symmetric,0.01,0.40339040256511693
75% Corpus,3,symmetric,0.31,0.41155443121317054
75% Corpus,3,symmetric,0.61,0.42173266305536883
75% Corpus,3,symmetric,0.9099999999999999,0.41913371387369375
75% Corpus,3,symmetric,symmetric,0.4157089909350371
75% Corpus,3,asymmetric,0.01,0.47331631400128443
75% Corpus,3,asymmetric,0.31,0.572415429354706
75% Corpus,3,asymmetric,0.61,0.42914248690797924
75% Corpus,3,asymmetric,0.9099999999999999,0.4779694167376866
75% Corpus,3,asymmetric,symmetric,0.5760879322389036
75% Corpus,4,0.01,0.01,0.3797481028483922
75% Corpus,4,0.01,0.31,0.40694761680076624
75% Corpus,4,0.01,0.61,0.38903685522460474
75% Corpus,4,0.01,0.9099999999999999,0.40343425468504424
75% Corpus,4,0.01,symmetric,0.3788261807962324
75% Corpus,4,0.31,0.01,0.4303183283140838
75% Corpus,4,0.31,0.31,0.4240144481528922
75% Corpus,4,0.31,0.61,0.43787341024934867
75% Corpus,4,0.31,0.9099999999999999,0.42228804360275085
75% Corpus,4,0.31,symmetric,0.42686518710168625
75% Corpus,4,0.61,0.01,0.3726328846748689
75% Corpus,4,0.61,0.31,0.3748823669975551
75% Corpus,4,0.61,0.61,0.4201280453621062
75% Corpus,4,0.61,0.9099999999999999,0.4215083062958286
75% Corpus,4,0.61,symmetric,0.36676717600356923
75% Corpus,4,0.9099999999999999,0.01,0.36237138862098084
75% Corpus,4,0.9099999999999999,0.31,0.3817207888794602
75% Corpus,4,0.9099999999999999,0.61,0.38935463117412095
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.39348112866292867
75% Corpus,4,0.9099999999999999,symmetric,0.3755144608916125
75% Corpus,4,symmetric,0.01,0.4142025689898078
75% Corpus,4,symmetric,0.31,0.4093332245577765
75% Corpus,4,symmetric,0.61,0.37156380487798957
75% Corpus,4,symmetric,0.9099999999999999,0.42022378424487317
75% Corpus,4,symmetric,symmetric,0.4093332245577765
75% Corpus,4,asymmetric,0.01,0.47856135935514144
75% Corpus,4,asymmetric,0.31,0.5514391723313002
75% Corpus,4,asymmetric,0.61,0.48792299950477036
75% Corpus,4,asymmetric,0.9099999999999999,0.49188859732433193
75% Corpus,4,asymmetric,symmetric,0.5587991811774478
75% Corpus,5,0.01,0.01,0.40935565897906434
75% Corpus,5,0.01,0.31,0.41531612120061584
75% Corpus,5,0.01,0.61,0.41675175413409715
75% Corpus,5,0.01,0.9099999999999999,0.41534416727025236
75% Corpus,5,0.01,symmetric,0.41442925510989914
75% Corpus,5,0.31,0.01,0.41289838454756556
75% Corpus,5,0.31,0.31,0.41319039167610105
75% Corpus,5,0.31,0.61,0.40689643993313823
75% Corpus,5,0.31,0.9099999999999999,0.4091172778124562
75% Corpus,5,0.31,symmetric,0.41570215305049363
75% Corpus,5,0.61,0.01,0.37128985375339874
75% Corpus,5,0.61,0.31,0.3867130806482474
75% Corpus,5,0.61,0.61,0.40587432759563996
75% Corpus,5,0.61,0.9099999999999999,0.41409330701009595
75% Corpus,5,0.61,symmetric,0.3794745774892132
75% Corpus,5,0.9099999999999999,0.01,0.381281612918141
75% Corpus,5,0.9099999999999999,0.31,0.39051120473747564
75% Corpus,5,0.9099999999999999,0.61,0.3935607871549782
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.39543631688154146
75% Corpus,5,0.9099999999999999,symmetric,0.3884812130148064
75% Corpus,5,symmetric,0.01,0.41532687279056385
75% Corpus,5,symmetric,0.31,0.41247069984559764
75% Corpus,5,symmetric,0.61,0.4139677303354734
75% Corpus,5,symmetric,0.9099999999999999,0.426413512373583
75% Corpus,5,symmetric,symmetric,0.407703021781769
75% Corpus,5,asymmetric,0.01,0.4856208522368718
75% Corpus,5,asymmetric,0.31,0.5524466238441208
75% Corpus,5,asymmetric,0.61,0.5371082435402413
75% Corpus,5,asymmetric,0.9099999999999999,0.47398136827395226
75% Corpus,5,asymmetric,symmetric,0.49047505386371604
100% Corpus,2,0.01,0.01,0.3267579917688359
100% Corpus,2,0.01,0.31,0.32832331641280815
100% Corpus,2,0.01,0.61,0.3417988840550532
100% Corpus,2,0.01,0.9099999999999999,0.34179888405505315
100% Corpus,2,0.01,symmetric,0.3280593403327774
100% Corpus,2,0.31,0.01,0.33545257823417296
100% Corpus,2,0.31,0.31,0.33441686667544557
100% Corpus,2,0.31,0.61,0.3344168666754455
100% Corpus,2,0.31,0.9099999999999999,0.3344168666754455
100% Corpus,2,0.31,symmetric,0.33441686667544557
100% Corpus,2,0.61,0.01,0.3328767364788763
100% Corpus,2,0.61,0.31,0.33939134978889474
100% Corpus,2,0.61,0.61,0.33972626378257176
100% Corpus,2,0.61,0.9099999999999999,0.33972626378257165
100% Corpus,2,0.61,symmetric,0.3367081826988445
100% Corpus,2,0.9099999999999999,0.01,0.35275122955050725
100% Corpus,2,0.9099999999999999,0.31,0.3746319460566449
100% Corpus,2,0.9099999999999999,0.61,0.373491732626129
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.39292913217300796
100% Corpus,2,0.9099999999999999,symmetric,0.37463194605664485
100% Corpus,2,symmetric,0.01,0.3329135721720833
100% Corpus,2,symmetric,0.31,0.33330289521541123
100% Corpus,2,symmetric,0.61,0.33330289521541123
100% Corpus,2,symmetric,0.9099999999999999,0.3479674916476513
100% Corpus,2,symmetric,symmetric,0.33330289521541123
100% Corpus,2,asymmetric,0.01,0.4048653432063999
100% Corpus,2,asymmetric,0.31,0.5102782473666082
100% Corpus,2,asymmetric,0.61,0.45230981499934286
100% Corpus,2,asymmetric,0.9099999999999999,0.41885458549185567
100% Corpus,2,asymmetric,symmetric,0.5111335796021285
100% Corpus,3,0.01,0.01,0.3610599930996495
100% Corpus,3,0.01,0.31,0.36849934544060164
100% Corpus,3,0.01,0.61,0.3772991727708383
100% Corpus,3,0.01,0.9099999999999999,0.3634827279876185
100% Corpus,3,0.01,symmetric,0.36849934544060164
100% Corpus,3,0.31,0.01,0.40910555470456345
100% Corpus,3,0.31,0.31,0.40910555470456345
100% Corpus,3,0.31,0.61,0.41815882001875676
100% Corpus,3,0.31,0.9099999999999999,0.4237588334399473
100% Corpus,3,0.31,symmetric,0.40910555470456345
100% Corpus,3,0.61,0.01,0.34365985526793147
100% Corpus,3,0.61,0.31,0.34997227493908056
100% Corpus,3,0.61,0.61,0.35080103075769903
100% Corpus,3,0.61,0.9099999999999999,0.35072786507703707
100% Corpus,3,0.61,symmetric,0.34997227493908056
100% Corpus,3,0.9099999999999999,0.01,0.3647095788150762
100% Corpus,3,0.9099999999999999,0.31,0.37222464109281955
100% Corpus,3,0.9099999999999999,0.61,0.37192650931430427
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.37192650931430427
100% Corpus,3,0.9099999999999999,symmetric,0.3783160016124782
100% Corpus,3,symmetric,0.01,0.40786326647497617
100% Corpus,3,symmetric,0.31,0.40910555470456345
100% Corpus,3,symmetric,0.61,0.420925069112206
100% Corpus,3,symmetric,0.9099999999999999,0.4226034834722549
100% Corpus,3,symmetric,symmetric,0.40910555470456345
100% Corpus,3,asymmetric,0.01,0.4680738710293653
