Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.4444415790262024
75% Corpus,2,0.01,0.31,0.44541118744986763
75% Corpus,2,0.01,0.61,0.4489405125210335
75% Corpus,2,0.01,0.9099999999999999,0.43921685319720116
75% Corpus,2,0.01,symmetric,0.43921685319720116
75% Corpus,2,0.31,0.01,0.46588740615123425
75% Corpus,2,0.31,0.31,0.46796976527799394
75% Corpus,2,0.31,0.61,0.46294105244365513
75% Corpus,2,0.31,0.9099999999999999,0.442934912710671
75% Corpus,2,0.31,symmetric,0.4710671417829403
75% Corpus,2,0.61,0.01,0.4423179489696968
75% Corpus,2,0.61,0.31,0.4405810299976963
75% Corpus,2,0.61,0.61,0.45067517431889303
75% Corpus,2,0.61,0.9099999999999999,0.4467849625307632
75% Corpus,2,0.61,symmetric,0.45067517431889303
75% Corpus,2,0.9099999999999999,0.01,0.4388198775647478
75% Corpus,2,0.9099999999999999,0.31,0.4543494780846886
75% Corpus,2,0.9099999999999999,0.61,0.4696750143782354
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.4792435803211707
75% Corpus,2,0.9099999999999999,symmetric,0.4762901518533007
75% Corpus,2,symmetric,0.01,0.44978850703710144
75% Corpus,2,symmetric,0.31,0.45031633790479825
75% Corpus,2,symmetric,0.61,0.448523544607237
75% Corpus,2,symmetric,0.9099999999999999,0.44678496253076316
75% Corpus,2,symmetric,symmetric,0.4478965982949481
75% Corpus,2,asymmetric,0.01,0.48378406538824514
75% Corpus,2,asymmetric,0.31,0.4787103460700653
75% Corpus,2,asymmetric,0.61,0.48210593791221545
75% Corpus,2,asymmetric,0.9099999999999999,0.4857039196807884
75% Corpus,2,asymmetric,symmetric,0.48210593791221545
75% Corpus,3,0.01,0.01,0.4717576541804149
75% Corpus,3,0.01,0.31,0.4986195703195205
75% Corpus,3,0.01,0.61,0.5063313001407437
75% Corpus,3,0.01,0.9099999999999999,0.4938819112114841
75% Corpus,3,0.01,symmetric,0.4851759651071765
75% Corpus,3,0.31,0.01,0.4816181888710748
75% Corpus,3,0.31,0.31,0.5057034957787462
75% Corpus,3,0.31,0.61,0.4927056120089475
75% Corpus,3,0.31,0.9099999999999999,0.4869445480040673
75% Corpus,3,0.31,symmetric,0.5064229759960762
75% Corpus,3,0.61,0.01,0.48723780929654686
75% Corpus,3,0.61,0.31,0.48007744226951216
75% Corpus,3,0.61,0.61,0.4844827733245369
75% Corpus,3,0.61,0.9099999999999999,0.4873237353347702
75% Corpus,3,0.61,symmetric,0.48078926339084155
75% Corpus,3,0.9099999999999999,0.01,0.4894579589672308
