Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,2,0.01,0.01,0.2531379788309935
100% Corpus,2,0.01,0.31,0.25775372585145984
100% Corpus,2,0.01,0.61,0.2577537258514599
100% Corpus,2,0.01,0.9099999999999999,0.25313797883099354
100% Corpus,2,0.01,symmetric,0.2577537258514599
100% Corpus,2,0.31,0.01,0.2390808834180978
100% Corpus,2,0.31,0.31,0.24278136617846724
100% Corpus,2,0.31,0.61,0.24024430868765592
100% Corpus,2,0.31,0.9099999999999999,0.24024430868765595
100% Corpus,2,0.31,symmetric,0.24278136617846724
100% Corpus,2,0.61,0.01,0.2427813661784672
100% Corpus,2,0.61,0.31,0.24278136617846724
100% Corpus,2,0.61,0.61,0.2321079593167131
100% Corpus,2,0.61,0.9099999999999999,0.2321079593167131
100% Corpus,2,0.61,symmetric,0.23015822907397054
100% Corpus,2,0.9099999999999999,0.01,0.2201115128051333
100% Corpus,2,0.9099999999999999,0.31,0.23095764399259017
100% Corpus,2,0.9099999999999999,0.61,0.23151251389364788
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.23151251389364788
100% Corpus,2,0.9099999999999999,symmetric,0.23151251389364785
100% Corpus,2,symmetric,0.01,0.24278136617846718
100% Corpus,2,symmetric,0.31,0.24278136617846718
100% Corpus,2,symmetric,0.61,0.23961044597137
100% Corpus,2,symmetric,0.9099999999999999,0.24484533309806578
100% Corpus,2,symmetric,symmetric,0.23961044597137
100% Corpus,2,asymmetric,0.01,0.2500179678628802
100% Corpus,2,asymmetric,0.31,0.24307424631726163
100% Corpus,2,asymmetric,0.61,0.27204882908493466
100% Corpus,2,asymmetric,0.9099999999999999,0.2812794759213115
100% Corpus,2,asymmetric,symmetric,0.24812891664955672
100% Corpus,3,0.01,0.01,0.294871054818773
100% Corpus,3,0.01,0.31,0.303242103252339
100% Corpus,3,0.01,0.61,0.2927390268423253
100% Corpus,3,0.01,0.9099999999999999,0.27990998052385335
100% Corpus,3,0.01,symmetric,0.2921453383458038
100% Corpus,3,0.31,0.01,0.2929212800167733
100% Corpus,3,0.31,0.31,0.29540067344643856
100% Corpus,3,0.31,0.61,0.2929561886129511
100% Corpus,3,0.31,0.9099999999999999,0.29213363954549987
100% Corpus,3,0.31,symmetric,0.29213363954549987
100% Corpus,3,0.61,0.01,0.2693750452530801
100% Corpus,3,0.61,0.31,0.2728308712280266
100% Corpus,3,0.61,0.61,0.27712884063490084
100% Corpus,3,0.61,0.9099999999999999,0.27712884063490084
100% Corpus,3,0.61,symmetric,0.2728308712280266
100% Corpus,3,0.9099999999999999,0.01,0.27700167829810135
100% Corpus,3,0.9099999999999999,0.31,0.2675415762658658
100% Corpus,3,0.9099999999999999,0.61,0.26450949735974466
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.269260555853176
100% Corpus,3,0.9099999999999999,symmetric,0.2675415762658657
