Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,2,0.01,0.01,0.27709028068260755
100% Corpus,2,0.01,0.31,0.27709028068260755
100% Corpus,2,0.01,0.61,0.2770902806826076
100% Corpus,2,0.01,0.9099999999999999,0.2795751196117878
100% Corpus,2,0.01,symmetric,0.27709028068260755
100% Corpus,2,0.31,0.01,0.266485066996147
100% Corpus,2,0.31,0.31,0.2866562307435545
100% Corpus,2,0.31,0.61,0.26689913893545136
100% Corpus,2,0.31,0.9099999999999999,0.26689913893545136
100% Corpus,2,0.31,symmetric,0.26689913893545136
100% Corpus,2,0.61,0.01,0.2648061400188167
100% Corpus,2,0.61,0.31,0.260876158593398
100% Corpus,2,0.61,0.61,0.26521039257021023
100% Corpus,2,0.61,0.9099999999999999,0.2652103925702102
100% Corpus,2,0.61,symmetric,0.260876158593398
100% Corpus,2,0.9099999999999999,0.01,0.2824487745931963
100% Corpus,2,0.9099999999999999,0.31,0.26237410781316817
100% Corpus,2,0.9099999999999999,0.61,0.2623741078131681
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.2555678853318274
100% Corpus,2,0.9099999999999999,symmetric,0.2623741078131681
100% Corpus,2,symmetric,0.01,0.26689913893545136
100% Corpus,2,symmetric,0.31,0.26689913893545136
100% Corpus,2,symmetric,0.61,0.2652103925702102
100% Corpus,2,symmetric,0.9099999999999999,0.2652103925702102
100% Corpus,2,symmetric,symmetric,0.2668991389354514
100% Corpus,2,asymmetric,0.01,0.29370401165153315
100% Corpus,2,asymmetric,0.31,0.30241154107173324
100% Corpus,2,asymmetric,0.61,0.30550985555160226
100% Corpus,2,asymmetric,0.9099999999999999,0.30077129150834075
100% Corpus,2,asymmetric,symmetric,0.3024115410717333
100% Corpus,3,0.01,0.01,0.34749376134428944
100% Corpus,3,0.01,0.31,0.37845532443823043
100% Corpus,3,0.01,0.61,0.37518067062197297
100% Corpus,3,0.01,0.9099999999999999,0.33955118451346183
100% Corpus,3,0.01,symmetric,0.3734933502329936
100% Corpus,3,0.31,0.01,0.3477792720959998
100% Corpus,3,0.31,0.31,0.3477792720959998
100% Corpus,3,0.31,0.61,0.35739834461759906
100% Corpus,3,0.31,0.9099999999999999,0.3646277730862469
100% Corpus,3,0.31,symmetric,0.3477792720959998
100% Corpus,3,0.61,0.01,0.3624363502052023
100% Corpus,3,0.61,0.31,0.3736812743803071
100% Corpus,3,0.61,0.61,0.3741202549871951
100% Corpus,3,0.61,0.9099999999999999,0.3820182793957552
100% Corpus,3,0.61,symmetric,0.3736812743803071
100% Corpus,3,0.9099999999999999,0.01,0.34982999733748316
100% Corpus,3,0.9099999999999999,0.31,0.368842737875978
100% Corpus,3,0.9099999999999999,0.61,0.368842737875978
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.3805199602912894
100% Corpus,3,0.9099999999999999,symmetric,0.368842737875978
100% Corpus,3,symmetric,0.01,0.35086524272016345
100% Corpus,3,symmetric,0.31,0.357398344617599
100% Corpus,3,symmetric,0.61,0.35739834461759906
100% Corpus,3,symmetric,0.9099999999999999,0.35739834461759906
100% Corpus,3,symmetric,symmetric,0.357398344617599
100% Corpus,3,asymmetric,0.01,0.36036375703148665
100% Corpus,3,asymmetric,0.31,0.3621735126598528
100% Corpus,3,asymmetric,0.61,0.3730435684053546
100% Corpus,3,asymmetric,0.9099999999999999,0.35703420982925177
100% Corpus,3,asymmetric,symmetric,0.3621735126598528
100% Corpus,4,0.01,0.01,0.40149062684599823
100% Corpus,4,0.01,0.31,0.40101694501019636
100% Corpus,4,0.01,0.61,0.39864204482484844
100% Corpus,4,0.01,0.9099999999999999,0.39345210617871407
100% Corpus,4,0.01,symmetric,0.4050727398657439
100% Corpus,4,0.31,0.01,0.40270061768342885
100% Corpus,4,0.31,0.31,0.4028009358160717
100% Corpus,4,0.31,0.61,0.41188795963496777
100% Corpus,4,0.31,0.9099999999999999,0.41294213942585467
100% Corpus,4,0.31,symmetric,0.4028009358160717
100% Corpus,4,0.61,0.01,0.40721508603238277
100% Corpus,4,0.61,0.31,0.4158973032030254
100% Corpus,4,0.61,0.61,0.41951158476414385
100% Corpus,4,0.61,0.9099999999999999,0.426999821674351
100% Corpus,4,0.61,symmetric,0.4158973032030254
100% Corpus,4,0.9099999999999999,0.01,0.4056741651164174
100% Corpus,4,0.9099999999999999,0.31,0.4130200767673423
100% Corpus,4,0.9099999999999999,0.61,0.4130200767673423
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.4114805448002252
100% Corpus,4,0.9099999999999999,symmetric,0.4130200767673423
100% Corpus,4,symmetric,0.01,0.39683344590602976
100% Corpus,4,symmetric,0.31,0.40740626158152543
100% Corpus,4,symmetric,0.61,0.4125479355082821
100% Corpus,4,symmetric,0.9099999999999999,0.4098773186502581
100% Corpus,4,symmetric,symmetric,0.40740626158152543
100% Corpus,4,asymmetric,0.01,0.4232297460676888
100% Corpus,4,asymmetric,0.31,0.42996856799275107
100% Corpus,4,asymmetric,0.61,0.44490124178941587
100% Corpus,4,asymmetric,0.9099999999999999,0.43367812088324936
100% Corpus,4,asymmetric,symmetric,0.4218930056229915
100% Corpus,5,0.01,0.01,0.40109954097996364
100% Corpus,5,0.01,0.31,0.4108137959450529
100% Corpus,5,0.01,0.61,0.3996471538379684
100% Corpus,5,0.01,0.9099999999999999,0.38740839260887705
100% Corpus,5,0.01,symmetric,0.4145720763414619
100% Corpus,5,0.31,0.01,0.3912258490171261
100% Corpus,5,0.31,0.31,0.40357091166826214
100% Corpus,5,0.31,0.61,0.3984677149988619
100% Corpus,5,0.31,0.9099999999999999,0.40869563540044335
100% Corpus,5,0.31,symmetric,0.3979859510869919
100% Corpus,5,0.61,0.01,0.408456210779833
100% Corpus,5,0.61,0.31,0.4153316152445747
100% Corpus,5,0.61,0.61,0.4153316152445747
100% Corpus,5,0.61,0.9099999999999999,0.41302929365965396
100% Corpus,5,0.61,symmetric,0.4153316152445747
100% Corpus,5,0.9099999999999999,0.01,0.39296097310960587
100% Corpus,5,0.9099999999999999,0.31,0.41395642688366097
100% Corpus,5,0.9099999999999999,0.61,0.40777408739545484
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.3882569414453946
100% Corpus,5,0.9099999999999999,symmetric,0.4100842399767267
100% Corpus,5,symmetric,0.01,0.3997247994301868
100% Corpus,5,symmetric,0.31,0.39853588868933976
100% Corpus,5,symmetric,0.61,0.40269225162869277
100% Corpus,5,symmetric,0.9099999999999999,0.41332666445053173
100% Corpus,5,symmetric,symmetric,0.40392624060318855
100% Corpus,5,asymmetric,0.01,0.4174445005500046
100% Corpus,5,asymmetric,0.31,0.410901451784354
100% Corpus,5,asymmetric,0.61,0.4341607427548744
100% Corpus,5,asymmetric,0.9099999999999999,0.4248580633500711
100% Corpus,5,asymmetric,symmetric,0.4165671778020318
