Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,2,0.01,0.01,0.2227866087600363
100% Corpus,2,0.01,0.31,0.21620370060288757
100% Corpus,2,0.01,0.61,0.23670968825987043
100% Corpus,2,0.01,0.9099999999999999,0.27836857431997414
100% Corpus,2,0.01,symmetric,0.2367096882598704
100% Corpus,2,0.31,0.01,0.23429932324000652
100% Corpus,2,0.31,0.31,0.23959279186216753
100% Corpus,2,0.31,0.61,0.26296431237700724
100% Corpus,2,0.31,0.9099999999999999,0.26341166107085534
100% Corpus,2,0.31,symmetric,0.23688279702834364
100% Corpus,2,0.61,0.01,0.24727786485345046
100% Corpus,2,0.61,0.31,0.2522297169734615
100% Corpus,2,0.61,0.61,0.25433936225571235
100% Corpus,2,0.61,0.9099999999999999,0.2659713888835229
100% Corpus,2,0.61,symmetric,0.25222971697346147
100% Corpus,2,0.9099999999999999,0.01,0.24997947430972572
100% Corpus,2,0.9099999999999999,0.31,0.2448169826097808
100% Corpus,2,0.9099999999999999,0.61,0.2506267278160975
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.25268676581175775
100% Corpus,2,0.9099999999999999,symmetric,0.25062672781609746
100% Corpus,2,symmetric,0.01,0.24727786485345046
100% Corpus,2,symmetric,0.31,0.24727786485345044
100% Corpus,2,symmetric,0.61,0.24727786485345046
100% Corpus,2,symmetric,0.9099999999999999,0.25433936225571235
100% Corpus,2,symmetric,symmetric,0.24727786485345046
100% Corpus,2,asymmetric,0.01,0.21180505004608605
100% Corpus,2,asymmetric,0.31,0.25250769854837396
100% Corpus,2,asymmetric,0.61,0.26046252971066475
100% Corpus,2,asymmetric,0.9099999999999999,0.2629446062223296
100% Corpus,2,asymmetric,symmetric,0.26790036959291885
100% Corpus,3,0.01,0.01,0.26241235567651355
100% Corpus,3,0.01,0.31,0.25576846660240343
100% Corpus,3,0.01,0.61,0.2583671443031276
100% Corpus,3,0.01,0.9099999999999999,0.2697236248380704
100% Corpus,3,0.01,symmetric,0.24651364949088297
100% Corpus,3,0.31,0.01,0.2433854929647621
100% Corpus,3,0.31,0.31,0.24624970767931487
100% Corpus,3,0.31,0.61,0.23627126989089886
100% Corpus,3,0.31,0.9099999999999999,0.25076400333318766
100% Corpus,3,0.31,symmetric,0.24624970767931487
100% Corpus,3,0.61,0.01,0.2506390953177317
100% Corpus,3,0.61,0.31,0.24779471534149752
100% Corpus,3,0.61,0.61,0.236718999205192
100% Corpus,3,0.61,0.9099999999999999,0.23671899920519204
100% Corpus,3,0.61,symmetric,0.24779471534149752
100% Corpus,3,0.9099999999999999,0.01,0.23992655185853676
100% Corpus,3,0.9099999999999999,0.31,0.22588462348253943
100% Corpus,3,0.9099999999999999,0.61,0.22014885109940296
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.22014885109940294
100% Corpus,3,0.9099999999999999,symmetric,0.22588462348253943
100% Corpus,3,symmetric,0.01,0.2252598168433165
100% Corpus,3,symmetric,0.31,0.24624970767931495
100% Corpus,3,symmetric,0.61,0.24624970767931487
100% Corpus,3,symmetric,0.9099999999999999,0.23627126989089886
100% Corpus,3,symmetric,symmetric,0.2462497076793149
100% Corpus,3,asymmetric,0.01,0.2390136736964424
100% Corpus,3,asymmetric,0.31,0.22939555669727188
100% Corpus,3,asymmetric,0.61,0.22980778187173248
100% Corpus,3,asymmetric,0.9099999999999999,0.2483567014589222
100% Corpus,3,asymmetric,symmetric,0.23294196041598214
100% Corpus,4,0.01,0.01,0.24601275362613773
100% Corpus,4,0.01,0.31,0.2627564218001265
100% Corpus,4,0.01,0.61,0.26395230438117795
100% Corpus,4,0.01,0.9099999999999999,0.25526235499332517
100% Corpus,4,0.01,symmetric,0.25949514654322114
100% Corpus,4,0.31,0.01,0.2620176313196101
100% Corpus,4,0.31,0.31,0.24382971957028604
100% Corpus,4,0.31,0.61,0.26406118291204483
100% Corpus,4,0.31,0.9099999999999999,0.2695929248008163
