Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,2,0.01,0.01,0.2747726768712228
100% Corpus,2,0.01,0.31,0.26595828097695956
100% Corpus,2,0.01,0.61,0.2747726768712228
100% Corpus,2,0.01,0.9099999999999999,0.263198429132526
100% Corpus,2,0.01,symmetric,0.2747726768712228
100% Corpus,2,0.31,0.01,0.27477267687122287
100% Corpus,2,0.31,0.31,0.2747726768712228
100% Corpus,2,0.31,0.61,0.26153421790018627
100% Corpus,2,0.31,0.9099999999999999,0.2608599941694807
100% Corpus,2,0.31,symmetric,0.27156689330734574
100% Corpus,2,0.61,0.01,0.27404628160944045
100% Corpus,2,0.61,0.31,0.2643088231251165
100% Corpus,2,0.61,0.61,0.25616890624002703
100% Corpus,2,0.61,0.9099999999999999,0.24714259002707895
100% Corpus,2,0.61,symmetric,0.26153421790018627
100% Corpus,2,0.9099999999999999,0.01,0.2851022779331033
100% Corpus,2,0.9099999999999999,0.31,0.2767645576968955
100% Corpus,2,0.9099999999999999,0.61,0.26847200244652003
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.25631650650807747
100% Corpus,2,0.9099999999999999,symmetric,0.26847200244652003
100% Corpus,2,symmetric,0.01,0.27404628160944045
100% Corpus,2,symmetric,0.31,0.2643088231251165
100% Corpus,2,symmetric,0.61,0.26153421790018627
100% Corpus,2,symmetric,0.9099999999999999,0.25415383430906396
100% Corpus,2,symmetric,symmetric,0.2643088231251165
100% Corpus,2,asymmetric,0.01,0.274072595909862
100% Corpus,2,asymmetric,0.31,0.3015042658019246
100% Corpus,2,asymmetric,0.61,0.2944237596467466
100% Corpus,2,asymmetric,0.9099999999999999,0.2770934489888759
100% Corpus,2,asymmetric,symmetric,0.29442375964674666
100% Corpus,3,0.01,0.01,0.2915329003760414
100% Corpus,3,0.01,0.31,0.2956970336065916
100% Corpus,3,0.01,0.61,0.2936813317787899
100% Corpus,3,0.01,0.9099999999999999,0.293679951278734
100% Corpus,3,0.01,symmetric,0.29569703360659166
100% Corpus,3,0.31,0.01,0.28729294489969337
100% Corpus,3,0.31,0.31,0.2847353879731074
100% Corpus,3,0.31,0.61,0.28720008584300455
100% Corpus,3,0.31,0.9099999999999999,0.27968715971806396
100% Corpus,3,0.31,symmetric,0.2847353879731074
100% Corpus,3,0.61,0.01,0.28267470323497773
100% Corpus,3,0.61,0.31,0.281611450157965
100% Corpus,3,0.61,0.61,0.28375228848270523
100% Corpus,3,0.61,0.9099999999999999,0.2627208504876328
100% Corpus,3,0.61,symmetric,0.281611450157965
100% Corpus,3,0.9099999999999999,0.01,0.2818135506386885
100% Corpus,3,0.9099999999999999,0.31,0.2893017798726496
100% Corpus,3,0.9099999999999999,0.61,0.3073724507411232
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.2666423755455513
100% Corpus,3,0.9099999999999999,symmetric,0.2893017798726496
100% Corpus,3,symmetric,0.01,0.29475539727196326
100% Corpus,3,symmetric,0.31,0.29010648811831025
100% Corpus,3,symmetric,0.61,0.283742622083991
100% Corpus,3,symmetric,0.9099999999999999,0.27968715971806396
100% Corpus,3,symmetric,symmetric,0.29723001984663117
100% Corpus,3,asymmetric,0.01,0.2798714857924986
100% Corpus,3,asymmetric,0.31,0.2805869739855764
100% Corpus,3,asymmetric,0.61,0.3137625155531578
100% Corpus,3,asymmetric,0.9099999999999999,0.3301889292995483
100% Corpus,3,asymmetric,symmetric,0.2805869739855764
100% Corpus,4,0.01,0.01,0.26745953274271195
100% Corpus,4,0.01,0.31,0.2526041790681114
100% Corpus,4,0.01,0.61,0.26964425330227415
100% Corpus,4,0.01,0.9099999999999999,0.264218444906689
100% Corpus,4,0.01,symmetric,0.2477059082061413
100% Corpus,4,0.31,0.01,0.2646304388728384
100% Corpus,4,0.31,0.31,0.2594818240559058
100% Corpus,4,0.31,0.61,0.26004401262854
100% Corpus,4,0.31,0.9099999999999999,0.25409009831139473
100% Corpus,4,0.31,symmetric,0.26067581815200624
100% Corpus,4,0.61,0.01,0.2704026769785428
100% Corpus,4,0.61,0.31,0.26572500448806907
100% Corpus,4,0.61,0.61,0.2578808496050209
100% Corpus,4,0.61,0.9099999999999999,0.27027140378754433
100% Corpus,4,0.61,symmetric,0.2705225171146892
100% Corpus,4,0.9099999999999999,0.01,0.280482547247369
100% Corpus,4,0.9099999999999999,0.31,0.28643865573365057
100% Corpus,4,0.9099999999999999,0.61,0.2753769705740179
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.2876414594601632
100% Corpus,4,0.9099999999999999,symmetric,0.29341809908892724
100% Corpus,4,symmetric,0.01,0.2651613611633166
100% Corpus,4,symmetric,0.31,0.2619763959432407
100% Corpus,4,symmetric,0.61,0.261544838779593
100% Corpus,4,symmetric,0.9099999999999999,0.2583894616293449
100% Corpus,4,symmetric,symmetric,0.2536059922561222
100% Corpus,4,asymmetric,0.01,0.2748847608341486
100% Corpus,4,asymmetric,0.31,0.2882083772256101
100% Corpus,4,asymmetric,0.61,0.2901959267557043
100% Corpus,4,asymmetric,0.9099999999999999,0.32336350881635934
100% Corpus,4,asymmetric,symmetric,0.2883530119756084
100% Corpus,5,0.01,0.01,0.2619177558351556
100% Corpus,5,0.01,0.31,0.27756057110447024
100% Corpus,5,0.01,0.61,0.27002363127614737
100% Corpus,5,0.01,0.9099999999999999,0.29719811530883367
100% Corpus,5,0.01,symmetric,0.27551326948091226
100% Corpus,5,0.31,0.01,0.26764332300574173
100% Corpus,5,0.31,0.31,0.27242696164103813
100% Corpus,5,0.31,0.61,0.27664669440098405
100% Corpus,5,0.31,0.9099999999999999,0.3137418122930291
100% Corpus,5,0.31,symmetric,0.28093361900320846
100% Corpus,5,0.61,0.01,0.2770006061945053
100% Corpus,5,0.61,0.31,0.293269238422414
100% Corpus,5,0.61,0.61,0.2984226694241121
100% Corpus,5,0.61,0.9099999999999999,0.3199421962827254
100% Corpus,5,0.61,symmetric,0.28252753636513284
100% Corpus,5,0.9099999999999999,0.01,0.28089074415531584
100% Corpus,5,0.9099999999999999,0.31,0.2826623550469277
100% Corpus,5,0.9099999999999999,0.61,0.2947623698433851
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.2810586094839037
100% Corpus,5,0.9099999999999999,symmetric,0.29955865341468996
100% Corpus,5,symmetric,0.01,0.27132482566929006
100% Corpus,5,symmetric,0.31,0.2759509358680853
100% Corpus,5,symmetric,0.61,0.2749261858722546
100% Corpus,5,symmetric,0.9099999999999999,0.2974426593901829
100% Corpus,5,symmetric,symmetric,0.27692008554996583
100% Corpus,5,asymmetric,0.01,0.28459345035863937
100% Corpus,5,asymmetric,0.31,0.27708761225345163
100% Corpus,5,asymmetric,0.61,0.27854858788807785
100% Corpus,5,asymmetric,0.9099999999999999,0.33595642354296357
100% Corpus,5,asymmetric,symmetric,0.2745828779242967
