date,title_review_tokenized,Topic
2020-01-01 11:26:33,"['total', 'scam', 'andami', 'videos', 'youtube', 'right', 'scam', 'globe', 'potangggginaaaa', 'men', 'gosu', 'andami', 'scam', 'paki', 'fix', 'nakakatakot', 'magtiwala']",Product Related
2020-01-01 19:14:19,"['customer_support', 'issues', 'trash', 'avid', 'user', 'years', 'recently', 'confidence', 'trust', 'getting', 'weak', 'due', 'customer_support', 'whenever', 'encounter', 'problem', 'trying', 'resolved', 'hassle', 'cs', 'agents', 'lazy', 'read', 'properly', 'concerns', 'send', 'responses', 'obviously', 'taken', 'template', 'know', 'responses', 'far', 'actual', 'concern', 'send', 'generic', 'replies', 'said', 'responded', 'realized', 'trust', 'money', 'use', 'take', 'risk', 'make', 'sure', 'take', 'screenshots', 'confirmation', 'pages', 'proof', 'documentation', 'system', 'trash', 'unreliable']",Customer Service
2020-01-02 01:43:34,"['outdate', 'keep', 'worse', 'dial']",Customer Service
2020-01-02 05:52:51,"['refuses', 'let', 'cash', 'tried', 'many_times', 'cash', 'every_time', 'tap', 'mastercardvisa', 'option', 'oops', 'cards', 'found', 'client', 'keeps', 'showing', 'stupid', 'sent', 'email', 'asked', 'debit_card', 'details', 'risk', 'solve', 'end', 'deactivate', 'account', 'means', 'charged', 'later', 'criminal']",Verification
2020-01-02 08:15:18,"['worthless', 'downloaded', 'registered', 'last', 'monday', 'able', 'link', 'bank', 'accounts', 'live', 'chat_support', 'worthless', 'know', 'trouble', 'shoot', 'issue', 'kept', 'going', 'circles', 'asking', 'information', 'transcribed', 'chat', 'logs', 'told', 'updated', 'today', 'fix', 'issue', 'guess', 'updates', 'came', 'back', 'square', 'one', 'asking', 'information', 'waste', 'time', 'tried', 'make', 'things', 'work', 'week', 'given', 'crappy', 'service']",Verification
2020-01-02 10:23:43,"['worst', 'always', 'system', 'issue', 'one', 'trying', 'send', 'notice', 'something']",Transaction Related
2020-01-03 00:02:39,"['verification', 'need', 'send_money', 'says', 'basic', 'user', 'since', 'needs', 'verification', 'checked', 'processed', 'however', 'button', 'verification', 'clickable', 'tried', 'troubleshooting', 'options', 'asked', 'center', 'processed', 'taking', 'long', 'use', 'services', 'service', 'working']",Customer Service
2020-01-03 02:11:44,"['buggy', 'crap', 'service', 'always', 'ask', 'update', 'profile', 'already', 'fully_verified', 'customer_service', 'non', 'existent', 'good', 'luck', 'putting', 'hard_earned', 'money', 'reviews', 'people', 'works', 'gcashglobe', 'warned']",Product Related
2020-01-03 02:30:48,"['useless', 'corrupt', 'could', 'cash', 'money', 'paypalbank', 'acct', 'always_says', 'update', 'already', 'updated', 'checked', 'thrice', 'fully_verified', 'wrong', 'cash', 'ins', 'hand', 'smooth', 'easy', 'comes', 'pulling', 'money', 'make', 'hassle', 'use', 'feel', 'scammed', 'worst', 'feeling', 'someone', 'deprive', 'taking', 'back', 'hard_earned', 'money', 'think', 'scam']",Customer Service
2020-01-03 04:15:25,"['poor', 'service', 'cash', 'master', 'card', 'keeps', 'sending', 'oops', 'email', 'support', 'assistance', 'keep', 'sending', 'scripted', 'response', 'exhaust', 'leave', 'hanging', 'frustrating']",Customer Service
