date,title_review_tokenized,Topic
2020-01-01 00:44:41,['interesting'],Product Related
2020-01-01 01:31:11,"['tatry', 'karegister', 'hinahanapan', 'agad', 'mpin', 'ehh', 'diko', 'alam', 'nakukuha', 'yon']",Verification
2020-01-01 05:37:08,"['palpak', 'amputahindi', 'maaasahan', 'lagi', 'offline']",Verification
2020-01-01 08:45:51,"['always', 'wanted', 'cash', 'use', 'billings', 'loads', 'everytime', 'go', 'nearest', 'accredited', 'cash', 'store', 'always', 'say', 'service', 'unavailable', 'disappointed']",Transaction Related
2020-01-01 10:09:35,"['pahelp', 'dq', 'maaus', 'mpin', 'dhil', 'pinakialamn', 'anak', 'nka', 'attempts', 'syadq', 'maopen', 'andun', 'cash']",Verification
2020-01-01 10:47:23,"['since_november', 'cash', 'receiving', 'msgs', 'reached', 'wallet', 'limit', 'absurd', 'cash', 'fix']",Transaction Related
2020-01-01 11:04:56,['maganda'],Verification
2020-01-01 11:09:50,['potek'],Product Related
2020-01-01 11:15:48,['oh'],Product Related
2020-01-01 11:51:08,"['make', 'disappointed', 'try', 'open', 'account', 'always', 'says', 'pin', 'incorrect']",Account Related
2020-01-01 13:08:49,"['costumer', 'support', 'sucks', 'tell', 'happened', 'account', 'error', 'services', 'advice', 'us']",Customer Service
2020-01-01 14:36:26,"['asked', 'costumer_service', 'already', 'know', 'issue', 'nth', 'time', 'verified', 'fix']",Account Related
2020-01-01 16:32:10,"['rate', 'low', 'becuase', 'referred', 'friend', 'get', 'php', 'referral', 'happened', 'add', 'referred', 'friends', 'friend', 'didnt', 'get', 'free', 'voucher', 'supposed', 'get', 'new', 'registered', 'member']",Product Related
2020-01-01 17:15:58,['used'],Transaction Related
2020-01-01 19:28:05,"['already', 'refer', 'friend', 'received', 'free']",Product Related
2020-01-01 19:55:49,"['lost', 'texted', 'paid', 'something', 'know', 'nevr', 'pay', 'something', 'wasting', 'money']",Transaction Related
2020-01-01 20:48:10,"['forget', 'mpin', 'recover', 'plss', 'notice']",Product Related
2020-01-01 23:11:38,"['sister', 'registered', 'referred', 'get', 'money', 'service', 'better']",Product Related
2020-01-02 01:00:40,"['always', 'customers', 'service', 'answered', 'disnt', 'resolve', 'issue', 'almost', 'month', 'ago', 'return', 'money', 'always', 'reason', 'rcbc', 'problem', 'come', 'card', 'widraw', 'rcbc', 'mach', 'personally', 'report', 'action']",Customer Service
2020-01-02 03:03:04,"['worst', 'bank', 'st', 'century']",Transaction Related
2020-01-02 07:26:45,"['perfect', 'digital', 'debit', 'credit', 'account']",Transaction Related
2020-01-02 09:08:21,"['running', 'anymore', 'stuck', 'loading', 'screen', 'opening']",Product Related
2020-01-02 09:18:47,"['disappointed', 'use', 'credit', 'since_last', 'month', 'never', 'nalate', 'pay', 'labas', 'bill', 'bayad', 'agad', 'calling', 'chatting', 'sending', 'emails', 'cs', 'tulong', 'advocate', 'dya', 'ln', 'super', 'detractor', 'recommend', 'cash', 'friends', 'family', 'anymore']",Transaction Related
