date,title_review_tokenized,Topic
2020-01-10 03:29:09,"['nice', 'far', 'good', 'convenient', 'problem', 'encountered', 'hope', 'happen', 'makes', 'things', 'payment']",Convenience (Payments)
2020-01-17 17:59:30,"['good', 'service', 'plz', 'support']",Convenience (Payments)
2020-01-23 00:33:47,"['convenience', 'since', 'day', 'installed', 'apps', 'always', 'use', 'loading', 'bills', 'payment', 'money', 'transfers', 'helps', 'save', 'lot', 'time', 'fares', 'hopefully', 'continue', 'friendly', 'thanks']",Convenience (Payments)
2020-02-07 18:34:41,"['face', 'id', 'authenticator', 'hope', 'could', 'add', 'face', 'id', 'authentication', 'iphones', 'feel', 'vulnerable', 'need', 'type', 'mpin', 'public']",Convenience (Payments)
2020-02-10 02:45:27,"['grest', 'improvement', 'years', 'several', 'years', 'love', 'seeing', 'progress', 'excited', 'next']",Convenience (Payments)
2020-02-13 05:52:20,"['money', 'meter', 'suggestion', 'suggest', 'put', 'kind', 'money', 'meter', 'users', 'easily', 'monitor', 'cashflow', 'checkwarn', 'monthly', 'limit', 'reached']",Transaction Related
2020-02-20 01:11:31,"['gave', 'coz', 'convenient', 'paying_bills', 'aside', 'additional', 'fees', 'transactions', 'rebate', 'loading', 'prepaid', 'sim', 'mobile', 'numbers', 'waiting', 'download', 'use']",Convenience (Payments)
2020-02-28 13:12:19,"['sistemang', 'bulok', 'poor', 'service']",Convenience (Payments)
2020-03-07 00:39:50,"['perfect', 'far', 'best', 'money', 'processing', 'stars', 'convenience', 'stars', 'reliablity']",Transaction Related
2020-03-07 13:02:45,"['mr', 'larry', 'cortero', 'gaspi', 'excellent', 'performance']",Convenience (Payments)
2020-03-08 11:07:40,"['life', 'much', 'easier', 'young', 'adult', 'working', 'years', 'glad', 'something', 'allowed', 'adulting', 'conveniently', 'experienced', 'downtimes', 'slow', 'responses', 'much', 'better', 'going', 'bank', 'line']",Convenience (Payments)
2020-03-10 02:46:11,"['fast', 'convenient', 'super', 'love', 'need', 'wait', 'line', 'anymore', 'bank', 'transactions', 'done', 'transfer', 'money', 'pay', 'bills', 'shop', 'online', 'hasslefree']",Convenience (Payments)
2020-03-11 04:42:05,"['great', 'lot', 'online', 'banking', 'transfer', 'anytime', 'funds', 'listed', 'banks', 'great', 'sending', 'money', 'love', 'ones', 'super', 'easy', 'way', 'ilove', 'stars']",Transaction Related
2020-03-11 10:45:18,"['best', 'emoney', 'free', 'bank', 'transfer', 'banks', 'interest', 'rate', 'savings', 'best', 'online', 'business']",Transaction Related
