date,title_review_tokenized,Topic
2020-01-01 03:09:08+00:00,"['fix', 'connection', 'issues', 'account', 'upgrade', 'verification', 'issues', 'used', 'problems', 'past', 'months', 'everything', 'takes', 'long', 'load', 'matter', 'internet_connection', 'use', 'account', 'upgrade', 'takes', 'long', 'weeks', 'someone', 'know', 'informed', 'took', 'day', 'get', 'account', 'upgraded']",Account Related
2020-01-01 04:08:40+00:00,"['services', 'sucks']",Customer Service
2020-01-01 06:24:52+00:00,"['zero', 'rate', 'zero', 'stupid', 'make', 'acct', 'though', 'first', 'try', 'stupid', 'prefer']",Customer Service
2020-01-01 08:35:19+00:00,"['stupod', 'appthe', 'upgrade', 'stupid', 'get', 'record', 'video', 'nod', 'time', 'get', 'headache', 'never', 'identified']",Account Upgrade
2020-01-01 09:04:54+00:00,"['refund', 'pinagpapasa', 'pasahan']",Customer Service
2020-01-01 09:09:34+00:00,"['sucks', 'said', 'upgrade', 'take', 'hours', 'days', 'already', 'nothing_happens', 'use', 'wasting', 'much', 'time']",Account Related
2020-01-01 09:15:49+00:00,"['almost', 'week', 'later', 'update', 'account', 'upgrade']",Customer Service
2020-01-01 09:51:05+00:00,"['taking', 'long', 'upgrading', 'account', 'waiting', 'three', 'days', 'said', 'hours', 'hours', 'already', 'get', 'validation', 'code', 'saying', 'process', 'wait', 'month']",Customer Service
2020-01-01 10:56:10+00:00,"['bought_gaming', 'pin', 'last_december', 'delivered', 'frustrating', 'made', 'several', 'follow_ups', 'phone', 'call', 'twitter', 'dm', 'fb_messenger', 'pm', 'update', 'papromo', 'promo', 'gaming_pin', 'ganito', 'scam', 'ibalik', 'nalang', 'pera']",Customer Service
2020-01-01 11:15:14+00:00,"['bank', 'channels', 'transfer', 'working']",Feature Related
2020-01-01 12:34:18+00:00,"['balance', 'got', 'deducted', 'get', 'load', 'aready', 'called', 'csr', 'tuey', 'sad', 'wll', 'ix', 'issue', 'days', 'already', 'days']",Customer Service
2020-01-01 13:11:18+00:00,"['account', 'upgrade', 'maximum', 'hours', 'submitted', 'application', 'since', 'dec', 'evaluation']",Account Upgrade
2020-01-01 13:32:33+00:00,"['customer_service', 'almost', 'nonexistent', 'bots', 'buy', 'anything', 'shop', 'charge', 'selling', 'third', 'party', 'sellers', 'care', 'productservice', 'went', 'long', 'get', 'money', 'combine', 'make', 'joke', 'application', 'takes', 'money', 'nowhere', 'receive', 'message', 'received', 'something', 'absolutely', 'nothing']",Customer Service
2020-01-01 14:16:37+00:00,"['removed', 'view', 'card', 'thing', 'need', 'upgrade', 'account', 'see', 'card']",Account Upgrade
2020-01-01 14:46:30+00:00,"['hard', 'register', 'error', 'entering', 'legitimate', 'mobile_number']",Customer Service
2020-01-01 15:27:39+00:00,[],Customer Service
2020-01-01 17:36:48+00:00,"['horrible', 'customer_support', 'kept', 'waiting', 'days', 'days', 'without', 'action', 'make', 'automated', 'replies', 'cashback', 'promos', 'rarely', 'recieved', 'months']",Customer Service
2020-01-01 18:40:19+00:00,"['send', 'gaming_pin', 'code', 'bought', 'ml', 'diamonds', 'fix']",Customer Service
2020-01-01 18:45:33+00:00,"['fix', 'register', 'error', 'make', 'aan', 'account']",Account Related
2020-01-01 20:17:25+00:00,"['customer_service', 'bad', 'randomly', 'locked', 'account', 'trying', 'upgrade', 'reply', 'email', 'almost', 'hours', 'problem', 'fixed']",Account Related
2020-01-01 21:05:01+00:00,"['applied', 'upgrade', 'filling', 'details', 'received', 'message', 'telling', 'upgrade', 'proceed', 'due', 'incomplete', 'documents', 'wth']",Account Upgrade
2020-01-01 21:38:19+00:00,"['hell', 'forcing', 'people', 'upgrade', 'accounts', 'deactivating', 'virtual_card']",Account Upgrade
2020-01-02 00:48:03+00:00,"['worst', 'online', 'wallet', 'experience', 'ever', 'send', 'money', 'withdraw', 'funds', 'bank_transfers', 'upgrade', 'account', 'upgrade', 'process', 'one', 'big', 'hassle', 'email', 'chat', 'customer_service', 'several_times', 'suddenly', 'stop', 'replying', 'need', 'video_call', 'get', 'verified', 'show', 'video_call', 'option', 'painful', 'experience', 'use', 'coinsph', 'needs', 'bleh']",Customer Service
2020-01-02 01:35:41+00:00,"['every_time', 'buy', 'send', 'load', 'always_says', 'load_disbursement', 'failed', 'spend', 'money', 'useless']",Customer Service
2020-01-02 04:14:38+00:00,"['email', 'support', 'kath', 'ignores', 'email', 'concerns', 'account', 'duplication', 'issue', 'already_submitted', 'details', 'pending', 'months']",Customer Service
2020-01-02 04:26:23+00:00,"['scam', 'receive', 'cashbacks', 'stated', 'promos', 'recommend', 'anyone', 'plus', 'cares', 'never', 'helped', 'useless', 'customer', 'care', 'service', 'till', 'reply', 'inquiries', 'complaints', 'sucks']",Customer Service
2020-01-02 05:02:35+00:00,"['get', 'support', 'reply', 'awful', 'customer_support', 'charged', 'almost', 'pesos', 'game', 'pin', 'receive', 'updated', 'need', 'upgrade', 'first', 'virtual', 'online_payment', 'sucks', 'company', 'die', 'bankruped', 'really', 'terrible', 'company']",Customer Service
2020-01-02 05:12:29+00:00,"['customer_service', 'almost', 'nonexistent', 'replies', 'several', 'months']",Customer Service
2020-01-02 06:27:30+00:00,"['bought_gaming', 'pin', 'get', 'code', 'messaging', 'problem', 'ignoring', 'weeks', 'reply']",Customer Service
2020-01-02 08:11:09+00:00,"['difficult', 'cash', 'always', 'decline']",Feature Related
2020-01-02 08:15:17+00:00,"['upgrading', 'account', 'took', 'forever']",Account Upgrade
2020-01-02 08:39:48+00:00,['working'],Customer Service
2020-01-02 09:16:07+00:00,"['bad', 'services', 'ngloloko', 'network', 'hnd', 'maopen', 'klangan', 'lgi', 'plitan', 'password', 'pra', 'maopen', 'hnd', 'rn', 'maupgrade', 'account', 'ngaun', 'ngloloko', 'rn', 'sayang', 'load', 'wallet', 'oo', 'dti', 'free', 'service', 'pro', 'nung', 'inupgrade', 'byad', 'klangan', 'tlga', 'mglod', 'pra', 'maopen', 'lugi', 'business', 'inyo', 'bad', 'service', 'tlga']",Transaction Related
2020-01-02 09:36:00+00:00,"['used', 'good', 'pay', 'steam', 'games', 'blocked', 'free', 'virtual_card', 'use', 'online', 'put', 'back', 'upgrade', 'account', 'without', 'parentnor', 'student', 'put', 'free', 'vitual', 'card', 'back', 'rate', 'back', 'stars']",Account Related
2020-01-02 10:03:28+00:00,"['last', 'update', 'working', 'well', 'asking', 'password', 'every', 'sec', 'wasting', 'time', 'waiting', 'loading', 'open', 'ask', 'password', 'anoying']",Customer Service
2020-01-02 10:16:30+00:00,"['bought_garena', 'shells', 'deducted', 'money', 'never', 'received', 'text', 'pins', 'plss']",Feature Related
2020-01-02 12:33:04+00:00,"['issue', 'add_money', 'customer_service', 'resolved', 'issue']",Customer Service
2020-01-02 12:36:48+00:00,"['poor', 'followup', 'account', 'upgrade']",Account Upgrade
2020-01-02 12:50:44+00:00,"['deserve', 'fake', 'hrs', 'review', 'upgrade', 'account']",Customer Service
2020-01-02 13:39:55+00:00,"['paid', 'credit_card', 'electricity', 'bill', 'last', 'oct', 'total', 'payments', 'posted', 'called', 'customer_service', 'number', 'referred', 'bayad_center', 'get', 'refund', 'update', 'payments', 'posted', 'payee']",Account Upgrade
2020-01-02 13:58:04+00:00,"['bulok', 'hirap', 'login']",Transaction Related
2020-01-02 13:59:32+00:00,['crashes'],Customer Service
2020-01-02 14:22:39+00:00,"['bad', 'experienced']",Customer Service
2020-01-02 14:32:45+00:00,"['event', 'login', 'account', 'wrong', 'retries', 'login', 'account', 'tried', 'resetting', 'password', 'said', 'sent', 'email', 'recieve', 'email', 'balance']",Account Related
2020-01-02 14:56:04+00:00,"['used', 'easy', 'use', 'forces', 'upgrade', 'able', 'access', 'virtual_card', 'much', 'problem', 'confirmation', 'takes', 'damn', 'long', 'get', 'upgraded', 'accounts']",Account Related
2020-01-02 16:53:46+00:00,"['paid', 'php', 'amount', 'deducted', 'balance', 'amount', 'paid', 'due', 'hussle', 'support_team', 'reply', 'email', 'chat', 'long', 'hold', 'call', 'recommend', 'ever', 'zero']",Customer Service
2020-01-02 17:51:21+00:00,"['bwisit', 'need', 'cash', 'tagal', 'upgrade']",Transaction Related
2020-01-02 19:30:19+00:00,"['purchase', 'garena_shells']",Customer Service
2020-01-02 19:37:30+00:00,"['terrible', 'takes', 'decades', 'account', 'upgraded', 'costumer', 'care', 'replies', 'late', 'worse', 'experience', 'ever']",Customer Service
2020-01-02 20:17:18+00:00,"['download', 'scam', 'application']",Customer Service
2020-01-02 20:19:45+00:00,"['hangang', 'ngaun', 'naupgrade', 'un', 'tagal']",Transaction Related
2020-01-02 21:05:31+00:00,"['always', 'crashing']",Customer Service
2020-01-02 21:37:21+00:00,['usefull'],Customer Service
2020-01-02 21:46:38+00:00,"['terrible', 'upgrade', 'account', 'last_december', 'however', 'make', 'transaction', 'need', 'upgrade', 'try', 'contact', 'customer_service', 'solve', 'tried', 'email', 'paymayasupport', 'chat', 'facebook', 'nothing', 'happeni', 'went', 'smart', 'store', 'related', 'office', 'nothing', 'fix']",Customer Service
2020-01-02 22:00:26+00:00,"['service', 'sucks', 'load_disbursement', 'failed', 'tbh', 'never', 'try']",Customer Service
2020-01-02 22:34:54+00:00,"['disappointed', 'upgrade', 'account', 'use', 'real', 'score']",Account Upgrade
2020-01-02 23:36:23+00:00,"['st', 'tyme', 'use']",Feature Related
2020-01-03 00:19:40+00:00,"['customer_service', 'worst', 'ilang', 'weeks', 'inquire', 'payment', 'dfa', 'hinde', 'receive', 'dfa', 'pesos', 'payment', 'passport', 'appointment', 'hangagang', 'wala', 'paring', 'sagot', 'okay', 'pesos', 'load', 'ninakaw', 'pesos', 'god', 'maawa', 'pinag', 'hirapan', 'kitain', 'perang', 'ini', 'ignore', 'message']",Customer Service
2020-01-03 06:36:32+00:00,"['putcha', 'gaming_pin', 'pesos', 'almost', 'one', 'month', 'finollow', 'wala', 'december', 'wala', 'ring', 'kafeedback', 'feedback', 'pumasok', 'wala', 'pangit', 'service', 'saka', 'ibibigay', 'napaganda', 'service', 'sayang', 'pagtitiwala', 'inyo', 'tao', 'bagal', 'kumilos', 'ifofollow', 'wala_namang', 'nangyayari']",Transaction Related
2020-01-03 07:37:23+00:00,"['customer_support', 'poor']",Customer Service
2020-01-03 08:12:52+00:00,['helpfull'],Customer Service
2020-01-03 10:49:06+00:00,"['change', 'card', 'number', 'without', 'users', 'consent']",Account Related
2020-01-03 11:41:47+00:00,"['worst', 'add_money', 'pay_bills', 'many_times', 'texted', 'ask', 'code']",Customer Service
2020-01-03 12:07:09+00:00,"['poor', 'service']",Customer Service
2020-01-03 12:15:06+00:00,"['keeps_telling', 'login_error', 'already', 'changed', 'password']",Account Related
2020-01-03 13:51:52+00:00,"['bad', 'costumer_service', 'transactions', 'kept', 'failing', 'refund', 'process', 'exist', 'online', 'site', 'gives', 'useless', 'information', 'false', 'hope', 'recovering', 'transactions']",Customer Service
2020-01-03 14:16:52+00:00,"['terrible_experience', 'attempted', 'upgrade', 'several_times', 'finally', 'went', 'took', 'two_months', 'assess', 'request', 'claimed', 'done', 'within', 'hours', 'told', 'ids', 'valid', 'identification', 'used', 'open', 'bank', 'accounts', 'credit', 'cards', 'government', 'documents', 'messaged', 'support', 'took', 'month', 'respond', 'responded', 'day', 'responded', 'crappy', 'customer_service']",Customer Service
2020-01-03 15:07:21+00:00,"['receive', 'gaming_pin', 'already', 'contacted', 'fb', 'chat', 'support', 'said', 'get', 'back', 'banking', 'days', 'reply', 'alli', 'bought_gaming', 'pin', 'last', 'nov', 'already', 'december', 'resolution', 'part', 'happeneven', 'email', 'support', 'responding']",Customer Service
2020-01-03 15:10:44+00:00,"['tried', 'upgrade', 'account', 'twice', 'work', 'told', 'update', 'work', 'sure', 'suppose']",Account Upgrade
2020-01-03 16:28:52+00:00,"['open', 'pay_maya']",Account Related
2020-01-03 16:50:48+00:00,"['applied', 'upgrade', 'last', 'dec', 'get', 'virtual_card', 'update', 'url', 'check', 'status', 'stated', 'sms', 'working']",Account Upgrade
2020-01-03 16:52:14+00:00,"['horrible', 'first', 'quiet', 'sure', 'allowing', 'upgrade', 'account', 'followed', 'everything', 'documents', 'philhealth', 'card', 'actually', 'secons', 'attempt', 'upgrade', 'befoee', 'student', 'school_id', 'since', 'graduated', 'philhealth', 'indicated', 'ak', 'freelancer', 'really', 'accept', 'upgrade', 'followed', 'step', 'ppy', 'recommedn']",Transaction Related
2020-01-03 17:32:08+00:00,"['upgrade', 'provided', 'valid', 'employee', 'id', 'disappointed', 'unlike', 'coins_ph', 'able', 'update', 'account']",Account Upgrade
2020-01-03 17:41:58+00:00,"['took', 'days', 'reflect', 'account', 'amount', 'cash', 'inconvenient', 'use']",Feature Related
2020-01-03 23:01:37+00:00,"['worst', 'eventhough', 'know', 'password', 'well', 'jot', 'time', 'created', 'account', 'log', 'notify', 'many', 'amount', 'retries']",Account Related
2020-01-04 02:47:06+00:00,"['upgrade', 'status', 'pending', 'month', 'link', 'provided', 'text_message', 'working', 'highly', 'suggest', 'look', 'better', 'finances', 'disappointed']",Account Upgrade
2020-01-04 03:51:00+00:00,"['let', 'register', 'sent', 'passcode', 'sim', 'entered', 'exact', 'passcode', 'says', 'incorrect', 'trust']",Account Related
2020-01-04 08:14:23+00:00,"['stupid', 'customer_support', 'scammed', 'pesos', 'loaded', 'gaming_pin', 'never', 'arrived', 'fun', 'fact', 'spamming', 'emails', 'since_december', 'last_year', 'response', 'customer_support', 'personnel', 'fired']",Customer Service
2020-01-04 10:25:01+00:00,"['reported', 'gaming_pins', 'receive', 'upon', 'purchasing', 'actions', 'told', 'wait', 'days', 'weeks', 'since', 'reported', 'reply', 'actions']",Customer Service
2020-01-04 11:40:46+00:00,"['took', 'money', 'careful', 'paying']",Feature Related
2020-01-04 11:54:45+00:00,"['slow', 'responding', 'issue', 'already', 'send', 'necessary', 'information', 'need', 'reply', 'messages']",Customer Service
2020-01-04 12:23:25+00:00,"['upgrade', 'account', 'due', 'duplicate', 'account', 'problem', 'contacted', 'center', 'action', 'recieved']",Account Related
2020-01-04 13:08:55+00:00,"['purchased', 'item', 'item', 'arrived', 'receive', 'confirmation', 'purchase']",Customer Service
