date,title_review_tokenized,Topic
2020-01-05 05:58:26,"['verification', 'error', 'account', 'labled', 'duplicate', 'account', 'already', 'sent', 'email', 'ones', 'replying']",Transaction Related
2020-01-06 03:34:12,"['nice', 'great', 'convenient', 'useful', 'lots', 'surprises', 'guaranteed', 'give', 'rebates', 'power', 'horaaaaaaayyy']",Ease of Use
2020-01-10 04:52:05,"['sad', 'review', 'poor', 'customer_service']",Convenience
2020-01-19 03:38:01,"['inconsistent', 'almost', 'ate', 'money', 'issues', 'since', 'sometimes', 'use', 'grab', 'driver', 'cancels', 'deducts', 'account', 'refunding', 'process', 'cumbersome', 'well', 'rather', 'delete', 'waste', 'money']",Convenience
2020-01-27 18:37:39,"['need', 'never', 'ever', 'get', 'tired', 'recommending', 'people', 'know', 'came', 'across', 'sometime', 'ago', 'first', 'thought', 'ewallet', 'clutter', 'phone', 'telling', 'downloading', 'best', 'thing', 'ever', 'happened', 'useful', 'quite', 'generous', 'comes', 'deals', 'whatnots', 'could', 'gove', 'stars', 'rating', 'avid', 'user', 'almost', 'yrs', 'never', 'ever', 'encountered', 'problems', 'kudos', 'behind', 'amazing', 'tool', 'look', 'forward', 'relevant', 'promos', 'soon']",Convenience
2020-02-02 14:18:46,"['best', 'know', 'use', 'going', 'make', 'life', 'much', 'easier', 'pay', 'bills', 'get', 'send_money', 'anyone', 'without', 'hassle', 'oh', 'send', 'load', 'cheaper', 'price', 'additional', 'fees', 'glad', 'friend', 'indroduced', 'use', 'paying', 'online', 'purchases', 'netflix', 'spotify', 'writing', 'review', 'satisfied', 'believe', 'many', 'bad', 'reviews', 'know', 'use', 'anyways', 'give', 'chance']",Convenience
2020-02-05 03:53:58,"['great', 'convenient', 'online', 'shopping']",Convenience
2020-02-05 06:40:16,"['helpful', 'thanks']",Ease of Use
2020-02-05 06:43:50,"['paymayaaa', 'great']",Ease of Use
2020-02-05 06:48:06,"['cool', 'innovative', 'everyday', 'transactions']",Ease of Use
2020-02-06 02:00:57,['review'],Ease of Use
2020-02-06 07:04:18,"['great', 'service', 'really', 'convenient', 'easily', 'integrated', 'anyones', 'life', 'students']",Ease of Use
2020-02-06 07:04:33,"['rfid', 'versatile', 'glad', 'part', 'rfid', 'transactions', 'easier']",Ease of Use
2020-02-06 07:07:56,"['perfect', 'best', 'ever', 'id', 'linked', 'convenient']",Ease of Use
2020-02-08 01:13:24,"['banks', 'ph', 'comes', 'money', 'lot', 'things', 'hassle', 'call', 'someone', 'check', 'needed', 'pass', 'call', 'get', 'done', 'day', 'visit', 'freaking', 'local', 'branch', 'customer_service', 'online_transactions', 'seriously', 'good', 'enough', 'deal', 'transactions', 'virtual', 'card', 'compared', 'banks', 'ph', 'lot', 'better', 'honest', 'keep']",Ease of Use
2020-02-09 02:10:11,"['accesible', 'hope', 'gasoline', 'station']",Ease of Use
2020-02-10 03:13:07,"['helping', 'customer', 'fast', 'times', 'trouble', 'appreciated', 'fast', 'service', 'solving', 'problem', 'customer', 'preventing', 'happening', 'thankyou', 'team']",Customer Support Related
2020-02-12 17:11:46,"['best', 'virtual', 'card', 'love', 'payment', 'highly', 'recommended', 'hassle_free']",Ease of Use
2020-02-14 01:40:28,"['atm', 'dispute', 'learned', 'cash', 'back', 'reward', 'programs', 'ability', 'use', 'online', 'purchases', 'convenience', 'able', 'fund', 'realtime', 'store', 'bpi', 'savings', 'could', 'borrow', 'small', 'sum', 'money', 'little', 'interest', 'thought', 'best', 'ever', 'issue', 'atm', 'withdrawal', 'made', 'two', 'withdrawal', 'attempts', 'first', 'transaction', 'cancelled', 'first', 'transaction', 'debited', 'reverse', 'ended', 'negative', 'balance', 'could', 'use', 'remaining', 'funds', 'called', 'told', 'take', 'two', 'business', 'days', 'research', 'issue', 'resolve', 'waited', 'third', 'business', 'day', 'negative', 'balance', 'called', 'utter', 'disappointment', 'told', 'wait', 'apparently', 'thought', 'case', 'researched', 'actually', 'waiting', 'time', 'transaction', 'reverse', 'asked', 'speak', 'supervisor', 'told', 'wait', 'another', 'week', 'could', 'believe', 'money', 'money', 'needed', 'use', 'fault', 'completely', 'lost', 'access', 'could', 'anything', 'make', 'funds', 'available', 'received', 'reversal', 'account', 'th', 'business', 'day', 'since', 'never', 'issue', 'first_time', 'reach', 'customer_service', 'treated', 'joke', 'might', 'continue', 'use', 'services', 'longer', 'trust', 'money', 'good', 'hands', 'considered', 'use', 'reservoir', 'cash', 'flow', 'changed', 'mind', 'great', 'product', 'terrible', 'customer', 'experience']",Ease of Use
2020-02-14 16:25:55,"['getting', 'better', 'looking', 'forward', 'new', 'features']",Convenience
2020-02-21 14:27:39,"['looking', 'invite', 'code', 'pesos', 'hi', 'use', 'invite', 'code', 'pesos', 'free', 'xdz', 'much']",Ease of Use
2020-02-26 10:57:05,"['poor', 'customer_service', 'grabe', 'customer_service', 'super', 'poor', 'sobrang', 'tagal', 'sagutin', 'tawag', 'minutes', 'sagutin', 'galit', 'sumagot', 'improve', 'customer_service', 'super', 'duper', 'poor']",Convenience
2020-03-03 06:41:43,"['payment', 'posted', 'week', 'go', 'use', 'bills_payment', 'payment', 'posted', 'unpaid', 'bills', 'globe', 'primewater', 'bills', 'happen', 'kindly', 'give', 'answer', 'regarding', 'hassle', 'possible', 'cut', 'line']",Ease of Use
2020-03-05 23:45:18,"['dark', 'mode', 'implement', 'dark', 'mode']",Ease of Use
2020-03-09 07:45:58,"['issues', 'somebody', 'team', 'advised', 'good', 'go', 'response']",Ease of Use
2020-03-11 12:10:39,"['bills_payment', 'want', 'suggest', 'add', 'biller', 'citibank', 'credit', 'card', 'payment', 'great', 'power']",Ease of Use
2020-03-16 16:51:57,"['nice', 'great', 'mobile', 'transactions']",Ease of Use
2020-03-20 07:22:52,"['good', 'appp', 'good']",Ease of Use
2020-03-26 15:51:58,"['removed', 'cashin', 'removed', 'cashin']",Ease of Use
2020-03-30 01:10:54,"['bad', 'service', 'contacting', 'payment', 'made', 'payment', 'reach', 'biller', 'two', 'weeks', 'since', 'payment', 'made', 'writing', 'contacting', 'email', 'messenger', 'call', 'avail', 'one', 'responded', 'resolution', 'offered', 'line', 'cut', 'extra', 'pay', 'bill', 'twice', 'disappointing', 'update', 'ticket', 'provided', 'checked', 'email', 'miyuki', 'replied', 'asking', 'details', 'last', 'march', 'amfor', 'reference', 'isent', 'screenshot', 'email', 'cares', 'messenger', 'provided', 'day', 'got', 'response', 'since', 'communicated', 'cares', 'got', 'response', 'either', 'followedup', 'last', 'march', 'email', 'messenger', 'response']",Transaction Related
2020-04-16 00:31:32,"['upgrade', 'upgrade', 'account', 'try', 'message', 'one', 'responded', 'need', 'send_money']",Convenience
