date,title_review_tokenized,Topic
2020-01-01 00:47:06+00:00,['good'],Reliability
2020-01-01 01:38:31+00:00,['convenient'],Convenience
2020-01-01 01:38:48+00:00,"['great', 'service']",Convenience
2020-01-01 02:50:56+00:00,"['satisfaction', 'guaranteed']",Convenience
2020-01-01 03:13:09+00:00,"['usefull', 'loved', 'cashback']",Convenience
2020-01-01 03:41:01+00:00,['helpful'],Convenience
2020-01-01 05:04:33+00:00,['usefull'],Convenience
2020-01-01 06:50:42+00:00,"['truly', 'helpful']",Convenience
2020-01-01 07:44:54+00:00,['good'],Reliability
2020-01-01 08:08:00+00:00,"['good', 'load', 'paying_bills']",Convenience
2020-01-01 08:20:38+00:00,"['helpful', 'convenient', 'much']",Convenience
2020-01-01 08:51:41+00:00,"['thanks', 'rewards', 'recommend', 'friends']",Transactions
2020-01-01 10:03:27+00:00,['great'],Convenience
2020-01-01 11:01:22+00:00,"['easy', 'access']",Convenience
2020-01-01 11:01:28+00:00,['excellence'],Convenience
2020-01-01 11:06:13+00:00,"['convenient', 'exciting_deals']",Convenience
2020-01-01 13:32:34+00:00,"['love', 'cashless', 'purchases', 'love', 'cashback', 'hope', 'cashback', 'promo', 'forever']",Transactions
2020-01-01 15:41:46+00:00,"['handy', 'support', 'must', 'real_time']",Transactions
2020-01-01 15:57:48+00:00,['enough'],Transactions
2020-01-01 16:04:27+00:00,"['useful', 'needed', 'pay', 'renewal', 'license', 'helpful']",Convenience
2020-01-01 16:10:10+00:00,"['ok', 'ok']",Convenience
2020-01-01 16:27:13+00:00,"['account', 'already', 'upgraded', 'useful', 'convenient', 'terms', 'online', 'payment', 'inapp_purchases']",Convenience
2020-01-01 16:38:52+00:00,"['application', 'convinient', 'types', 'user']",Transactions
2020-01-01 16:50:33+00:00,['awsome'],Convenience
2020-01-01 17:08:07+00:00,"['pay', 'providing', 'easy', 'access', 'buying_loads', 'paying_bills', 'utilities', 'provides', 'good', 'deals', 'business', 'tie', 'ups']",Convenience
2020-01-01 17:40:06+00:00,['great'],Convenience
2020-01-01 18:05:09+00:00,['best'],Transactions
2020-01-01 19:20:30+00:00,"['easy', 'use', 'helpful', 'transferring', 'money']",Convenience
2020-01-01 19:48:24+00:00,['excellent'],Convenience
2020-01-01 20:25:45+00:00,['nice'],Convenience
2020-01-01 20:47:04+00:00,['nice'],Convenience
2020-01-01 20:55:41+00:00,['great'],Convenience
