Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,3,0.01,0.01,0.40015442476893853
100% Corpus,3,0.01,0.31,0.43149571144009896
100% Corpus,3,0.01,0.61,0.3948508979886333
100% Corpus,3,0.01,0.9099999999999999,0.3970384710611006
100% Corpus,3,0.01,symmetric,0.43149571144009896
100% Corpus,3,0.31,0.01,0.4126819609717746
100% Corpus,3,0.31,0.31,0.4285646916299772
100% Corpus,3,0.31,0.61,0.394484058412126
100% Corpus,3,0.31,0.9099999999999999,0.43448050159937485
100% Corpus,3,0.31,symmetric,0.41771324855162023
100% Corpus,3,0.61,0.01,0.39384194319773297
100% Corpus,3,0.61,0.31,0.37921965312455547
100% Corpus,3,0.61,0.61,0.36057927742105766
100% Corpus,3,0.61,0.9099999999999999,0.39953285272022104
100% Corpus,3,0.61,symmetric,0.37291629133126986
100% Corpus,3,0.9099999999999999,0.01,0.37252092949538157
100% Corpus,3,0.9099999999999999,0.31,0.36987818283500234
100% Corpus,3,0.9099999999999999,0.61,0.3729492274589202
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.3985141256370735
100% Corpus,3,0.9099999999999999,symmetric,0.36987818283500234
100% Corpus,3,symmetric,0.01,0.40165107822795026
100% Corpus,3,symmetric,0.31,0.42952194262720617
100% Corpus,3,symmetric,0.61,0.38917105979153704
100% Corpus,3,symmetric,0.9099999999999999,0.42167776308479965
100% Corpus,3,symmetric,symmetric,0.4179514162773273
100% Corpus,3,asymmetric,0.01,0.39790695471514903
100% Corpus,3,asymmetric,0.31,0.40681540519960996
100% Corpus,3,asymmetric,0.61,0.38625915295628843
100% Corpus,3,asymmetric,0.9099999999999999,0.3604531057083163
100% Corpus,3,asymmetric,symmetric,0.39763513908940595
100% Corpus,4,0.01,0.01,0.38853976919935446
100% Corpus,4,0.01,0.31,0.40716726967641637
100% Corpus,4,0.01,0.61,0.3993607249714162
100% Corpus,4,0.01,0.9099999999999999,0.41062055432388334
100% Corpus,4,0.01,symmetric,0.4069872221094291
100% Corpus,4,0.31,0.01,0.39103080140003976
100% Corpus,4,0.31,0.31,0.3795067794229605
100% Corpus,4,0.31,0.61,0.3757431966747246
100% Corpus,4,0.31,0.9099999999999999,0.411476407334864
100% Corpus,4,0.31,symmetric,0.3679370017309373
100% Corpus,4,0.61,0.01,0.3667918065881732
100% Corpus,4,0.61,0.31,0.36773067410083554
100% Corpus,4,0.61,0.61,0.3922204542315234
100% Corpus,4,0.61,0.9099999999999999,0.3995616887038249
100% Corpus,4,0.61,symmetric,0.3679606843995758
100% Corpus,4,0.9099999999999999,0.01,0.3556438307184032
100% Corpus,4,0.9099999999999999,0.31,0.3503753064275771
100% Corpus,4,0.9099999999999999,0.61,0.3938289406290656
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.4083323633364221
100% Corpus,4,0.9099999999999999,symmetric,0.352363907417655
100% Corpus,4,symmetric,0.01,0.3944230530210815
100% Corpus,4,symmetric,0.31,0.38624624183156
100% Corpus,4,symmetric,0.61,0.4067373519235975
100% Corpus,4,symmetric,0.9099999999999999,0.3983751453282861
100% Corpus,4,symmetric,symmetric,0.3779644681307879
100% Corpus,4,asymmetric,0.01,0.441353375042982
100% Corpus,4,asymmetric,0.31,0.42272411767426704
100% Corpus,4,asymmetric,0.61,0.42684235986982916
100% Corpus,4,asymmetric,0.9099999999999999,0.3648644934701657
100% Corpus,4,asymmetric,symmetric,0.41840190638721775
100% Corpus,5,0.01,0.01,0.3967540937756113
100% Corpus,5,0.01,0.31,0.4143294447336266
100% Corpus,5,0.01,0.61,0.4135996871243227
100% Corpus,5,0.01,0.9099999999999999,0.3795099406946324
100% Corpus,5,0.01,symmetric,0.41074881180269307
100% Corpus,5,0.31,0.01,0.38927735842951816
100% Corpus,5,0.31,0.31,0.395092103440022
100% Corpus,5,0.31,0.61,0.39977142362640194
100% Corpus,5,0.31,0.9099999999999999,0.4031856573438578
100% Corpus,5,0.31,symmetric,0.3938015855094977
100% Corpus,5,0.61,0.01,0.40847534190955265
100% Corpus,5,0.61,0.31,0.40943661143307175
100% Corpus,5,0.61,0.61,0.4031678464750842
100% Corpus,5,0.61,0.9099999999999999,0.4178011180272548
100% Corpus,5,0.61,symmetric,0.4068206287035586
100% Corpus,5,0.9099999999999999,0.01,0.41063892373703387
100% Corpus,5,0.9099999999999999,0.31,0.37621620807581646
100% Corpus,5,0.9099999999999999,0.61,0.42174764552259614
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.4083248511818936
100% Corpus,5,0.9099999999999999,symmetric,0.402677813391755
100% Corpus,5,symmetric,0.01,0.3762346534784342
100% Corpus,5,symmetric,0.31,0.40348141811358423
100% Corpus,5,symmetric,0.61,0.41903232199939994
100% Corpus,5,symmetric,0.9099999999999999,0.413128663757578
100% Corpus,5,symmetric,symmetric,0.4087993643598402
100% Corpus,5,asymmetric,0.01,0.4065273338177793
100% Corpus,5,asymmetric,0.31,0.39530566378009596
100% Corpus,5,asymmetric,0.61,0.48579737533164635
100% Corpus,5,asymmetric,0.9099999999999999,0.44308422196227804
100% Corpus,5,asymmetric,symmetric,0.43188367942248096
