Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,3,0.01,0.01,0.23818047566158873
100% Corpus,3,0.01,0.31,0.22971665378553405
100% Corpus,3,0.01,0.61,0.23008632259826575
100% Corpus,3,0.01,0.9099999999999999,0.22898108616128568
100% Corpus,3,0.01,symmetric,0.22971665378553405
100% Corpus,3,0.31,0.01,0.22941772118127027
100% Corpus,3,0.31,0.31,0.23772208581844145
100% Corpus,3,0.31,0.61,0.2457487581312681
100% Corpus,3,0.31,0.9099999999999999,0.23515385993565674
100% Corpus,3,0.31,symmetric,0.23772208581844145
100% Corpus,3,0.61,0.01,0.24166086936669753
100% Corpus,3,0.61,0.31,0.2458633013297006
100% Corpus,3,0.61,0.61,0.2445482699633894
100% Corpus,3,0.61,0.9099999999999999,0.25702321090878794
100% Corpus,3,0.61,symmetric,0.2458633013297006
100% Corpus,3,0.9099999999999999,0.01,0.22870995164928778
100% Corpus,3,0.9099999999999999,0.31,0.24410888519891952
100% Corpus,3,0.9099999999999999,0.61,0.2362797435179531
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.23558878184762547
100% Corpus,3,0.9099999999999999,symmetric,0.24410888519891952
100% Corpus,3,symmetric,0.01,0.22941772118127027
100% Corpus,3,symmetric,0.31,0.23772208581844145
100% Corpus,3,symmetric,0.61,0.24574875813126806
100% Corpus,3,symmetric,0.9099999999999999,0.2351538599356567
100% Corpus,3,symmetric,symmetric,0.23772208581844145
100% Corpus,3,asymmetric,0.01,0.2466002329407442
100% Corpus,3,asymmetric,0.31,0.2274309377510604
100% Corpus,3,asymmetric,0.61,0.3644714629854519
100% Corpus,3,asymmetric,0.9099999999999999,0.38607348581263906
100% Corpus,3,asymmetric,symmetric,0.23651526121832092
100% Corpus,4,0.01,0.01,0.27379923453717314
100% Corpus,4,0.01,0.31,0.28701129322722574
100% Corpus,4,0.01,0.61,0.3081214100611823
100% Corpus,4,0.01,0.9099999999999999,0.3117512741788346
100% Corpus,4,0.01,symmetric,0.2830409156164597
100% Corpus,4,0.31,0.01,0.28258931949328225
100% Corpus,4,0.31,0.31,0.2875099974961717
100% Corpus,4,0.31,0.61,0.29224542709573337
100% Corpus,4,0.31,0.9099999999999999,0.30618388696347454
100% Corpus,4,0.31,symmetric,0.28345815305162564
100% Corpus,4,0.61,0.01,0.2899213969221477
100% Corpus,4,0.61,0.31,0.289049109865651
100% Corpus,4,0.61,0.61,0.29603833589983175
100% Corpus,4,0.61,0.9099999999999999,0.3086468167940296
100% Corpus,4,0.61,symmetric,0.28633891450218163
100% Corpus,4,0.9099999999999999,0.01,0.27206532950184203
100% Corpus,4,0.9099999999999999,0.31,0.2697967495089202
100% Corpus,4,0.9099999999999999,0.61,0.27855835371346416
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.2840965986121416
100% Corpus,4,0.9099999999999999,symmetric,0.2697967495089202
100% Corpus,4,symmetric,0.01,0.2811459270388144
100% Corpus,4,symmetric,0.31,0.2771527922885658
100% Corpus,4,symmetric,0.61,0.2937564824949379
100% Corpus,4,symmetric,0.9099999999999999,0.3081987757063378
100% Corpus,4,symmetric,symmetric,0.2771527922885658
100% Corpus,4,asymmetric,0.01,0.2811498766242175
100% Corpus,4,asymmetric,0.31,0.2728480598054397
100% Corpus,4,asymmetric,0.61,0.3927017461231988
100% Corpus,4,asymmetric,0.9099999999999999,0.36930610202129016
100% Corpus,4,asymmetric,symmetric,0.2891863882115915
100% Corpus,5,0.01,0.01,0.3183548200504382
100% Corpus,5,0.01,0.31,0.32665165580055683
100% Corpus,5,0.01,0.61,0.34641824367440455
100% Corpus,5,0.01,0.9099999999999999,0.32800742542360506
100% Corpus,5,0.01,symmetric,0.3143677029536981
100% Corpus,5,0.31,0.01,0.3118918206440143
100% Corpus,5,0.31,0.31,0.3225738494453035
100% Corpus,5,0.31,0.61,0.3281466074253049
100% Corpus,5,0.31,0.9099999999999999,0.3287040003691294
100% Corpus,5,0.31,symmetric,0.3239204905019739
100% Corpus,5,0.61,0.01,0.3016871871326244
100% Corpus,5,0.61,0.31,0.3106643238844661
100% Corpus,5,0.61,0.61,0.33519119638563477
100% Corpus,5,0.61,0.9099999999999999,0.3454035628542836
100% Corpus,5,0.61,symmetric,0.31753751996798807
100% Corpus,5,0.9099999999999999,0.01,0.27330895926125287
100% Corpus,5,0.9099999999999999,0.31,0.30322311604808777
100% Corpus,5,0.9099999999999999,0.61,0.3091952163245453
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.3022043970417586
100% Corpus,5,0.9099999999999999,symmetric,0.29399570151482923
100% Corpus,5,symmetric,0.01,0.31561562456804904
100% Corpus,5,symmetric,0.31,0.3172428565009263
100% Corpus,5,symmetric,0.61,0.34653381427570784
100% Corpus,5,symmetric,0.9099999999999999,0.339922651824978
100% Corpus,5,symmetric,symmetric,0.3225316219790025
100% Corpus,5,asymmetric,0.01,0.31595191317217125
100% Corpus,5,asymmetric,0.31,0.2871188997733779
100% Corpus,5,asymmetric,0.61,0.3700115105948127
100% Corpus,5,asymmetric,0.9099999999999999,0.43265888847671174
100% Corpus,5,asymmetric,symmetric,0.3196476367742355
