Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,3,0.01,0.01,0.3565384583706868
100% Corpus,3,0.01,0.31,0.3442233491804591
100% Corpus,3,0.01,0.61,0.31813407698067436
100% Corpus,3,0.01,0.9099999999999999,0.35694958489832357
100% Corpus,3,0.01,symmetric,0.344223349180459
100% Corpus,3,0.31,0.01,0.3625477427573245
100% Corpus,3,0.31,0.31,0.3551709266302683
100% Corpus,3,0.31,0.61,0.3644115102747835
100% Corpus,3,0.31,0.9099999999999999,0.3671367032978225
100% Corpus,3,0.31,symmetric,0.3551709266302682
100% Corpus,3,0.61,0.01,0.375229997263363
100% Corpus,3,0.61,0.31,0.3852359807286805
100% Corpus,3,0.61,0.61,0.3951382090985545
100% Corpus,3,0.61,0.9099999999999999,0.3972484503096589
100% Corpus,3,0.61,symmetric,0.399120346455198
100% Corpus,3,0.9099999999999999,0.01,0.39661530803368145
100% Corpus,3,0.9099999999999999,0.31,0.4104556485401532
100% Corpus,3,0.9099999999999999,0.61,0.3984526646882778
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.4013753854334143
100% Corpus,3,0.9099999999999999,symmetric,0.3977739161375517
100% Corpus,3,symmetric,0.01,0.3494535063466309
100% Corpus,3,symmetric,0.31,0.35246100032343186
100% Corpus,3,symmetric,0.61,0.34529609687113877
100% Corpus,3,symmetric,0.9099999999999999,0.365535230793598
100% Corpus,3,symmetric,symmetric,0.3524610003234319
100% Corpus,3,asymmetric,0.01,0.35982733237505354
100% Corpus,3,asymmetric,0.31,0.4209411385321622
100% Corpus,3,asymmetric,0.61,0.360802693396298
100% Corpus,3,asymmetric,0.9099999999999999,0.2851797613243906
100% Corpus,3,asymmetric,symmetric,0.4140230732442652
100% Corpus,4,0.01,0.01,0.4390397607248262
100% Corpus,4,0.01,0.31,0.4125302259757675
100% Corpus,4,0.01,0.61,0.3905690756874108
100% Corpus,4,0.01,0.9099999999999999,0.3806674224414099
100% Corpus,4,0.01,symmetric,0.3981616175128626
100% Corpus,4,0.31,0.01,0.4187384759599749
100% Corpus,4,0.31,0.31,0.41804349067702967
100% Corpus,4,0.31,0.61,0.36919634845843535
100% Corpus,4,0.31,0.9099999999999999,0.3841641595471005
100% Corpus,4,0.31,symmetric,0.420420489118288
100% Corpus,4,0.61,0.01,0.41780820302713684
100% Corpus,4,0.61,0.31,0.4260336725103452
100% Corpus,4,0.61,0.61,0.4258871260088299
100% Corpus,4,0.61,0.9099999999999999,0.4417078976485367
100% Corpus,4,0.61,symmetric,0.4193102478844902
100% Corpus,4,0.9099999999999999,0.01,0.4322919199840633
100% Corpus,4,0.9099999999999999,0.31,0.4445601689209143
100% Corpus,4,0.9099999999999999,0.61,0.4469794579851177
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.4594416814187543
100% Corpus,4,0.9099999999999999,symmetric,0.43744502192654383
100% Corpus,4,symmetric,0.01,0.4118123210137018
100% Corpus,4,symmetric,0.31,0.4026445161472559
100% Corpus,4,symmetric,0.61,0.39944305967369587
100% Corpus,4,symmetric,0.9099999999999999,0.3968298746229106
100% Corpus,4,symmetric,symmetric,0.4207471612788676
100% Corpus,4,asymmetric,0.01,0.3824783669423324
100% Corpus,4,asymmetric,0.31,0.4081698169996407
100% Corpus,4,asymmetric,0.61,0.331520221932895
100% Corpus,4,asymmetric,0.9099999999999999,0.4602620246635504
100% Corpus,4,asymmetric,symmetric,0.402961940959752
100% Corpus,5,0.01,0.01,0.37378386103158
100% Corpus,5,0.01,0.31,0.39518416390032635
100% Corpus,5,0.01,0.61,0.39540232905189787
100% Corpus,5,0.01,0.9099999999999999,0.36187119755859526
100% Corpus,5,0.01,symmetric,0.3941806450249795
100% Corpus,5,0.31,0.01,0.40517853048646335
100% Corpus,5,0.31,0.31,0.4068471901834886
100% Corpus,5,0.31,0.61,0.40054049004857906
100% Corpus,5,0.31,0.9099999999999999,0.39487558559584424
100% Corpus,5,0.31,symmetric,0.39686510097063216
100% Corpus,5,0.61,0.01,0.4169599251911862
100% Corpus,5,0.61,0.31,0.4253197818971498
100% Corpus,5,0.61,0.61,0.42790039275993347
100% Corpus,5,0.61,0.9099999999999999,0.4318175197812223
100% Corpus,5,0.61,symmetric,0.4152924952800019
100% Corpus,5,0.9099999999999999,0.01,0.41352787191517154
100% Corpus,5,0.9099999999999999,0.31,0.4434241808368758
100% Corpus,5,0.9099999999999999,0.61,0.43100357411627305
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.43116861740282486
100% Corpus,5,0.9099999999999999,symmetric,0.4364829402059877
100% Corpus,5,symmetric,0.01,0.4134452983504927
100% Corpus,5,symmetric,0.31,0.39876867350550854
100% Corpus,5,symmetric,0.61,0.39522960339113994
100% Corpus,5,symmetric,0.9099999999999999,0.3963341154998189
100% Corpus,5,symmetric,symmetric,0.3883820284124671
100% Corpus,5,asymmetric,0.01,0.42350865755128425
100% Corpus,5,asymmetric,0.31,0.4559766479451858
100% Corpus,5,asymmetric,0.61,0.4269653063931306
100% Corpus,5,asymmetric,0.9099999999999999,0.39365916709433174
100% Corpus,5,asymmetric,symmetric,0.4401060838747285
