Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,2,0.01,0.01,0.32837814743576255
100% Corpus,2,0.01,0.31,0.32837814743576255
100% Corpus,2,0.01,0.61,0.32837814743576255
100% Corpus,2,0.01,0.9099999999999999,0.32837814743576255
100% Corpus,2,0.01,symmetric,0.32837814743576255
100% Corpus,2,0.31,0.01,0.3222637999556028
100% Corpus,2,0.31,0.31,0.32226379995560284
100% Corpus,2,0.31,0.61,0.32226379995560284
100% Corpus,2,0.31,0.9099999999999999,0.32560413047733416
100% Corpus,2,0.31,symmetric,0.32226379995560284
100% Corpus,2,0.61,0.01,0.3303005509576672
100% Corpus,2,0.61,0.31,0.34065063923911487
100% Corpus,2,0.61,0.61,0.34065063923911487
100% Corpus,2,0.61,0.9099999999999999,0.3495215581268778
100% Corpus,2,0.61,symmetric,0.34065063923911487
100% Corpus,2,0.9099999999999999,0.01,0.35818072911632026
100% Corpus,2,0.9099999999999999,0.31,0.3613418758605941
100% Corpus,2,0.9099999999999999,0.61,0.38057543898310087
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.3811222228602994
100% Corpus,2,0.9099999999999999,symmetric,0.36029912937847697
100% Corpus,2,symmetric,0.01,0.32475746095173397
100% Corpus,2,symmetric,0.31,0.3303005509576672
100% Corpus,2,symmetric,0.61,0.33030055095766714
100% Corpus,2,symmetric,0.9099999999999999,0.33030055095766714
100% Corpus,2,symmetric,symmetric,0.33030055095766714
100% Corpus,2,asymmetric,0.01,0.39322879465082805
100% Corpus,2,asymmetric,0.31,0.4614648225261614
100% Corpus,2,asymmetric,0.61,0.4615085604288162
100% Corpus,2,asymmetric,0.9099999999999999,0.46117463151257476
100% Corpus,2,asymmetric,symmetric,0.4612522240013993
100% Corpus,3,0.01,0.01,0.391074098528476
100% Corpus,3,0.01,0.31,0.39987327333542594
100% Corpus,3,0.01,0.61,0.3862165658142989
100% Corpus,3,0.01,0.9099999999999999,0.36627094397835785
100% Corpus,3,0.01,symmetric,0.39987327333542594
100% Corpus,3,0.31,0.01,0.4130458856643462
100% Corpus,3,0.31,0.31,0.39619027354339464
100% Corpus,3,0.31,0.61,0.39872751465694006
100% Corpus,3,0.31,0.9099999999999999,0.39872751465694006
100% Corpus,3,0.31,symmetric,0.39619027354339464
100% Corpus,3,0.61,0.01,0.3367306745931165
100% Corpus,3,0.61,0.31,0.33610112926601216
100% Corpus,3,0.61,0.61,0.34423923023847447
100% Corpus,3,0.61,0.9099999999999999,0.3474251265659834
100% Corpus,3,0.61,symmetric,0.33610112926601216
100% Corpus,3,0.9099999999999999,0.01,0.3787511991324257
100% Corpus,3,0.9099999999999999,0.31,0.38533244751226237
100% Corpus,3,0.9099999999999999,0.61,0.39514467611419907
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.39514467611419907
100% Corpus,3,0.9099999999999999,symmetric,0.38533244751226237
100% Corpus,3,symmetric,0.01,0.4130458856643462
100% Corpus,3,symmetric,0.31,0.4034040167021102
100% Corpus,3,symmetric,0.61,0.39872656855638483
100% Corpus,3,symmetric,0.9099999999999999,0.39872656855638483
100% Corpus,3,symmetric,symmetric,0.4012269920876015
100% Corpus,3,asymmetric,0.01,0.5121377517520647
100% Corpus,3,asymmetric,0.31,0.5597625017368685
100% Corpus,3,asymmetric,0.61,0.5807827018964943
100% Corpus,3,asymmetric,0.9099999999999999,0.5087707204520333
100% Corpus,3,asymmetric,symmetric,0.5597625017368685
100% Corpus,4,0.01,0.01,0.40650221134543774
100% Corpus,4,0.01,0.31,0.3920010521212325
100% Corpus,4,0.01,0.61,0.40752288845083007
100% Corpus,4,0.01,0.9099999999999999,0.39918317327831804
100% Corpus,4,0.01,symmetric,0.3920010521212325
100% Corpus,4,0.31,0.01,0.4167964883097584
100% Corpus,4,0.31,0.31,0.4244854031245422
