Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,3,0.01,0.01,0.2839487421585643
100% Corpus,3,0.01,0.31,0.26742980472060324
100% Corpus,3,0.01,0.61,0.26295196097911333
100% Corpus,3,0.01,0.9099999999999999,0.28943205699689317
100% Corpus,3,0.01,symmetric,0.272141723399713
100% Corpus,3,0.31,0.01,0.28752000899798597
100% Corpus,3,0.31,0.31,0.2806348144178929
100% Corpus,3,0.31,0.61,0.2793591782299732
100% Corpus,3,0.31,0.9099999999999999,0.2616665550800675
100% Corpus,3,0.31,symmetric,0.2806348144178929
100% Corpus,3,0.61,0.01,0.26761416683366696
100% Corpus,3,0.61,0.31,0.2904595588539972
100% Corpus,3,0.61,0.61,0.305329815504777
100% Corpus,3,0.61,0.9099999999999999,0.29076184662171484
100% Corpus,3,0.61,symmetric,0.29045955885399716
100% Corpus,3,0.9099999999999999,0.01,0.2933864629079382
100% Corpus,3,0.9099999999999999,0.31,0.33443895379759264
100% Corpus,3,0.9099999999999999,0.61,0.34636187681210334
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.3264221420736381
100% Corpus,3,0.9099999999999999,symmetric,0.337174952707997
100% Corpus,3,symmetric,0.01,0.29445141147062454
100% Corpus,3,symmetric,0.31,0.27300130380533827
100% Corpus,3,symmetric,0.61,0.2677338306403703
100% Corpus,3,symmetric,0.9099999999999999,0.269099308220506
100% Corpus,3,symmetric,symmetric,0.27300130380533827
100% Corpus,3,asymmetric,0.01,0.3135658144171271
100% Corpus,3,asymmetric,0.31,0.3976519637289963
100% Corpus,3,asymmetric,0.61,0.3949388216844956
100% Corpus,3,asymmetric,0.9099999999999999,0.3666645609526711
100% Corpus,3,asymmetric,symmetric,0.3976519637289962
100% Corpus,4,0.01,0.01,0.26303830512759285
100% Corpus,4,0.01,0.31,0.2857359802833127
100% Corpus,4,0.01,0.61,0.29506945183284994
100% Corpus,4,0.01,0.9099999999999999,0.2992840181008272
100% Corpus,4,0.01,symmetric,0.286465179012211
100% Corpus,4,0.31,0.01,0.28997993623429325
100% Corpus,4,0.31,0.31,0.2888331946714752
100% Corpus,4,0.31,0.61,0.31267381385464255
100% Corpus,4,0.31,0.9099999999999999,0.3080329420537996
100% Corpus,4,0.31,symmetric,0.296729382857045
100% Corpus,4,0.61,0.01,0.28894109201571355
100% Corpus,4,0.61,0.31,0.2846648253192796
100% Corpus,4,0.61,0.61,0.2903080910204141
100% Corpus,4,0.61,0.9099999999999999,0.3240950738500822
100% Corpus,4,0.61,symmetric,0.28307211193387777
100% Corpus,4,0.9099999999999999,0.01,0.29477431786912245
100% Corpus,4,0.9099999999999999,0.31,0.3097463366069221
100% Corpus,4,0.9099999999999999,0.61,0.3065966886947611
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.3321375384322173
100% Corpus,4,0.9099999999999999,symmetric,0.30578343649823364
100% Corpus,4,symmetric,0.01,0.29236687114867227
100% Corpus,4,symmetric,0.31,0.28480130630823697
100% Corpus,4,symmetric,0.61,0.29125650357988475
100% Corpus,4,symmetric,0.9099999999999999,0.308036744297951
100% Corpus,4,symmetric,symmetric,0.2871734497535908
100% Corpus,4,asymmetric,0.01,0.3222814394034634
100% Corpus,4,asymmetric,0.31,0.3485245696560184
100% Corpus,4,asymmetric,0.61,0.3873240176845002
100% Corpus,4,asymmetric,0.9099999999999999,0.3649622385480754
100% Corpus,4,asymmetric,symmetric,0.3381935995797958
100% Corpus,5,0.01,0.01,0.26493455815683425
100% Corpus,5,0.01,0.31,0.28209439918775703
100% Corpus,5,0.01,0.61,0.3164728242513999
100% Corpus,5,0.01,0.9099999999999999,0.31074927613584646
100% Corpus,5,0.01,symmetric,0.28094704501862183
100% Corpus,5,0.31,0.01,0.29889793775838785
100% Corpus,5,0.31,0.31,0.2879897920831545
100% Corpus,5,0.31,0.61,0.28188249794478537
100% Corpus,5,0.31,0.9099999999999999,0.336394373105059
100% Corpus,5,0.31,symmetric,0.28529775418490777
100% Corpus,5,0.61,0.01,0.29842716483808973
100% Corpus,5,0.61,0.31,0.3085151036929507
100% Corpus,5,0.61,0.61,0.29908519194708144
100% Corpus,5,0.61,0.9099999999999999,0.3566414407270687
100% Corpus,5,0.61,symmetric,0.2879732773396218
100% Corpus,5,0.9099999999999999,0.01,0.31064372754107283
100% Corpus,5,0.9099999999999999,0.31,0.30745272563927545
100% Corpus,5,0.9099999999999999,0.61,0.3134702369066642
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.36990310674769794
100% Corpus,5,0.9099999999999999,symmetric,0.3187825752839156
100% Corpus,5,symmetric,0.01,0.2787257593071676
100% Corpus,5,symmetric,0.31,0.27180299212113723
100% Corpus,5,symmetric,0.61,0.2822641523108974
100% Corpus,5,symmetric,0.9099999999999999,0.3287948817191978
100% Corpus,5,symmetric,symmetric,0.27266082932370406
100% Corpus,5,asymmetric,0.01,0.32175072477432254
100% Corpus,5,asymmetric,0.31,0.3420387342031298
100% Corpus,5,asymmetric,0.61,0.3477395362472608
100% Corpus,5,asymmetric,0.9099999999999999,0.379841765146555
100% Corpus,5,asymmetric,symmetric,0.3153791694505567
