Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,2,0.01,0.01,0.30363896841710725
100% Corpus,2,0.01,0.31,0.299958126599953
100% Corpus,2,0.01,0.61,0.30538636529856195
100% Corpus,2,0.01,0.9099999999999999,0.3405307770360667
100% Corpus,2,0.01,symmetric,0.30538636529856195
100% Corpus,2,0.31,0.01,0.306127826158919
100% Corpus,2,0.31,0.31,0.2901421915178659
100% Corpus,2,0.31,0.61,0.3035310828615107
100% Corpus,2,0.31,0.9099999999999999,0.32851045906704124
100% Corpus,2,0.31,symmetric,0.3035310828615107
100% Corpus,2,0.61,0.01,0.31727338117120063
100% Corpus,2,0.61,0.31,0.29735580710790954
100% Corpus,2,0.61,0.61,0.3042210056354718
100% Corpus,2,0.61,0.9099999999999999,0.304957165990698
100% Corpus,2,0.61,symmetric,0.29934182675726784
100% Corpus,2,0.9099999999999999,0.01,0.3065317336606672
100% Corpus,2,0.9099999999999999,0.31,0.31831296312869406
100% Corpus,2,0.9099999999999999,0.61,0.2935622323757595
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.29379395737090064
100% Corpus,2,0.9099999999999999,symmetric,0.30120778197241765
100% Corpus,2,symmetric,0.01,0.31727338117120063
100% Corpus,2,symmetric,0.31,0.2985968738244145
100% Corpus,2,symmetric,0.61,0.3042210056354718
100% Corpus,2,symmetric,0.9099999999999999,0.30495716599069805
100% Corpus,2,symmetric,symmetric,0.2993418267572677
100% Corpus,2,asymmetric,0.01,0.37825602331856933
100% Corpus,2,asymmetric,0.31,0.36838610329855537
100% Corpus,2,asymmetric,0.61,0.4004298841424486
100% Corpus,2,asymmetric,0.9099999999999999,0.4784055433820812
100% Corpus,2,asymmetric,symmetric,0.3649014737164549
100% Corpus,3,0.01,0.01,0.4092948407520634
100% Corpus,3,0.01,0.31,0.4372276803445154
100% Corpus,3,0.01,0.61,0.44868726592886216
100% Corpus,3,0.01,0.9099999999999999,0.44868726592886216
100% Corpus,3,0.01,symmetric,0.44868726592886216
100% Corpus,3,0.31,0.01,0.4205864133066641
100% Corpus,3,0.31,0.31,0.4506522759810366
100% Corpus,3,0.31,0.61,0.4746646427650467
100% Corpus,3,0.31,0.9099999999999999,0.4746646427650467
100% Corpus,3,0.31,symmetric,0.4601402227217694
100% Corpus,3,0.61,0.01,0.39649168598603035
100% Corpus,3,0.61,0.31,0.4448215684209447
100% Corpus,3,0.61,0.61,0.4486872659288621
100% Corpus,3,0.61,0.9099999999999999,0.46870468777552227
100% Corpus,3,0.61,symmetric,0.4492417264589121
100% Corpus,3,0.9099999999999999,0.01,0.3675190555582882
100% Corpus,3,0.9099999999999999,0.31,0.3981963288850121
100% Corpus,3,0.9099999999999999,0.61,0.45037523543828817
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.45389595484409134
100% Corpus,3,0.9099999999999999,symmetric,0.41524035845315194
100% Corpus,3,symmetric,0.01,0.4205864133066641
100% Corpus,3,symmetric,0.31,0.4465046674732707
100% Corpus,3,symmetric,0.61,0.4746646427650467
100% Corpus,3,symmetric,0.9099999999999999,0.4746646427650467
100% Corpus,3,symmetric,symmetric,0.44650466747327083
100% Corpus,3,asymmetric,0.01,0.3595102249066815
100% Corpus,3,asymmetric,0.31,0.4168441725674316
100% Corpus,3,asymmetric,0.61,0.3756673947954176
100% Corpus,3,asymmetric,0.9099999999999999,0.5161068622074548
100% Corpus,3,asymmetric,symmetric,0.4067528266638476
100% Corpus,4,0.01,0.01,0.4185614876837752
100% Corpus,4,0.01,0.31,0.442014835448897
100% Corpus,4,0.01,0.61,0.4624285124424446
100% Corpus,4,0.01,0.9099999999999999,0.47838479196728745
100% Corpus,4,0.01,symmetric,0.44215621636447533
100% Corpus,4,0.31,0.01,0.41095334801627825
100% Corpus,4,0.31,0.31,0.4499345680983499
100% Corpus,4,0.31,0.61,0.4517353841285241
100% Corpus,4,0.31,0.9099999999999999,0.47296492507444865
100% Corpus,4,0.31,symmetric,0.43116262163150676
100% Corpus,4,0.61,0.01,0.42403144728220765
100% Corpus,4,0.61,0.31,0.4391612530415876
100% Corpus,4,0.61,0.61,0.4382366229407003
100% Corpus,4,0.61,0.9099999999999999,0.4527753062883751
100% Corpus,4,0.61,symmetric,0.43620151024481524
100% Corpus,4,0.9099999999999999,0.01,0.3645462294123132
100% Corpus,4,0.9099999999999999,0.31,0.44081440796368676
100% Corpus,4,0.9099999999999999,0.61,0.44199716345671014
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.4401227961725863
100% Corpus,4,0.9099999999999999,symmetric,0.4064251071211105
100% Corpus,4,symmetric,0.01,0.4291118606229105
100% Corpus,4,symmetric,0.31,0.4553599846465689
100% Corpus,4,symmetric,0.61,0.467087213810518
