Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,3,0.01,0.01,0.2494843384389039
100% Corpus,3,0.01,0.31,0.24198296060228727
100% Corpus,3,0.01,0.61,0.25901105090400417
100% Corpus,3,0.01,0.9099999999999999,0.272392803551557
100% Corpus,3,0.01,symmetric,0.2511118537596098
100% Corpus,3,0.31,0.01,0.2243299355350794
100% Corpus,3,0.31,0.31,0.2231090422181258
100% Corpus,3,0.31,0.61,0.23096754542245804
100% Corpus,3,0.31,0.9099999999999999,0.23417667312412338
100% Corpus,3,0.31,symmetric,0.2231090422181258
100% Corpus,3,0.61,0.01,0.24545501451803883
100% Corpus,3,0.61,0.31,0.21799440316821203
100% Corpus,3,0.61,0.61,0.2282510706567745
100% Corpus,3,0.61,0.9099999999999999,0.2282535856907423
100% Corpus,3,0.61,symmetric,0.21561445759339934
100% Corpus,3,0.9099999999999999,0.01,0.2341526221642176
100% Corpus,3,0.9099999999999999,0.31,0.22126649108271942
100% Corpus,3,0.9099999999999999,0.61,0.2240133158736307
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.27078862472978776
100% Corpus,3,0.9099999999999999,symmetric,0.22126649108271942
100% Corpus,3,symmetric,0.01,0.2209333679738954
100% Corpus,3,symmetric,0.31,0.2231090422181258
100% Corpus,3,symmetric,0.61,0.23096754542245804
100% Corpus,3,symmetric,0.9099999999999999,0.24423025338028304
100% Corpus,3,symmetric,symmetric,0.2231090422181258
100% Corpus,3,asymmetric,0.01,0.3138105498204166
100% Corpus,3,asymmetric,0.31,0.3509362896261097
100% Corpus,3,asymmetric,0.61,0.36133145708147735
100% Corpus,3,asymmetric,0.9099999999999999,0.3268162620538047
100% Corpus,3,asymmetric,symmetric,0.34997196259338015
100% Corpus,4,0.01,0.01,0.2581794749190996
100% Corpus,4,0.01,0.31,0.2513695244336477
100% Corpus,4,0.01,0.61,0.2222232745895697
100% Corpus,4,0.01,0.9099999999999999,0.2396814613402088
100% Corpus,4,0.01,symmetric,0.23134342080788284
100% Corpus,4,0.31,0.01,0.2666760924101616
100% Corpus,4,0.31,0.31,0.28253395439106044
100% Corpus,4,0.31,0.61,0.2684391748199509
100% Corpus,4,0.31,0.9099999999999999,0.29684635070762955
100% Corpus,4,0.31,symmetric,0.26630451422483215
100% Corpus,4,0.61,0.01,0.3121141573874531
100% Corpus,4,0.61,0.31,0.2914253598528273
100% Corpus,4,0.61,0.61,0.2845387683466126
100% Corpus,4,0.61,0.9099999999999999,0.2869028021671272
100% Corpus,4,0.61,symmetric,0.28766737480513094
100% Corpus,4,0.9099999999999999,0.01,0.3092243202432816
100% Corpus,4,0.9099999999999999,0.31,0.2829057018840782
100% Corpus,4,0.9099999999999999,0.61,0.29645676630569984
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.2957625204044536
100% Corpus,4,0.9099999999999999,symmetric,0.28619198110788047
100% Corpus,4,symmetric,0.01,0.2526177803056294
100% Corpus,4,symmetric,0.31,0.25054032314549257
100% Corpus,4,symmetric,0.61,0.2564844270123546
100% Corpus,4,symmetric,0.9099999999999999,0.2745822984325196
100% Corpus,4,symmetric,symmetric,0.2457264053891179
100% Corpus,4,asymmetric,0.01,0.29357928444887116
100% Corpus,4,asymmetric,0.31,0.351821722210609
100% Corpus,4,asymmetric,0.61,0.343342733380708
100% Corpus,4,asymmetric,0.9099999999999999,0.4147538613784178
100% Corpus,4,asymmetric,symmetric,0.3433170664281153
100% Corpus,5,0.01,0.01,0.3042069988314022
100% Corpus,5,0.01,0.31,0.3179870576936918
100% Corpus,5,0.01,0.61,0.2974628384650922
100% Corpus,5,0.01,0.9099999999999999,0.2751583219093693
100% Corpus,5,0.01,symmetric,0.307111197771856
100% Corpus,5,0.31,0.01,0.30739747806857426
100% Corpus,5,0.31,0.31,0.2859714439404083
100% Corpus,5,0.31,0.61,0.27978196121530907
100% Corpus,5,0.31,0.9099999999999999,0.2904811323039703
100% Corpus,5,0.31,symmetric,0.2621713970574721
100% Corpus,5,0.61,0.01,0.32490494784155255
100% Corpus,5,0.61,0.31,0.3163294293509954
100% Corpus,5,0.61,0.61,0.3355305081393941
100% Corpus,5,0.61,0.9099999999999999,0.31045940141693035
100% Corpus,5,0.61,symmetric,0.3185766850855386
100% Corpus,5,0.9099999999999999,0.01,0.3267879314165965
100% Corpus,5,0.9099999999999999,0.31,0.31658887647043554
100% Corpus,5,0.9099999999999999,0.61,0.3315181204063249
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.354831476940328
100% Corpus,5,0.9099999999999999,symmetric,0.33196647380501887
100% Corpus,5,symmetric,0.01,0.278720018403002
100% Corpus,5,symmetric,0.31,0.30382545493631874
100% Corpus,5,symmetric,0.61,0.2902536958742895
100% Corpus,5,symmetric,0.9099999999999999,0.2836292041930464
100% Corpus,5,symmetric,symmetric,0.289508466345588
100% Corpus,5,asymmetric,0.01,0.3045861508424234
100% Corpus,5,asymmetric,0.31,0.3379056657815943
100% Corpus,5,asymmetric,0.61,0.36258833136893653
100% Corpus,5,asymmetric,0.9099999999999999,0.3500069169182498
100% Corpus,5,asymmetric,symmetric,0.32313754313647874
