Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,3,0.01,0.01,0.4697106483548865
100% Corpus,3,0.01,0.31,0.4588404805676202
100% Corpus,3,0.01,0.61,0.4588404805676203
100% Corpus,3,0.01,0.9099999999999999,0.4588404805676203
100% Corpus,3,0.01,symmetric,0.4588404805676202
100% Corpus,3,0.31,0.01,0.4731332885636803
100% Corpus,3,0.31,0.31,0.4692760164499252
100% Corpus,3,0.31,0.61,0.46024919462129327
100% Corpus,3,0.31,0.9099999999999999,0.45695304787869145
100% Corpus,3,0.31,symmetric,0.46847536546199686
100% Corpus,3,0.61,0.01,0.4409263952511053
100% Corpus,3,0.61,0.31,0.4345214948066949
100% Corpus,3,0.61,0.61,0.4408490213096558
100% Corpus,3,0.61,0.9099999999999999,0.4366394094785056
100% Corpus,3,0.61,symmetric,0.4345214948066949
100% Corpus,3,0.9099999999999999,0.01,0.4235274683452845
100% Corpus,3,0.9099999999999999,0.31,0.40373026620963115
100% Corpus,3,0.9099999999999999,0.61,0.4009427698970009
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.4046948862499131
100% Corpus,3,0.9099999999999999,symmetric,0.40094276989700095
100% Corpus,3,symmetric,0.01,0.4731332885636803
100% Corpus,3,symmetric,0.31,0.4692760164499252
100% Corpus,3,symmetric,0.61,0.4602491946212934
100% Corpus,3,symmetric,0.9099999999999999,0.46667933885884033
100% Corpus,3,symmetric,symmetric,0.4692760164499252
100% Corpus,3,asymmetric,0.01,0.5664642260136817
100% Corpus,3,asymmetric,0.31,0.5681394905760172
100% Corpus,3,asymmetric,0.61,0.5672723867719048
100% Corpus,3,asymmetric,0.9099999999999999,0.46267813496136184
100% Corpus,3,asymmetric,symmetric,0.5704889670800374
100% Corpus,4,0.01,0.01,0.4531502505972133
100% Corpus,4,0.01,0.31,0.44201987620304717
100% Corpus,4,0.01,0.61,0.4543129682273566
100% Corpus,4,0.01,0.9099999999999999,0.44456446739220773
100% Corpus,4,0.01,symmetric,0.44556560440569937
100% Corpus,4,0.31,0.01,0.47200686584665935
100% Corpus,4,0.31,0.31,0.4758606841050117
100% Corpus,4,0.31,0.61,0.4834041813293981
100% Corpus,4,0.31,0.9099999999999999,0.4841794400648594
100% Corpus,4,0.31,symmetric,0.4758606841050117
100% Corpus,4,0.61,0.01,0.43228947545065294
100% Corpus,4,0.61,0.31,0.42987602350256837
100% Corpus,4,0.61,0.61,0.43051222924958
100% Corpus,4,0.61,0.9099999999999999,0.422384078730086
100% Corpus,4,0.61,symmetric,0.4298760235025685
100% Corpus,4,0.9099999999999999,0.01,0.423505268346257
100% Corpus,4,0.9099999999999999,0.31,0.40436638114234624
100% Corpus,4,0.9099999999999999,0.61,0.4027880056104589
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.39446251686414335
100% Corpus,4,0.9099999999999999,symmetric,0.40402330272757747
100% Corpus,4,symmetric,0.01,0.47240356559514834
100% Corpus,4,symmetric,0.31,0.4627160677648918
100% Corpus,4,symmetric,0.61,0.4716221449767454
100% Corpus,4,symmetric,0.9099999999999999,0.4766352020626486
100% Corpus,4,symmetric,symmetric,0.4627160677648918
100% Corpus,4,asymmetric,0.01,0.5396213184269737
100% Corpus,4,asymmetric,0.31,0.5497392303835322
100% Corpus,4,asymmetric,0.61,0.5660256743265153
100% Corpus,4,asymmetric,0.9099999999999999,0.5207792556350475
100% Corpus,4,asymmetric,symmetric,0.5795993250373368
100% Corpus,5,0.01,0.01,0.46345811752236177
100% Corpus,5,0.01,0.31,0.469985752983369
100% Corpus,5,0.01,0.61,0.46957331672003316
100% Corpus,5,0.01,0.9099999999999999,0.46830441089191144
100% Corpus,5,0.01,symmetric,0.4680973305923997
100% Corpus,5,0.31,0.01,0.501646734082424
100% Corpus,5,0.31,0.31,0.50822446995645
100% Corpus,5,0.31,0.61,0.5114453686570888
100% Corpus,5,0.31,0.9099999999999999,0.5277866577045878
100% Corpus,5,0.31,symmetric,0.5105018347924198
100% Corpus,5,0.61,0.01,0.4348489654738854
100% Corpus,5,0.61,0.31,0.4255711129264551
100% Corpus,5,0.61,0.61,0.42586069654089886
100% Corpus,5,0.61,0.9099999999999999,0.41537284720668133
100% Corpus,5,0.61,symmetric,0.4226084613701705
100% Corpus,5,0.9099999999999999,0.01,0.42029364674742925
100% Corpus,5,0.9099999999999999,0.31,0.4046389803073994
100% Corpus,5,0.9099999999999999,0.61,0.4014945689274379
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.4067046737544787
100% Corpus,5,0.9099999999999999,symmetric,0.40653783369594815
100% Corpus,5,symmetric,0.01,0.48282945004103056
100% Corpus,5,symmetric,0.31,0.4942544889936159
100% Corpus,5,symmetric,0.61,0.5012435172278623
100% Corpus,5,symmetric,0.9099999999999999,0.504731619341767
100% Corpus,5,symmetric,symmetric,0.4942544889936159
100% Corpus,5,asymmetric,0.01,0.5627873137386327
100% Corpus,5,asymmetric,0.31,0.5890201688654434
100% Corpus,5,asymmetric,0.61,0.48431387820760186
100% Corpus,5,asymmetric,0.9099999999999999,0.5109495236234274
100% Corpus,5,asymmetric,symmetric,0.6195532719129277
