Topics,Alpha,Eta,Coherence
2,0.01,0.01,0.261578806913412
2,0.01,0.31,0.26158985599909673
2,0.01,0.61,0.2847585127434591
2,0.01,0.9099999999999999,0.2530457921428393
2,0.01,symmetric,0.26760687772525726
2,0.31,0.01,0.24338260117883104
2,0.31,0.31,0.2522560333399182
2,0.31,0.61,0.3124467095729101
2,0.31,0.9099999999999999,0.28674253936083377
2,0.31,symmetric,0.24146809046249723
2,0.61,0.01,0.3087899008021707
2,0.61,0.31,0.3130520140847247
2,0.61,0.61,0.3070909837280564
2,0.61,0.9099999999999999,0.2932513390340548
2,0.61,symmetric,0.2899881150144622
2,0.9099999999999999,0.01,0.3224297073361578
2,0.9099999999999999,0.31,0.33204260965921906
2,0.9099999999999999,0.61,0.3335745193478751
2,0.9099999999999999,0.9099999999999999,0.3349482242374138
2,0.9099999999999999,symmetric,0.35423892272566726
2,symmetric,0.01,0.3153497583293353
2,symmetric,0.31,0.3132944454736292
2,symmetric,0.61,0.2965719636563484
2,symmetric,0.9099999999999999,0.2939071078511386
2,symmetric,symmetric,0.3341950421389235
2,asymmetric,0.01,0.35539581876542137
2,asymmetric,0.31,0.3922489576730616
2,asymmetric,0.61,0.21142269609250322
2,asymmetric,0.9099999999999999,0.6032133732714249
2,asymmetric,symmetric,0.2190059765453029
3,0.01,0.01,0.3218860555160588
3,0.01,0.31,0.30121269924331745
3,0.01,0.61,0.345953585757752
3,0.01,0.9099999999999999,0.33835398835798497
3,0.01,symmetric,0.3093282045927276
3,0.31,0.01,0.3190227410397905
3,0.31,0.31,0.3012226073674526
3,0.31,0.61,0.29311921071438035
3,0.31,0.9099999999999999,0.3210184347021217
3,0.31,symmetric,0.29840540950283556
3,0.61,0.01,0.33681793117061803
3,0.61,0.31,0.33970631320111844
3,0.61,0.61,0.3472240036440683
3,0.61,0.9099999999999999,0.3396455358951194
3,0.61,symmetric,0.34447182448822317
3,0.9099999999999999,0.01,0.3312027717555373
3,0.9099999999999999,0.31,0.31578600002569995
3,0.9099999999999999,0.61,0.2990965754722577
3,0.9099999999999999,0.9099999999999999,0.23731184186033227
3,0.9099999999999999,symmetric,0.3198394508325171
3,symmetric,0.01,0.3140126528933426
3,symmetric,0.31,0.30799013607027675
3,symmetric,0.61,0.3006348955512585
3,symmetric,0.9099999999999999,0.30812718510968534
3,symmetric,symmetric,0.3338809176999909
3,asymmetric,0.01,0.4016701142785046
3,asymmetric,0.31,0.45337804438728974
3,asymmetric,0.61,0.5807695299394516
3,asymmetric,0.9099999999999999,0.39474108023256244
3,asymmetric,symmetric,0.544861078125106
4,0.01,0.01,0.37481723401884187
4,0.01,0.31,0.36616152190779705
4,0.01,0.61,0.40343269249995417
4,0.01,0.9099999999999999,0.4437575157048673
4,0.01,symmetric,0.3477144038196971
4,0.31,0.01,0.36181902359566154
4,0.31,0.31,0.39534209915946333
4,0.31,0.61,0.4515711542898568
4,0.31,0.9099999999999999,0.4568020987066157
4,0.31,symmetric,0.39246227625504315
4,0.61,0.01,0.3424119723397083
